"hospital_code","hospital_name","date","attendances","within_4_hours","over_4_hours"
"H208H","Nairn Town And County Hospital",2007-07-31,281,280,1
"H210H","Ian Charles Community Hospital",2007-07-31,113,111,2
"H212H","Belford Hospital - Type 1",2007-07-31,896,879,17
"H214H","Dr Mackinnon Memorial Hospital",2007-07-31,300,296,4
"H215H","Portree Community Hospital",2007-07-31,153,152,1
"H217H","Ross Memorial Hospital",2007-07-31,185,185,0
"H219H","County Community Hospital",2007-07-31,91,91,0
"H227B","Aviemore Health Centre",2007-07-31,202,202,0
"L106H","University Hospital Monklands - Type 1",2007-07-31,5662,5443,219
"L206H","Kello Hospital",2007-07-31,165,165,0
"L207H","Lady Home Hospital",2007-07-31,166,166,0
"L302H","University Hospital Hairmyres - Type 1",2007-07-31,4545,4270,275
"L308H","University Hospital Wishaw - Type 1",2007-07-31,5555,5351,204
"N101H","Aberdeen Royal Infirmary - Type 1",2007-07-31,5312,5168,144
"N121H","Royal Aberdeen Children's Hospital - Type 1",2007-07-31,1333,1324,9
"N151H","Aboyne Hospital",2007-07-31,72,72,0
"N331H","Inverurie Hospital",2007-07-31,40,40,0
"N332H","Insch War Memorial Hospital",2007-07-31,62,62,0
"N333H","Peterhead Community Hospital",2007-07-31,1114,1113,1
"N334H","Fraserburgh Hospital",2007-07-31,904,898,6
"N335H","Jubilee Hospital",2007-07-31,279,277,2
"N336H","Turriff Hospital",2007-07-31,178,178,0
"N337H","Chalmers Hospital",2007-07-31,359,359,0
"N411H","Dr Gray's Hospital - Type 1",2007-07-31,1925,1850,75
"N431H","Seafield Hospital",2007-07-31,107,107,0
"N432H","Stephen Hospital",2007-07-31,37,37,0
"N433H","Turner Memorial Hospital",2007-07-31,113,113,0
"N434H","Leanchoil Hospital",2007-07-31,62,62,0
"N451H","Fleming Hospital",2007-07-31,32,32,0
"N494H","Kincardine Community Hospital",2007-07-31,153,153,0
"R103H","Balfour Hospital - Type 3",2007-07-31,225,225,0
"S116H","Western General Hospital",2007-07-31,2761,2600,161
"S308H","St John's Hospital - Type 1",2007-07-31,3900,3642,258
"S314H","Royal Infirmary Of Edinburgh - Type 1",2007-07-31,8947,8468,479
"S319H","Royal Hospital for Children and Young People Edinburgh - Type 1",2007-07-31,2620,2603,17
"T101H","Ninewells Hospital - Type 1",2007-07-31,3940,3927,13
"T202H","Perth Royal Infirmary - Type 1",2007-07-31,2208,2192,16
"T208H","Irvine Memorial Hospital",2007-07-31,78,78,0
"T209H","Blairgowrie Community Hospital",2007-07-31,167,166,1
"T304H","Arbroath Infirmary",2007-07-31,847,846,1
"T305H","Brechin Infirmary",2007-07-31,228,228,0
"T319H","Whitehills Health And Community Care Centre",2007-07-31,504,504,0
"T357C","Links Health Centre",2007-07-31,444,444,0
"V102H","Falkirk Community Hospital",2007-07-31,1772,1768,4
"V201H","Stirling Royal Infirmary - Type 1",2007-07-31,4195,4003,192
"W106H","St Brendan's Hospital",2007-07-31,57,57,0
"W107H","Western Isles Hospital - Type 1",2007-07-31,776,762,14
"W108H","Uist & Barra Hospital",2007-07-31,135,135,0
"Y101H","Castle Douglas Hospital",2007-07-31,86,86,0
"Y106H","Kirkcudbright Hospital",2007-07-31,83,83,0
"Y109H","Moffat Hospital",2007-07-31,7,7,0
"Y110H","Newton Stewart Hospital",2007-07-31,85,85,0
"Y144H","Galloway Community Hospital - Type 1",2007-07-31,1189,1167,22
"Y146H","Dumfries & Galloway Royal Infirmary - Type 1",2007-07-31,2970,2862,108
"Z102H","Gilbert Bain Hospital - Type 1",2007-07-31,802,791,11
"A101H","Arran War Memorial Hospital",2007-08-31,265,265,0
"A111H","University Hospital Crosshouse - Type 1",2007-08-31,5655,5508,147
"A207H","Davidson Cottage Hospital",2007-08-31,86,86,0
"A210H","University Hospital Ayr - Type 1",2007-08-31,3558,3388,170
"B103H","Knoll Community Hospital",2007-08-31,14,14,0
"B105H","Hawick Community  Hospital",2007-08-31,106,106,0
"B114H","Kelso Community Hospital",2007-08-31,28,28,0
"B118H","Hay Lodge Hospital",2007-08-31,122,122,0
"B120H","Borders General Hospital - Type 1",2007-08-31,2005,1993,12
"C103B","Campbeltown Hospital (2007-2009)",2007-08-31,423,422,1
"C106H","Cowal Community Hospital",2007-08-31,628,627,1
"C108H","Islay Hospital",2007-08-31,94,94,0
"C110H","Mid Argyll Community Hospital And Integrated Care Centre (2007-2009)",2007-08-31,364,364,0
"C113H","Victoria Hospital (NHS Highland)",2007-08-31,367,361,6
"C117J","Dunaros Hospital",2007-08-31,74,73,1
"C121H","Lorn & Islands Hospital - Type 1",2007-08-31,631,629,2
"C122H","Campbeltown Hospital",2007-08-31,250,249,1
"C206H","Vale Of Leven District General Hospital",2007-08-31,1407,1388,19
"C313H","Inverclyde Royal Hospital - Type 1",2007-08-31,2791,2732,59
"C418H","Royal Alexandra Hospital - Type 1",2007-08-31,5691,5548,143
"F704H","Victoria Hospital (NHS Fife) - Type 1",2007-08-31,3877,3745,132
"F708H","Adamson Hospital",2007-08-31,155,155,0
"F709H","St Andrews Community Hospital",2007-08-31,251,250,1
"F805H","Queen Margaret Hospital - Type 1",2007-08-31,3507,3400,107
"G107H","Glasgow Royal Infirmary - Type 1",2007-08-31,6248,5881,367
"G207H","Stobhill Hospital - Type 1",2007-08-31,3627,3348,279
"G306H","Victoria Infirmary - Type 1",2007-08-31,5964,5844,120
"G405H","Southern General Hospital - Type 1",2007-08-31,4162,3813,349
"G513H","Royal Hospital For Children Glasgow - Type 1",2007-08-31,3007,2962,45
"G516H","Western Infirmary/Gartnavel General - Type 1",2007-08-31,5177,4733,444
"H101H","Dunbar Hospital",2007-08-31,228,227,1
"H103H","Caithness General Hospital - Type 1",2007-08-31,578,573,5
"H106H","Lawson Memorial Hospital",2007-08-31,66,66,0
"H202H","Raigmore Hospital - Type 1",2007-08-31,2805,2717,88
"H208H","Nairn Town And County Hospital",2007-08-31,283,281,2
"H210H","Ian Charles Community Hospital",2007-08-31,107,107,0
"H212H","Belford Hospital - Type 1",2007-08-31,936,921,15
"H214H","Dr Mackinnon Memorial Hospital",2007-08-31,304,287,17
"H215H","Portree Community Hospital",2007-08-31,150,146,4
"H217H","Ross Memorial Hospital",2007-08-31,225,225,0
"H219H","County Community Hospital",2007-08-31,104,103,1
"H227B","Aviemore Health Centre",2007-08-31,218,218,0
"L106H","University Hospital Monklands - Type 1",2007-08-31,5692,5498,194
"L206H","Kello Hospital",2007-08-31,174,174,0
"L207H","Lady Home Hospital",2007-08-31,140,140,0
"L302H","University Hospital Hairmyres - Type 1",2007-08-31,4833,4717,116
"L308H","University Hospital Wishaw - Type 1",2007-08-31,5614,5531,83
"N101H","Aberdeen Royal Infirmary - Type 1",2007-08-31,5421,5261,160
"N121H","Royal Aberdeen Children's Hospital - Type 1",2007-08-31,1412,1402,10
"N151H","Aboyne Hospital",2007-08-31,72,72,0
"N331H","Inverurie Hospital",2007-08-31,48,48,0
"N332H","Insch War Memorial Hospital",2007-08-31,93,93,0
"N333H","Peterhead Community Hospital",2007-08-31,1105,1104,1
"N334H","Fraserburgh Hospital",2007-08-31,806,802,4
"N335H","Jubilee Hospital",2007-08-31,256,256,0
"N336H","Turriff Hospital",2007-08-31,178,178,0
"N337H","Chalmers Hospital",2007-08-31,385,385,0
"N411H","Dr Gray's Hospital - Type 1",2007-08-31,1905,1791,114
"N431H","Seafield Hospital",2007-08-31,104,104,0
"N432H","Stephen Hospital",2007-08-31,45,45,0
"N433H","Turner Memorial Hospital",2007-08-31,118,118,0
"N434H","Leanchoil Hospital",2007-08-31,62,62,0
"N451H","Fleming Hospital",2007-08-31,36,36,0
"N494H","Kincardine Community Hospital",2007-08-31,150,150,0
"R103H","Balfour Hospital - Type 3",2007-08-31,237,237,0
"S116H","Western General Hospital",2007-08-31,2972,2784,188
"S308H","St John's Hospital - Type 1",2007-08-31,4036,3912,124
"S314H","Royal Infirmary Of Edinburgh - Type 1",2007-08-31,9473,8620,853
"S319H","Royal Hospital for Children and Young People Edinburgh - Type 1",2007-08-31,2875,2847,28
"T101H","Ninewells Hospital - Type 1",2007-08-31,4072,4040,32
"T202H","Perth Royal Infirmary - Type 1",2007-08-31,2300,2281,19
"T208H","Irvine Memorial Hospital",2007-08-31,63,63,0
"T209H","Blairgowrie Community Hospital",2007-08-31,147,145,2
"T304H","Arbroath Infirmary",2007-08-31,700,699,1
"T305H","Brechin Infirmary",2007-08-31,146,146,0
"T319H","Whitehills Health And Community Care Centre",2007-08-31,422,422,0
"T357C","Links Health Centre",2007-08-31,334,334,0
"V102H","Falkirk Community Hospital",2007-08-31,1872,1870,2
"V201H","Stirling Royal Infirmary - Type 1",2007-08-31,4370,4055,315
"W106H","St Brendan's Hospital",2007-08-31,36,35,1
"W107H","Western Isles Hospital - Type 1",2007-08-31,767,742,25
"W108H","Uist & Barra Hospital",2007-08-31,112,112,0
"Y101H","Castle Douglas Hospital",2007-08-31,92,92,0
"Y106H","Kirkcudbright Hospital",2007-08-31,77,77,0
"Y109H","Moffat Hospital",2007-08-31,10,10,0
"Y110H","Newton Stewart Hospital",2007-08-31,62,62,0
"Y144H","Galloway Community Hospital - Type 1",2007-08-31,1269,1248,21
"Y146H","Dumfries & Galloway Royal Infirmary - Type 1",2007-08-31,3010,2903,107
"Z102H","Gilbert Bain Hospital - Type 1",2007-08-31,745,727,18
"A101H","Arran War Memorial Hospital",2007-09-30,173,173,0
"A111H","University Hospital Crosshouse - Type 1",2007-09-30,5499,5426,73
"A207H","Davidson Cottage Hospital",2007-09-30,78,78,0
"A210H","University Hospital Ayr - Type 1",2007-09-30,3270,3157,113
"B103H","Knoll Community Hospital",2007-09-30,19,19,0
"B105H","Hawick Community  Hospital",2007-09-30,106,106,0
"B114H","Kelso Community Hospital",2007-09-30,31,31,0
"B118H","Hay Lodge Hospital",2007-09-30,87,87,0
"B120H","Borders General Hospital - Type 1",2007-09-30,2028,2016,12
"C103B","Campbeltown Hospital (2007-2009)",2007-09-30,541,537,4
"C106H","Cowal Community Hospital",2007-09-30,554,554,0
"C108H","Islay Hospital",2007-09-30,77,75,2
"C110H","Mid Argyll Community Hospital And Integrated Care Centre (2007-2009)",2007-09-30,266,264,2
"C113H","Victoria Hospital (NHS Highland)",2007-09-30,386,382,4
"C117J","Dunaros Hospital",2007-09-30,35,34,1
"C121H","Lorn & Islands Hospital - Type 1",2007-09-30,557,552,5
"C206H","Vale Of Leven District General Hospital",2007-09-30,1224,1218,6
"C313H","Inverclyde Royal Hospital - Type 1",2007-09-30,2616,2581,35
"C418H","Royal Alexandra Hospital - Type 1",2007-09-30,5690,5481,209
"F704H","Victoria Hospital (NHS Fife) - Type 1",2007-09-30,3837,3646,191
"F708H","Adamson Hospital",2007-09-30,147,147,0
"F709H","St Andrews Community Hospital",2007-09-30,309,308,1
"F805H","Queen Margaret Hospital - Type 1",2007-09-30,3393,3289,104
"G107H","Glasgow Royal Infirmary - Type 1",2007-09-30,6032,5631,401
"G207H","Stobhill Hospital - Type 1",2007-09-30,3410,3262,148
"G306H","Victoria Infirmary - Type 1",2007-09-30,5838,5712,126
"G405H","Southern General Hospital - Type 1",2007-09-30,4043,3854,189
"G513H","Royal Hospital For Children Glasgow - Type 1",2007-09-30,3168,3123,45
"G516H","Western Infirmary/Gartnavel General - Type 1",2007-09-30,4848,4524,324
"H101H","Dunbar Hospital",2007-09-30,204,204,0
"H103H","Caithness General Hospital - Type 1",2007-09-30,478,475,3
"H106H","Lawson Memorial Hospital",2007-09-30,43,43,0
"H202H","Raigmore Hospital - Type 1",2007-09-30,2611,2556,55
"H208H","Nairn Town And County Hospital",2007-09-30,237,236,1
"H210H","Ian Charles Community Hospital",2007-09-30,122,122,0
"H212H","Belford Hospital - Type 1",2007-09-30,761,749,12
"H214H","Dr Mackinnon Memorial Hospital",2007-09-30,244,237,7
"H215H","Portree Community Hospital",2007-09-30,117,116,1
"H217H","Ross Memorial Hospital",2007-09-30,196,196,0
"H219H","County Community Hospital",2007-09-30,76,75,1
"H227B","Aviemore Health Centre",2007-09-30,123,123,0
"L106H","University Hospital Monklands - Type 1",2007-09-30,5495,5384,111
"L206H","Kello Hospital",2007-09-30,161,161,0
"L207H","Lady Home Hospital",2007-09-30,228,228,0
"L302H","University Hospital Hairmyres - Type 1",2007-09-30,4752,4530,222
"L308H","University Hospital Wishaw - Type 1",2007-09-30,5511,5420,91
"N101H","Aberdeen Royal Infirmary - Type 1",2007-09-30,5246,5038,208
"N121H","Royal Aberdeen Children's Hospital - Type 1",2007-09-30,1486,1480,6
"N151H","Aboyne Hospital",2007-09-30,89,89,0
"N331H","Inverurie Hospital",2007-09-30,64,64,0
"N332H","Insch War Memorial Hospital",2007-09-30,70,70,0
"N333H","Peterhead Community Hospital",2007-09-30,1108,1107,1
"N334H","Fraserburgh Hospital",2007-09-30,845,842,3
"N335H","Jubilee Hospital",2007-09-30,259,259,0
"N336H","Turriff Hospital",2007-09-30,185,185,0
"N337H","Chalmers Hospital",2007-09-30,343,343,0
"N411H","Dr Gray's Hospital - Type 1",2007-09-30,1963,1838,125
"N431H","Seafield Hospital",2007-09-30,76,76,0
"N432H","Stephen Hospital",2007-09-30,31,31,0
"N433H","Turner Memorial Hospital",2007-09-30,106,106,0
"N434H","Leanchoil Hospital",2007-09-30,74,74,0
"N451H","Fleming Hospital",2007-09-30,39,39,0
"N494H","Kincardine Community Hospital",2007-09-30,139,139,0
"R103H","Balfour Hospital - Type 3",2007-09-30,242,242,0
"S116H","Western General Hospital",2007-09-30,3001,2785,216
"S308H","St John's Hospital - Type 1",2007-09-30,3999,3937,62
"S314H","Royal Infirmary Of Edinburgh - Type 1",2007-09-30,8887,8229,658
"S319H","Royal Hospital for Children and Young People Edinburgh - Type 1",2007-09-30,2902,2880,22
"T101H","Ninewells Hospital - Type 1",2007-09-30,4113,4086,27
"T202H","Perth Royal Infirmary - Type 1",2007-09-30,2142,2118,24
"T208H","Irvine Memorial Hospital",2007-09-30,57,57,0
"T209H","Blairgowrie Community Hospital",2007-09-30,170,170,0
"T304H","Arbroath Infirmary",2007-09-30,783,782,1
"T305H","Brechin Infirmary",2007-09-30,164,164,0
"T319H","Whitehills Health And Community Care Centre",2007-09-30,434,432,2
"T357C","Links Health Centre",2007-09-30,375,375,0
"V102H","Falkirk Community Hospital",2007-09-30,1813,1808,5
"V201H","Stirling Royal Infirmary - Type 1",2007-09-30,4301,4012,289
"W106H","St Brendan's Hospital",2007-09-30,16,16,0
"W107H","Western Isles Hospital - Type 1",2007-09-30,689,664,25
"W108H","Uist & Barra Hospital",2007-09-30,106,106,0
"Y101H","Castle Douglas Hospital",2007-09-30,59,59,0
"Y106H","Kirkcudbright Hospital",2007-09-30,44,44,0
"Y109H","Moffat Hospital",2007-09-30,12,12,0
"Y110H","Newton Stewart Hospital",2007-09-30,63,63,0
"Y144H","Galloway Community Hospital - Type 1",2007-09-30,1064,1046,18
"Y146H","Dumfries & Galloway Royal Infirmary - Type 1",2007-09-30,2909,2835,74
"Z102H","Gilbert Bain Hospital - Type 1",2007-09-30,713,691,22
"A101H","Arran War Memorial Hospital",2007-10-31,165,165,0
"A110H","Lady Margaret Hospital",2007-10-31,74,74,0
"A111H","University Hospital Crosshouse - Type 1",2007-10-31,5481,5374,107
"A207H","Davidson Cottage Hospital",2007-10-31,83,83,0
"A210H","University Hospital Ayr - Type 1",2007-10-31,3452,3304,148
"B103H","Knoll Community Hospital",2007-10-31,13,13,0
"B105H","Hawick Community  Hospital",2007-10-31,88,88,0
"B114H","Kelso Community Hospital",2007-10-31,26,26,0
"B118H","Hay Lodge Hospital",2007-10-31,96,96,0
"B120H","Borders General Hospital - Type 1",2007-10-31,1912,1895,17
"C103B","Campbeltown Hospital (2007-2009)",2007-10-31,489,488,1
"C106H","Cowal Community Hospital",2007-10-31,521,520,1
"C108H","Islay Hospital",2007-10-31,80,79,1
"C110H","Mid Argyll Community Hospital And Integrated Care Centre (2007-2009)",2007-10-31,299,290,9
"C113H","Victoria Hospital (NHS Highland)",2007-10-31,284,279,5
"C117J","Dunaros Hospital",2007-10-31,66,65,1
"C121H","Lorn & Islands Hospital - Type 1",2007-10-31,496,494,2
"C206H","Vale Of Leven District General Hospital",2007-10-31,1196,1193,3
"C313H","Inverclyde Royal Hospital - Type 1",2007-10-31,2645,2590,55
"C418H","Royal Alexandra Hospital - Type 1",2007-10-31,5797,5579,218
"F704H","Victoria Hospital (NHS Fife) - Type 1",2007-10-31,3726,3629,97
"F708H","Adamson Hospital",2007-10-31,149,149,0
"F709H","St Andrews Community Hospital",2007-10-31,319,319,0
"F805H","Queen Margaret Hospital - Type 1",2007-10-31,3358,3275,83
"G107H","Glasgow Royal Infirmary - Type 1",2007-10-31,6562,6174,388
"G207H","Stobhill Hospital - Type 1",2007-10-31,3577,3434,143
"G306H","Victoria Infirmary - Type 1",2007-10-31,5788,5676,112
"G405H","Southern General Hospital - Type 1",2007-10-31,4028,3852,176
"G513H","Royal Hospital For Children Glasgow - Type 1",2007-10-31,3316,3249,67
"G516H","Western Infirmary/Gartnavel General - Type 1",2007-10-31,5270,4876,394
"H101H","Dunbar Hospital",2007-10-31,191,191,0
"H103H","Caithness General Hospital - Type 1",2007-10-31,477,473,4
"H106H","Lawson Memorial Hospital",2007-10-31,70,70,0
"H202H","Raigmore Hospital - Type 1",2007-10-31,2360,2337,23
"H208H","Nairn Town And County Hospital",2007-10-31,195,195,0
"H210H","Ian Charles Community Hospital",2007-10-31,79,78,1
"H212H","Belford Hospital - Type 1",2007-10-31,791,781,10
"H214H","Dr Mackinnon Memorial Hospital",2007-10-31,213,207,6
"H215H","Portree Community Hospital",2007-10-31,120,120,0
"H217H","Ross Memorial Hospital",2007-10-31,169,169,0
"H219H","County Community Hospital",2007-10-31,83,83,0
"H227B","Aviemore Health Centre",2007-10-31,149,149,0
"L106H","University Hospital Monklands - Type 1",2007-10-31,5627,5417,210
"L206H","Kello Hospital",2007-10-31,160,160,0
"L207H","Lady Home Hospital",2007-10-31,133,133,0
"L302H","University Hospital Hairmyres - Type 1",2007-10-31,4461,4296,165
"L308H","University Hospital Wishaw - Type 1",2007-10-31,5575,5479,96
"N101H","Aberdeen Royal Infirmary - Type 1",2007-10-31,5279,5144,135
"N121H","Royal Aberdeen Children's Hospital - Type 1",2007-10-31,1341,1340,1
"N151H","Aboyne Hospital",2007-10-31,58,58,0
"N331H","Inverurie Hospital",2007-10-31,31,31,0
"N332H","Insch War Memorial Hospital",2007-10-31,51,51,0
"N333H","Peterhead Community Hospital",2007-10-31,1022,1022,0
"N334H","Fraserburgh Hospital",2007-10-31,933,929,4
"N335H","Jubilee Hospital",2007-10-31,241,241,0
"N336H","Turriff Hospital",2007-10-31,168,168,0
"N337H","Chalmers Hospital",2007-10-31,318,318,0
"N411H","Dr Gray's Hospital - Type 1",2007-10-31,1881,1838,43
"N431H","Seafield Hospital",2007-10-31,87,87,0
"N432H","Stephen Hospital",2007-10-31,23,23,0
"N433H","Turner Memorial Hospital",2007-10-31,110,110,0
"N434H","Leanchoil Hospital",2007-10-31,41,41,0
"N451H","Fleming Hospital",2007-10-31,25,25,0
"N494H","Kincardine Community Hospital",2007-10-31,125,125,0
"R103H","Balfour Hospital - Type 3",2007-10-31,199,199,0
"S116H","Western General Hospital",2007-10-31,2934,2745,189
"S308H","St John's Hospital - Type 1",2007-10-31,3871,3796,75
"S314H","Royal Infirmary Of Edinburgh - Type 1",2007-10-31,8971,8438,533
"S319H","Royal Hospital for Children and Young People Edinburgh - Type 1",2007-10-31,2956,2928,28
"T101H","Ninewells Hospital - Type 1",2007-10-31,4057,4025,32
"T202H","Perth Royal Infirmary - Type 1",2007-10-31,2105,2071,34
"T208H","Irvine Memorial Hospital",2007-10-31,52,52,0
"T209H","Blairgowrie Community Hospital",2007-10-31,116,116,0
"T304H","Arbroath Infirmary",2007-10-31,666,666,0
"T305H","Brechin Infirmary",2007-10-31,143,143,0
"T319H","Whitehills Health And Community Care Centre",2007-10-31,405,405,0
"T357C","Links Health Centre",2007-10-31,408,407,1
"V102H","Falkirk Community Hospital",2007-10-31,1812,1810,2
"V201H","Stirling Royal Infirmary - Type 1",2007-10-31,4018,3940,78
"W106H","St Brendan's Hospital",2007-10-31,14,14,0
"W107H","Western Isles Hospital - Type 1",2007-10-31,643,627,16
"W108H","Uist & Barra Hospital",2007-10-31,114,114,0
"Y101H","Castle Douglas Hospital",2007-10-31,63,63,0
"Y106H","Kirkcudbright Hospital",2007-10-31,51,51,0
"Y109H","Moffat Hospital",2007-10-31,13,13,0
"Y110H","Newton Stewart Hospital",2007-10-31,61,61,0
"Y144H","Galloway Community Hospital - Type 1",2007-10-31,913,890,23
"Y146H","Dumfries & Galloway Royal Infirmary - Type 1",2007-10-31,2760,2724,36
"Z102H","Gilbert Bain Hospital - Type 1",2007-10-31,676,670,6
"A101H","Arran War Memorial Hospital",2007-11-30,111,111,0
"A110H","Lady Margaret Hospital",2007-11-30,42,42,0
"A111H","University Hospital Crosshouse - Type 1",2007-11-30,5119,5042,77
"A207H","Davidson Cottage Hospital",2007-11-30,117,117,0
"A210H","University Hospital Ayr - Type 1",2007-11-30,3061,2980,81
"B103H","Knoll Community Hospital",2007-11-30,12,12,0
"B105H","Hawick Community  Hospital",2007-11-30,71,71,0
"B114H","Kelso Community Hospital",2007-11-30,32,32,0
"B118H","Hay Lodge Hospital",2007-11-30,53,53,0
"B120H","Borders General Hospital - Type 1",2007-11-30,1805,1784,21
"C103B","Campbeltown Hospital (2007-2009)",2007-11-30,547,541,6
"C106H","Cowal Community Hospital",2007-11-30,494,494,0
"C108H","Islay Hospital",2007-11-30,59,57,2
"C110H","Mid Argyll Community Hospital And Integrated Care Centre (2007-2009)",2007-11-30,265,260,5
"C113H","Victoria Hospital (NHS Highland)",2007-11-30,266,261,5
"C117J","Dunaros Hospital",2007-11-30,40,40,0
"C121H","Lorn & Islands Hospital - Type 1",2007-11-30,480,476,4
"C206H","Vale Of Leven District General Hospital",2007-11-30,1153,1148,5
"C313H","Inverclyde Royal Hospital - Type 1",2007-11-30,2493,2459,34
"C418H","Royal Alexandra Hospital - Type 1",2007-11-30,5317,5214,103
"F704H","Victoria Hospital (NHS Fife) - Type 1",2007-11-30,3361,3287,74
"F708H","Adamson Hospital",2007-11-30,147,147,0
"F709H","St Andrews Community Hospital",2007-11-30,268,268,0
"F805H","Queen Margaret Hospital - Type 1",2007-11-30,3186,3062,124
"G107H","Glasgow Royal Infirmary - Type 1",2007-11-30,5949,5651,298
"G207H","Stobhill Hospital - Type 1",2007-11-30,3302,3185,117
"G306H","Victoria Infirmary - Type 1",2007-11-30,5412,5320,92
"G405H","Southern General Hospital - Type 1",2007-11-30,3750,3590,160
"G513H","Royal Hospital For Children Glasgow - Type 1",2007-11-30,3456,3393,63
"G516H","Western Infirmary/Gartnavel General - Type 1",2007-11-30,4914,4643,271
"H101H","Dunbar Hospital",2007-11-30,150,150,0
"H103H","Caithness General Hospital - Type 1",2007-11-30,473,471,2
"H106H","Lawson Memorial Hospital",2007-11-30,37,37,0
"H202H","Raigmore Hospital - Type 1",2007-11-30,2218,2191,27
"H208H","Nairn Town And County Hospital",2007-11-30,188,186,2
"H210H","Ian Charles Community Hospital",2007-11-30,68,67,1
"H212H","Belford Hospital - Type 1",2007-11-30,612,608,4
"H214H","Dr Mackinnon Memorial Hospital",2007-11-30,207,205,2
"H215H","Portree Community Hospital",2007-11-30,101,100,1
"H217H","Ross Memorial Hospital",2007-11-30,165,165,0
"H219H","County Community Hospital",2007-11-30,70,70,0
"H227B","Aviemore Health Centre",2007-11-30,70,69,1
"L106H","University Hospital Monklands - Type 1",2007-11-30,5208,5145,63
"L206H","Kello Hospital",2007-11-30,123,123,0
"L207H","Lady Home Hospital",2007-11-30,126,126,0
"L302H","University Hospital Hairmyres - Type 1",2007-11-30,4526,4323,203
"L308H","University Hospital Wishaw - Type 1",2007-11-30,5408,5345,63
"N101H","Aberdeen Royal Infirmary - Type 1",2007-11-30,4974,4738,236
"N121H","Royal Aberdeen Children's Hospital - Type 1",2007-11-30,1204,1202,2
"N151H","Aboyne Hospital",2007-11-30,66,66,0
"N331H","Inverurie Hospital",2007-11-30,39,39,0
"N332H","Insch War Memorial Hospital",2007-11-30,61,61,0
"N333H","Peterhead Community Hospital",2007-11-30,926,925,1
"N334H","Fraserburgh Hospital",2007-11-30,769,765,4
"N335H","Jubilee Hospital",2007-11-30,215,215,0
"N336H","Turriff Hospital",2007-11-30,163,163,0
"N337H","Chalmers Hospital",2007-11-30,271,271,0
"N411H","Dr Gray's Hospital - Type 1",2007-11-30,1699,1680,19
"N431H","Seafield Hospital",2007-11-30,58,58,0
"N432H","Stephen Hospital",2007-11-30,31,31,0
"N433H","Turner Memorial Hospital",2007-11-30,94,94,0
"N434H","Leanchoil Hospital",2007-11-30,52,52,0
"N451H","Fleming Hospital",2007-11-30,25,25,0
"N494H","Kincardine Community Hospital",2007-11-30,122,122,0
"R103H","Balfour Hospital - Type 3",2007-11-30,146,146,0
"S116H","Western General Hospital",2007-11-30,2900,2802,98
"S308H","St John's Hospital - Type 1",2007-11-30,3635,3599,36
"S314H","Royal Infirmary Of Edinburgh - Type 1",2007-11-30,8516,8155,361
"S319H","Royal Hospital for Children and Young People Edinburgh - Type 1",2007-11-30,3002,2964,38
"T101H","Ninewells Hospital - Type 1",2007-11-30,3863,3821,42
