"stp20_nhs_code","stp20_name","date","year","month","treatment","waits_over_18_weeks","waits_over_52_weeks"
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",4081,233
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Gastroenterology",1926,20
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","General Medicine",262,2
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","General Surgery",3558,175
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Geriatric Medicine",72,1
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Gynaecology",2741,43
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Neurology",1241,31
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Neurosurgery",11,1
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Ophthalmology",7062,199
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Oral Surgery",2372,207
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Other",7424,195
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Plastic Surgery",4401,351
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Rheumatology",968,7
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Thoracic Medicine",1228,9
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Total",55609,2201
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",9537,398
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Urology",2827,274
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Cardiology",1120,4
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",0,0
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Dermatology",752,2
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",1758,2
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Gastroenterology",788,71
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","General Medicine",502,0
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","General Surgery",1519,200
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Geriatric Medicine",6,0
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Gynaecology",1778,0
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Neurology",642,0
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Ophthalmology",2760,2
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Oral Surgery",2317,29
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Other",2345,17
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Plastic Surgery",149,4
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Rheumatology",206,2
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Thoracic Medicine",379,2
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Total",22931,406
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",3933,63
"QHG","BEDFORDSHIRE, LUTON AND MILTON KEYNES STP",2020-04-01,2020,"Apr","Urology",1977,8
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Cardiology",1133,3
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",41,0
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Dermatology",2063,1
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",4162,73
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Gastroenterology",2439,4
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","General Medicine",58,0
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","General Surgery",2998,8
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Geriatric Medicine",74,0
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Gynaecology",2804,17
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Neurology",1685,7
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Neurosurgery",1701,26
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Ophthalmology",3768,2
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Oral Surgery",1626,0
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Other",10122,23
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Plastic Surgery",561,5
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Rheumatology",213,1
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Thoracic Medicine",899,0
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Total",45131,248
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",5292,4
"QHL","BIRMINGHAM AND SOLIHULL STP",2020-04-01,2020,"Apr","Urology",3492,74
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Cardiology",2330,11
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",55,1
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Dermatology",2518,6
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",5135,47
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Gastroenterology",1876,18
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","General Medicine",556,5
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","General Surgery",5761,36
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Geriatric Medicine",269,0
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Gynaecology",3837,38
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Neurology",1481,3
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Neurosurgery",325,0
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Ophthalmology",15003,72
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Oral Surgery",3321,4
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Other",11203,78
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Plastic Surgery",2475,42
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Rheumatology",865,1
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Thoracic Medicine",1005,0
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Total",83465,990
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",20945,605
"QHM","CUMBRIA AND NORTH EAST STP",2020-04-01,2020,"Apr","Urology",4505,23
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Cardiology",638,4
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",0,0
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Dermatology",1508,5
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",1503,11
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Gastroenterology",644,4
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","General Medicine",110,1
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","General Surgery",2251,35
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Geriatric Medicine",42,0
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Gynaecology",1406,1
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Neurology",175,3
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Neurosurgery",23,0
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Ophthalmology",4939,7
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Oral Surgery",584,0
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Other",4249,99
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Plastic Surgery",214,6
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Rheumatology",551,3
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Thoracic Medicine",238,1
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Total",28991,338
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",8763,143
"QJ2","JOINED UP CARE DERBYSHIRE STP",2020-04-01,2020,"Apr","Urology",1153,15
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Cardiology",270,1
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Dermatology",2598,3
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",1737,16
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Gastroenterology",1548,4
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","General Medicine",160,4
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","General Surgery",5068,196
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Geriatric Medicine",11,0
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Gynaecology",3164,35
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Neurology",1577,2
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Ophthalmology",3977,27
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Oral Surgery",1101,7
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Other",1318,16
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Plastic Surgery",380,4
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Rheumatology",661,1
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Thoracic Medicine",367,3
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Total",34241,568
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",7556,165
"QJG","SUFFOLK AND NORTH EAST ESSEX STP",2020-04-01,2020,"Apr","Urology",2748,84
"QJK","DEVON STP",2020-04-01,2020,"Apr","Cardiology",3447,96
"QJK","DEVON STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",432,8
"QJK","DEVON STP",2020-04-01,2020,"Apr","Dermatology",1778,2
"QJK","DEVON STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",2328,48
"QJK","DEVON STP",2020-04-01,2020,"Apr","Gastroenterology",1297,11
"QJK","DEVON STP",2020-04-01,2020,"Apr","General Medicine",107,0
"QJK","DEVON STP",2020-04-01,2020,"Apr","General Surgery",2139,90
"QJK","DEVON STP",2020-04-01,2020,"Apr","Geriatric Medicine",46,0
"QJK","DEVON STP",2020-04-01,2020,"Apr","Gynaecology",2217,20
"QJK","DEVON STP",2020-04-01,2020,"Apr","Neurology",859,6
"QJK","DEVON STP",2020-04-01,2020,"Apr","Neurosurgery",839,119
"QJK","DEVON STP",2020-04-01,2020,"Apr","Ophthalmology",8077,60
"QJK","DEVON STP",2020-04-01,2020,"Apr","Oral Surgery",934,4
"QJK","DEVON STP",2020-04-01,2020,"Apr","Other",7082,197
"QJK","DEVON STP",2020-04-01,2020,"Apr","Plastic Surgery",1140,40
"QJK","DEVON STP",2020-04-01,2020,"Apr","Rheumatology",234,0
"QJK","DEVON STP",2020-04-01,2020,"Apr","Thoracic Medicine",631,1
"QJK","DEVON STP",2020-04-01,2020,"Apr","Total",47604,1083
"QJK","DEVON STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",11290,318
"QJK","DEVON STP",2020-04-01,2020,"Apr","Urology",2727,63
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Cardiology",486,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",0,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Dermatology",391,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",1499,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Gastroenterology",1389,2
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","General Medicine",85,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","General Surgery",1668,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Geriatric Medicine",66,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Gynaecology",624,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Neurology",402,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Ophthalmology",1842,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Other",3633,2
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Rheumatology",360,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Thoracic Medicine",287,0
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Total",14328,5
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",1044,1
"QJM","LINCOLNSHIRE STP",2020-04-01,2020,"Apr","Urology",552,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Cardiology",1255,1
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",144,1
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Dermatology",480,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",2706,127
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Gastroenterology",1329,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","General Medicine",10,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","General Surgery",3152,69
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Geriatric Medicine",30,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Gynaecology",2065,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Neurology",938,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Neurosurgery",59,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Ophthalmology",3349,24
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Other",8342,152
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Plastic Surgery",668,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Rheumatology",97,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Thoracic Medicine",154,0
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Total",32456,562
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",5362,73
"QK1","LEICESTER, LEICESTERSHIRE AND RUTLAND STP",2020-04-01,2020,"Apr","Urology",2316,115
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Cardiology",3249,25
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",63,0
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Dermatology",3419,19
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",7899,134
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Gastroenterology",2109,17
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","General Medicine",189,1
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","General Surgery",6890,358
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Geriatric Medicine",143,0
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Gynaecology",6243,140
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Neurology",1381,3
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Neurosurgery",873,15
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Ophthalmology",6938,163
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Oral Surgery",5680,20
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Other",18432,400
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Plastic Surgery",973,63
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Rheumatology",593,1
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Thoracic Medicine",711,2
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Total",76635,1738
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",8350,357
"QKK","OUR HEALTHIER SOUTH EAST LONDON STP",2020-04-01,2020,"Apr","Urology",2500,20
