"hb19_code","date","specialty","average_number_available_staffed_beds","average_number_occupied_beds","percent_occupied_beds"
"S08000015",2021-01-01,"All Acute",964.311111111111,846.833333333333,0.878174401991059
"S08000015",2021-04-01,"All Acute",953.45054945055,855.450549450549,0.89721543497303
"S08000015",2021-07-01,"All Acute",979.347826086956,897.760869565217,0.91669256381798
"S08000015",2021-10-01,"All Acute",1019.02173913043,930.358695652174,0.912992
"S08000015",2022-01-01,"All Acute",1040,955.644444444444,0.918888888888889
"S08000015",2022-04-01,"All Acute",1028.42857142857,958.10989010989,0.931625118873348
"S08000015",2022-07-01,"All Acute",1031.82608695652,956.880434782609,0.927366003708074
"S08000015",2022-10-01,"All Acute",1045.34782608696,990.141304347826,0.947188370835586
"S08000015",2023-01-01,"All Acute",1042.63333333333,991.877777777778,0.951319841853427
"S08000015",2023-04-01,"All Acute",983.10989010989,944.098901098901,0.960318791008573
"S08000015",2023-07-01,"All Acute",972.630434782609,939.95652173913,0.966406651617085
"S08000015",2023-10-01,"All Acute",975.413043478261,943.760869565217,0.967549978827253
"S08000015",2024-01-01,"All Acute",995.373626373626,973.461538461538,0.977986067410768
"S08000015",2024-04-01,"All Acute",978.296703296703,950.967032967033,0.97206402695872
"S08000015",2019-04-01,"All Specialties",1374.69230769231,1224.36263736264,0.890644859588959
"S08000015",2019-07-01,"All Specialties",1359.17391304348,1222.36956521739,0.899347429704744
"S08000015",2019-10-01,"All Specialties",1381.47826086957,1238.39130434783,0.89642474979543
"S08000015",2020-01-01,"All Specialties",1409.59340659341,1206.49450549451,0.85591667771082
"S08000015",2020-04-01,"All Specialties",1299.1978021978,920.56043956044,0.708560650274472
"S08000015",2020-07-01,"All Specialties",1294.16304347826,1081.13043478261,0.835389667654939
"S08000015",2020-10-01,"All Specialties",1368.44565217391,1137.21739130435,0.831028539202681
"S08000015",2021-01-01,"All Specialties",1369.87777777778,1126.53333333333,0.822360470114933
"S08000015",2021-04-01,"All Specialties",1358.74725274725,1143.46153846154,0.841555731685619
"S08000015",2021-07-01,"All Specialties",1383.11956521739,1194.76086956522,0.863816042814369
"S08000015",2021-10-01,"All Specialties",1424.58695652174,1235.55434782609,0.867307076040347
"S08000015",2022-01-01,"All Specialties",1453.52222222222,1267.58888888889,0.872080845761637
"S08000015",2022-04-01,"All Specialties",1440.2967032967,1274,0.884539968107914
"S08000015",2022-07-01,"All Specialties",1443.9347826087,1276.75,0.884215835353277
"S08000015",2022-10-01,"All Specialties",1454.40217391304,1309.15217391304,0.900130787339785
"S08000015",2023-01-01,"All Specialties",1435.44444444444,1314.78888888889,0.915945506618159
"S08000015",2023-04-01,"All Specialties",1381.12087912088,1271.45054945055,0.920593243264748
"S08000015",2023-07-01,"All Specialties",1363.66304347826,1258.20652173913,0.922666730433535
"S08000015",2023-10-01,"All Specialties",1367.21739130435,1256.77173913043,0.919218660560962
"S08000015",2024-01-01,"All Specialties",1380.93406593407,1272.02197802198,0.92113157999443
"S08000015",2024-04-01,"All Specialties",1363.53846153846,1246.05494505495,0.913839235344369
"S08000015",2019-04-01,"Anaesthetics",0.021978021978022,0.021978021978022,1
"S08000015",2019-07-01,"Anaesthetics",0.0217391304347826,0.0217391304347826,1
"S08000015",2020-01-01,"Anaesthetics",0.032967032967033,0.032967032967033,1
"S08000015",2020-07-01,"Anaesthetics",0.0217391304347826,0.0217391304347826,1
"S08000015",2021-10-01,"Anaesthetics",0.0108695652173913,0.0108695652173913,1
"S08000015",2022-04-01,"Anaesthetics",0.010989010989011,0.010989010989011,1
"S08000015",2022-10-01,"Anaesthetics",0.0108695652173913,0.0108695652173913,1
"S08000015",2023-07-01,"Anaesthetics",0.0760869565217391,0.0760869565217391,1
"S08000015",2019-04-01,"Cardiology",18.9120879120879,17.4285714285714,0.921557234166182
"S08000015",2019-07-01,"Cardiology",18.9673913043478,17.3369565217391,0.914040114613181
"S08000015",2019-10-01,"Cardiology",18.5760869565217,17.1413043478261,0.922761849034523
"S08000015",2020-01-01,"Cardiology",18.0769230769231,16.3406593406593,0.903951367781155
"S08000015",2020-04-01,"Cardiology",16.8021978021978,9.69230769230769,0.576847612818836
"S08000015",2020-07-01,"Cardiology",15.3152173913043,13.695652173913,0.894251242015614
"S08000015",2020-10-01,"Cardiology",12.304347826087,11.4565217391304,0.931095406360424
"S08000015",2021-01-01,"Cardiology",10.9444444444444,9.66666666666667,0.883248730964467
"S08000015",2021-04-01,"Cardiology",11.6923076923077,10.5274725274725,0.900375939849624
"S08000015",2021-07-01,"Cardiology",11.0652173913043,9.80434782608696,0.886051080550098
"S08000015",2021-10-01,"Cardiology",10.445652173913,9.06521739130435,0.867845993756504
"S08000015",2022-01-01,"Cardiology",10.9333333333333,9.9,0.905487804878049
"S08000015",2022-04-01,"Cardiology",13.3626373626374,12.1428571428571,0.908717105263158
"S08000015",2022-07-01,"Cardiology",11.7717391304348,10.554347826087,0.896583564173592
"S08000015",2022-10-01,"Cardiology",11.1847826086957,9.82608695652174,0.878522837706511
"S08000015",2023-01-01,"Cardiology",11,10.3555555555556,0.941414141414142
"S08000015",2023-04-01,"Cardiology",10.6483516483516,9.91208791208791,0.930856553147575
"S08000015",2023-07-01,"Cardiology",10.2608695652174,9.32608695652174,0.908898305084746
"S08000015",2023-10-01,"Cardiology",10.8369565217391,9.84782608695652,0.908726178535607
"S08000015",2024-01-01,"Cardiology",10.3516483516484,9.53846153846154,0.921443736730361
"S08000015",2024-04-01,"Cardiology",10.1318681318681,9.21978021978022,0.90997830802603
"S08000015",2023-10-01,"Clinical Oncology",0.0217391304347826,0.0217391304347826,1
"S08000015",2019-07-01,"Clinical Radiology",0.0217391304347826,0.0217391304347826,1
"S08000015",2022-10-01,"Clinical Radiology",0.0326086956521739,0.0326086956521739,1
"S08000015",2019-04-01,"Community Dental Practice",0.021978021978022,0.021978021978022,1
"S08000015",2021-07-01,"Community Dental Practice",0.0108695652173913,0.0108695652173913,1
"S08000015",2024-04-01,"Community Dental Practice",0.010989010989011,0.010989010989011,1
"S08000015",2019-04-01,"Community Grouping",62.967032967033,44.2417582417582,0.70261780104712
"S08000015",2019-07-01,"Community Grouping",64.6739130434783,46.3478260869565,0.716638655462185
"S08000015",2019-10-01,"Community Grouping",62.945652173913,46.3260869565217,0.735969608012433
"S08000015",2020-01-01,"Community Grouping",58.989010989011,45.8461538461538,0.777198211624441
"S08000015",2020-04-01,"Community Grouping",60.7032967032967,26.5054945054945,0.436640115858074
"S08000015",2020-07-01,"Community Grouping",61.6739130434783,30.1630434782609,0.489072964399013
"S08000015",2020-10-01,"Community Grouping",62,29.2934782608696,0.472475455820477
"S08000015",2021-01-01,"Community Grouping",59.4666666666667,31.2555555555556,0.525597907324365
"S08000015",2021-04-01,"Community Grouping",61.032967032967,32.5824175824176,0.533849477853799
"S08000015",2021-07-01,"Community Grouping",61,36.4782608695652,0.598004276550249
"S08000015",2021-10-01,"Community Grouping",60.0108695652174,42.0217391304348,0.700235464589748
"S08000015",2022-01-01,"Community Grouping",63.2777777777778,46.0333333333333,0.727480245829675
"S08000015",2022-04-01,"Community Grouping",63.010989010989,47.010989010989,0.746076037670038
"S08000015",2022-07-01,"Community Grouping",61.25,47.1739130434783,0.770186335403727
"S08000015",2022-10-01,"Community Grouping",63.3586956521739,47.9782608695652,0.757248241550866
"S08000015",2023-01-01,"Community Grouping",63.1888888888889,49.9222222222222,0.790047476701249
"S08000015",2023-04-01,"Community Grouping",63.6483516483516,48.9230769230769,0.768646408839779
"S08000015",2023-07-01,"Community Grouping",64.0869565217391,49.4565217391304,0.771709633649932
"S08000015",2023-10-01,"Community Grouping",64.0652173913043,46.4891304347826,0.725653206650831
"S08000015",2024-01-01,"Community Grouping",64,46.7582417582418,0.730597527472527
"S08000015",2024-04-01,"Community Grouping",63.989010989011,48.1758241758242,0.752876524128456
"S08000015",2019-04-01,"Dental Grouping",0.021978021978022,0.021978021978022,1
"S08000015",2021-07-01,"Dental Grouping",0.0108695652173913,0.0108695652173913,1
"S08000015",2024-04-01,"Dental Grouping",0.010989010989011,0.010989010989011,1
"S08000015",2019-04-01,"Dermatology",2.16483516483516,1.73626373626374,0.802030456852792
"S08000015",2019-07-01,"Dermatology",1.91304347826087,1.77173913043478,0.926136363636364
"S08000015",2019-10-01,"Dermatology",1.16304347826087,0.902173913043478,0.775700934579439
"S08000015",2020-01-01,"Dermatology",1.7032967032967,0.32967032967033,0.193548387096774
"S08000015",2020-04-01,"Dermatology",1.57142857142857,0,0
"S08000015",2020-07-01,"Dermatology",0.967391304347826,0.967391304347826,1
"S08000015",2021-01-01,"Dermatology",0.0777777777777778,0.0777777777777778,1
"S08000015",2021-04-01,"Dermatology",0.582417582417582,0.582417582417582,1
"S08000015",2021-07-01,"Dermatology",0.130434782608696,0.130434782608696,1
"S08000015",2023-01-01,"Dermatology",0.0111111111111111,0.0111111111111111,1
"S08000015",2023-04-01,"Dermatology",0.010989010989011,0.010989010989011,1
"S08000015",2023-10-01,"Dermatology",0.228260869565217,0.228260869565217,1
"S08000015",2024-04-01,"Dermatology",0.0549450549450549,0.0549450549450549,1
"S08000015",2019-04-01,"Ear, Nose & Throat (ENT)",8.68131868131868,8.59340659340659,0.989873417721519
"S08000015",2019-07-01,"Ear, Nose & Throat (ENT)",9.03260869565217,8.6304347826087,0.955475330926594
"S08000015",2019-10-01,"Ear, Nose & Throat (ENT)",8.3804347826087,8.16304347826087,0.974059662775616
"S08000015",2020-01-01,"Ear, Nose & Throat (ENT)",9.1978021978022,7.81318681318681,0.849462365591398
"S08000015",2020-04-01,"Ear, Nose & Throat (ENT)",8.7032967032967,2.76923076923077,0.318181818181818
"S08000015",2020-07-01,"Ear, Nose & Throat (ENT)",6.67391304347826,5.83695652173913,0.874592833876222
"S08000015",2020-10-01,"Ear, Nose & Throat (ENT)",5.09782608695652,4.73913043478261,0.929637526652452
"S08000015",2021-01-01,"Ear, Nose & Throat (ENT)",2.66666666666667,2.66666666666667,1
"S08000015",2021-04-01,"Ear, Nose & Throat (ENT)",4.46153846153846,4.46153846153846,1
"S08000015",2021-07-01,"Ear, Nose & Throat (ENT)",3.90217391304348,3.90217391304348,1
"S08000015",2021-10-01,"Ear, Nose & Throat (ENT)",3.25,3.25,1
"S08000015",2022-01-01,"Ear, Nose & Throat (ENT)",2.67777777777778,2.67777777777778,1
"S08000015",2022-04-01,"Ear, Nose & Throat (ENT)",3.43956043956044,3.43956043956044,1
"S08000015",2022-07-01,"Ear, Nose & Throat (ENT)",2.84782608695652,2.84782608695652,1
"S08000015",2022-10-01,"Ear, Nose & Throat (ENT)",4.67391304347826,4.67391304347826,1
"S08000015",2023-01-01,"Ear, Nose & Throat (ENT)",5.08888888888889,4.96666666666667,0.975982532751092
"S08000015",2023-04-01,"Ear, Nose & Throat (ENT)",5.32967032967033,4.79120879120879,0.898969072164948
"S08000015",2023-07-01,"Ear, Nose & Throat (ENT)",5.72826086956522,5.04347826086957,0.88045540796964
"S08000015",2023-10-01,"Ear, Nose & Throat (ENT)",5.91304347826087,5.21739130434783,0.882352941176471
"S08000015",2024-01-01,"Ear, Nose & Throat (ENT)",5.3956043956044,5.0989010989011,0.945010183299389
"S08000015",2024-04-01,"Ear, Nose & Throat (ENT)",5.21978021978022,4.97802197802198,0.953684210526316
"S08000015",2019-04-01,"Emergency Grouping",1.74725274725275,1.74725274725275,1
"S08000015",2019-07-01,"Emergency Grouping",1.3695652173913,1.3695652173913,1
"S08000015",2019-10-01,"Emergency Grouping",1.09782608695652,1.09782608695652,1
"S08000015",2020-01-01,"Emergency Grouping",0.538461538461538,0.538461538461538,1
"S08000015",2020-04-01,"Emergency Grouping",0.615384615384615,0.615384615384615,1
"S08000015",2020-07-01,"Emergency Grouping",0.532608695652174,0.532608695652174,1
"S08000015",2020-10-01,"Emergency Grouping",0.456521739130435,0.456521739130435,1
"S08000015",2021-01-01,"Emergency Grouping",0.444444444444444,0.444444444444444,1
"S08000015",2021-04-01,"Emergency Grouping",0.461538461538462,0.461538461538462,1
"S08000015",2021-07-01,"Emergency Grouping",0.673913043478261,0.673913043478261,1
"S08000015",2021-10-01,"Emergency Grouping",0.304347826086957,0.304347826086957,1
"S08000015",2022-01-01,"Emergency Grouping",0.2,0.2,1
"S08000015",2022-04-01,"Emergency Grouping",0.373626373626374,0.373626373626374,1
"S08000015",2022-07-01,"Emergency Grouping",0.25,0.25,1
"S08000015",2022-10-01,"Emergency Grouping",0.152173913043478,0.152173913043478,1
"S08000015",2023-01-01,"Emergency Grouping",0.222222222222222,0.222222222222222,1
"S08000015",2023-04-01,"Emergency Grouping",0.153846153846154,0.153846153846154,1
"S08000015",2023-07-01,"Emergency Grouping",0.304347826086957,0.304347826086957,1
"S08000015",2023-10-01,"Emergency Grouping",0.989130434782609,0.989130434782609,1
"S08000015",2024-01-01,"Emergency Grouping",0.021978021978022,0.021978021978022,1
"S08000015",2024-04-01,"Emergency Grouping",1.78021978021978,1.78021978021978,1
"S08000015",2019-04-01,"Forensic Psychiatry",21.2087912087912,13.4175824175824,0.632642487046632
"S08000015",2019-07-01,"Forensic Psychiatry",20.7608695652174,13.7173913043478,0.660732984293194
"S08000015",2019-10-01,"Forensic Psychiatry",20.9673913043478,14.4673913043478,0.689994815966822
"S08000015",2020-01-01,"Forensic Psychiatry",23.0659340659341,16.0549450549451,0.696045736064793
"S08000015",2020-04-01,"Forensic Psychiatry",21.1538461538462,16.967032967033,0.802077922077922
"S08000015",2020-07-01,"Forensic Psychiatry",19.9565217391304,14.945652173913,0.748910675381264
"S08000015",2020-10-01,"Forensic Psychiatry",16.1630434782609,14.6630434782609,0.90719569603228
"S08000015",2021-01-01,"Forensic Psychiatry",17.1111111111111,12.8333333333333,0.75
"S08000015",2021-04-01,"Forensic Psychiatry",17.4175824175824,13.8131868131868,0.793059936908518
"S08000015",2021-07-01,"Forensic Psychiatry",17.8152173913043,14.25,0.799877974374619
"S08000015",2021-10-01,"Forensic Psychiatry",17.8478260869565,15.1195652173913,0.847137637028015
"S08000015",2022-01-01,"Forensic Psychiatry",19.6222222222222,16.0444444444444,0.81766704416761
"S08000015",2022-04-01,"Forensic Psychiatry",18.1978021978022,15.5714285714286,0.855676328502415
"S08000015",2022-07-01,"Forensic Psychiatry",18.0326086956522,16.4565217391304,0.912597950572634
"S08000015",2022-10-01,"Forensic Psychiatry",18.9239130434783,18.4347826086957,0.974152785755313
"S08000015",2023-01-01,"Forensic Psychiatry",18.8777777777778,18.0555555555556,0.956444967628017
"S08000015",2023-04-01,"Forensic Psychiatry",20.9230769230769,18.4945054945055,0.883928571428571
"S08000015",2023-07-01,"Forensic Psychiatry",21.9891304347826,20.5108695652174,0.932773109243697
"S08000015",2023-10-01,"Forensic Psychiatry",23.804347826087,21.9239130434783,0.921004566210046
"S08000015",2024-01-01,"Forensic Psychiatry",25.3186813186813,22.9450549450549,0.90625
"S08000015",2024-04-01,"Forensic Psychiatry",25.5824175824176,21.4395604395604,0.838058419243986
"S08000015",2019-04-01,"GP Other than Obstetrics",62.967032967033,44.2417582417582,0.70261780104712
"S08000015",2019-07-01,"GP Other than Obstetrics",64.6739130434783,46.3478260869565,0.716638655462185
"S08000015",2019-10-01,"GP Other than Obstetrics",62.945652173913,46.3260869565217,0.735969608012433
"S08000015",2020-01-01,"GP Other than Obstetrics",58.989010989011,45.8461538461538,0.777198211624441
"S08000015",2020-04-01,"GP Other than Obstetrics",60.7032967032967,26.5054945054945,0.436640115858074
"S08000015",2020-07-01,"GP Other than Obstetrics",61.6739130434783,30.1630434782609,0.489072964399013
"S08000015",2020-10-01,"GP Other than Obstetrics",62,29.2934782608696,0.472475455820477
"S08000015",2021-01-01,"GP Other than Obstetrics",59.4666666666667,31.2555555555556,0.525597907324365
"S08000015",2021-04-01,"GP Other than Obstetrics",61.032967032967,32.5824175824176,0.533849477853799
"S08000015",2021-07-01,"GP Other than Obstetrics",61,36.4782608695652,0.598004276550249
"S08000015",2021-10-01,"GP Other than Obstetrics",60.0108695652174,42.0217391304348,0.700235464589748
"S08000015",2022-01-01,"GP Other than Obstetrics",63.2777777777778,46.0333333333333,0.727480245829675
"S08000015",2022-04-01,"GP Other than Obstetrics",63.010989010989,47.010989010989,0.746076037670038
"S08000015",2022-07-01,"GP Other than Obstetrics",61.25,47.1739130434783,0.770186335403727
"S08000015",2022-10-01,"GP Other than Obstetrics",63.3586956521739,47.9782608695652,0.757248241550866
"S08000015",2023-01-01,"GP Other than Obstetrics",63.1888888888889,49.9222222222222,0.790047476701249
"S08000015",2023-04-01,"GP Other than Obstetrics",63.6483516483516,48.9230769230769,0.768646408839779
"S08000015",2023-07-01,"GP Other than Obstetrics",64.0869565217391,49.4565217391304,0.771709633649932
"S08000015",2023-10-01,"GP Other than Obstetrics",64.0652173913043,46.4891304347826,0.725653206650831
"S08000015",2024-01-01,"GP Other than Obstetrics",64,46.7582417582418,0.730597527472527
"S08000015",2024-04-01,"GP Other than Obstetrics",63.989010989011,48.1758241758242,0.752876524128456
"S08000015",2020-01-01,"Gastroenterology",0.010989010989011,0.010989010989011,1
"S08000015",2020-07-01,"Gastroenterology",0.0217391304347826,0.0217391304347826,1
"S08000015",2023-07-01,"Gastroenterology",0.0434782608695652,0.0434782608695652,1
"S08000015",2019-04-01,"General Medicine",428.769230769231,423.065934065934,0.986698446870675
"S08000015",2019-07-01,"General Medicine",439.369565217391,432.641304347826,0.984686556825491
"S08000015",2019-10-01,"General Medicine",454.29347826087,448.173913043478,0.986529489173346
"S08000015",2020-01-01,"General Medicine",470.197802197802,443.67032967033,0.943582312797981
"S08000015",2020-04-01,"General Medicine",393.406593406593,313.021978021978,0.795670391061453
"S08000015",2020-07-01,"General Medicine",419.413043478261,401.065217391304,0.956253563468616
"S08000015",2020-10-01,"General Medicine",495.652173913043,465.902173913043,0.939978070175438
"S08000015",2021-01-01,"General Medicine",543.177777777778,500.633333333333,0.921674917154195
"S08000015",2021-04-01,"General Medicine",495.571428571429,464.725274725275,0.937756391777724
"S08000015",2021-07-01,"General Medicine",519.228260869565,490.586956521739,0.944838702924491
"S08000015",2021-10-01,"General Medicine",565.858695652174,521.554347826087,0.921704220211683
"S08000015",2022-01-01,"General Medicine",591.6,550.488888888889,0.930508601908196
"S08000015",2022-04-01,"General Medicine",551.879120879121,518.747252747253,0.939965353139125
"S08000015",2022-07-01,"General Medicine",550.847826086957,519.45652173913,0.943012747148664
"S08000015",2022-10-01,"General Medicine",564.184782608696,543.315217391304,0.963009343993835
"S08000015",2023-01-01,"General Medicine",575.144444444444,555.066666666667,0.96509089504086
"S08000015",2023-04-01,"General Medicine",529.164835164835,521.10989010989,0.984778003904141
"S08000015",2023-07-01,"General Medicine",515.097826086957,510.684782608696,0.991432610943468
"S08000015",2023-10-01,"General Medicine",525.586956521739,520.413043478261,0.990155933325061
"S08000015",2024-01-01,"General Medicine",542.934065934066,540.538461538462,0.995587669763394
"S08000015",2024-04-01,"General Medicine",521.692307692308,517.021978021978,0.991047731389813
"S08000015",2019-04-01,"General Psychiatry (Mental Illness)",88.4835164835165,78.0879120879121,0.882513661202186
"S08000015",2019-07-01,"General Psychiatry (Mental Illness)",93.4239130434783,80.4673913043478,0.86131471785922
"S08000015",2019-10-01,"General Psychiatry (Mental Illness)",96.6521739130435,75.8478260869565,0.784750337381916
"S08000015",2020-01-01,"General Psychiatry (Mental Illness)",105.89010989011,66.2747252747253,0.625882108758821
"S08000015",2020-04-01,"General Psychiatry (Mental Illness)",90.4505494505494,63.5054945054945,0.70210181022962
"S08000015",2020-07-01,"General Psychiatry (Mental Illness)",84.8586956521739,72.3913043478261,0.853080568720379
"S08000015",2020-10-01,"General Psychiatry (Mental Illness)",85.2717391304348,74.3695652173913,0.87214786488209
"S08000015",2021-01-01,"General Psychiatry (Mental Illness)",88.2666666666667,75.1222222222222,0.851082578046324
"S08000015",2021-04-01,"General Psychiatry (Mental Illness)",86.2307692307692,75.021978021978,0.870014018096088
"S08000015",2021-07-01,"General Psychiatry (Mental Illness)",82.9565217391304,72.3478260869565,0.872117400419287
"S08000015",2021-10-01,"General Psychiatry (Mental Illness)",85.0869565217391,72.445652173913,0.851430761369443
"S08000015",2022-01-01,"General Psychiatry (Mental Illness)",81.7,67.6666666666667,0.828233374133007
"S08000015",2022-04-01,"General Psychiatry (Mental Illness)",80.2967032967033,67.6593406593407,0.842616668947584
"S08000015",2022-07-01,"General Psychiatry (Mental Illness)",82.8695652173913,69.7826086956522,0.842077649527807
"S08000015",2022-10-01,"General Psychiatry (Mental Illness)",80.9673913043478,68.8478260869565,0.85031547858773
"S08000015",2023-01-01,"General Psychiatry (Mental Illness)",85.3,78.0666666666667,0.915201250488472
"S08000015",2023-04-01,"General Psychiatry (Mental Illness)",85.967032967033,78.7362637362637,0.915889045123354
"S08000015",2023-07-01,"General Psychiatry (Mental Illness)",80.7391304347826,70.6304347826087,0.874798061389338
"S08000015",2023-10-01,"General Psychiatry (Mental Illness)",77.6739130434783,68.7608695652174,0.885250489784495
"S08000015",2024-01-01,"General Psychiatry (Mental Illness)",76.0769230769231,62.8131868131868,0.825653618373537
"S08000015",2024-04-01,"General Psychiatry (Mental Illness)",70.2087912087912,58.0659340659341,0.827046486148067
"S08000015",2019-04-01,"General Surgery",109.208791208791,99.3296703296703,0.909539142684645
"S08000015",2019-07-01,"General Surgery",109.858695652174,100.217391304348,0.912239042247947
"S08000015",2019-10-01,"General Surgery",103.097826086957,91.1739130434783,0.884343700579863
"S08000015",2020-01-01,"General Surgery",98.8131868131868,81.7692307692308,0.827513345195729
"S08000015",2020-04-01,"General Surgery",101.549450549451,60.1318681318681,0.592143707390975
"S08000015",2020-07-01,"General Surgery",104.076086956522,82.2717391304348,0.790496083550914
"S08000015",2020-10-01,"General Surgery",98.6195652173913,75.9347826086957,0.769976854403174
"S08000015",2021-01-01,"General Surgery",89.8333333333333,72.6777777777778,0.809029066171923
"S08000015",2021-04-01,"General Surgery",105.758241758242,84.1428571428571,0.795615128844555
"S08000015",2021-07-01,"General Surgery",105.228260869565,90.0760869565217,0.856006610887305
"S08000015",2021-10-01,"General Surgery",90.3695652173913,80.7173913043478,0.893192205917729
"S08000015",2022-01-01,"General Surgery",92.5222222222222,83.9555555555555,0.907409631319803
"S08000015",2022-04-01,"General Surgery",98.7802197802198,93.7802197802198,0.949382578707309
"S08000015",2022-07-01,"General Surgery",97.9565217391304,92.554347826087,0.944851309365291
"S08000015",2022-10-01,"General Surgery",81.0217391304348,73.195652173913,0.903407566407298
"S08000015",2023-01-01,"General Surgery",79.8,76.1333333333333,0.95405179615706
"S08000015",2023-04-01,"General Surgery",85.3626373626374,83.3296703296703,0.976184346035016
"S08000015",2023-07-01,"General Surgery",83.9021739130435,80.6630434782609,0.961393962948568
"S08000015",2023-10-01,"General Surgery",80.4130434782609,77.8260869565217,0.967829143011625
"S08000015",2024-01-01,"General Surgery",83.4175824175824,82.0659340659341,0.983796601238309
"S08000015",2024-04-01,"General Surgery",83.8021978021978,82.7472527472527,0.987411487018096
"S08000015",2019-04-01,"Geriatric Medicine - long stay unit",53.2857142857143,51.9560439560439,0.97504640131986
"S08000015",2019-07-01,"Geriatric Medicine - long stay unit",52.1847826086956,51.2934782608696,0.982920224953135
"S08000015",2019-10-01,"Geriatric Medicine - long stay unit",53.3695652173913,52.5217391304348,0.984114052953157
"S08000015",2020-01-01,"Geriatric Medicine - long stay unit",52.2307692307692,51.7582417582418,0.990953082263833
"S08000015",2020-04-01,"Geriatric Medicine - long stay unit",49.3406593406593,44.9560439560439,0.911135857461024
"S08000015",2020-07-01,"Geriatric Medicine - long stay unit",49.3478260869565,45.7826086956522,0.927753303964758
"S08000015",2020-10-01,"Geriatric Medicine - long stay unit",50.2934782608696,47.7173913043478,0.948778906418846
"S08000015",2021-01-01,"Geriatric Medicine - long stay unit",47.2222222222222,36.7777777777778,0.778823529411765
"S08000015",2021-04-01,"Geriatric Medicine - long stay unit",46.0549450549451,36.5274725274725,0.793128131710809
"S08000015",2021-07-01,"Geriatric Medicine - long stay unit",47.7282608695652,44.695652173913,0.936460942837622
"S08000015",2021-10-01,"Geriatric Medicine - long stay unit",46.8804347826087,46.4782608695652,0.991421284488755
"S08000015",2022-01-01,"Geriatric Medicine - long stay unit",48.8111111111111,48.4555555555555,0.992715684042796
"S08000015",2022-04-01,"Geriatric Medicine - long stay unit",49.9560439560439,49.8901098901099,0.998680158380994
"S08000015",2022-07-01,"Geriatric Medicine - long stay unit",53.4891304347826,53.3695652173913,0.997764681975208
"S08000015",2022-10-01,"Geriatric Medicine - long stay unit",52.0652173913044,52.0108695652174,0.998956158663883
"S08000015",2023-01-01,"Geriatric Medicine - long stay unit",51.3888888888889,51.2777777777778,0.997837837837838
"S08000015",2023-04-01,"Geriatric Medicine - long stay unit",54.2527472527473,54.2417582417582,0.99979744784282
"S08000015",2023-07-01,"Geriatric Medicine - long stay unit",52.75,52.5652173913044,0.996497012157428
"S08000015",2023-10-01,"Geriatric Medicine - long stay unit",52.75,52.5652173913044,0.996497012157428
"S08000015",2024-01-01,"Geriatric Medicine - long stay unit",52.5714285714286,52.2527472527473,0.993938127090301
"S08000015",2024-04-01,"Geriatric Medicine - long stay unit",53.0549450549451,53.0439560439561,0.999792874896437
"S08000015",2019-04-01,"Geriatric Medicine - units other than long stay",190.835164835165,183.472527472527,0.961418864447771
