"hb_code","date","age_group","delay_reason","num_delayed_bed_days","average_daily_delayed_beds"
"S08000029",2016-07-01,"18plus","Patient and Family Related Reasons",35,1
"S08000029",2016-07-01,"18plus","Code 9 AWI",549,18
"S08000029",2016-07-01,"18plus","Code 9 Non-AWI",132,4
"S08000029",2016-07-01,"18-74","All Delay Reasons",1218,39
"S08000029",2016-07-01,"18-74","Health and Social Care Reasons",952,31
"S08000029",2016-07-01,"18-74","Patient and Family Related Reasons",31,1
"S08000029",2016-07-01,"18-74","Code 9 AWI",103,3
"S08000029",2016-07-01,"18-74","Code 9 Non-AWI",132,4
"S08000029",2016-07-01,"75plus","All Delay Reasons",2258,73
"S08000029",2016-07-01,"75plus","Health and Social Care Reasons",1808,58
"S08000029",2016-07-01,"75plus","Patient and Family Related Reasons",4,0
"S08000029",2016-07-01,"75plus","Code 9 AWI",446,14
"S08000029",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S08000030",2016-07-01,"18plus","All Delay Reasons",2699,87
"S08000030",2016-07-01,"18plus","Health and Social Care Reasons",1592,51
"S08000030",2016-07-01,"18plus","Patient and Family Related Reasons",131,4
"S08000030",2016-07-01,"18plus","Code 9 AWI",556,18
"S08000030",2016-07-01,"18plus","Code 9 Non-AWI",420,14
"S08000030",2016-07-01,"18-74","All Delay Reasons",813,26
"S08000030",2016-07-01,"18-74","Health and Social Care Reasons",318,10
"S08000030",2016-07-01,"18-74","Patient and Family Related Reasons",32,1
"S08000030",2016-07-01,"18-74","Code 9 AWI",77,2
"S08000030",2016-07-01,"18-74","Code 9 Non-AWI",386,12
"S08000030",2016-07-01,"75plus","All Delay Reasons",1886,61
"S08000030",2016-07-01,"75plus","Health and Social Care Reasons",1274,41
"S08000030",2016-07-01,"75plus","Patient and Family Related Reasons",99,3
"S08000030",2016-07-01,"75plus","Code 9 AWI",479,15
"S08000030",2016-07-01,"75plus","Code 9 Non-AWI",34,1
"S08000031",2016-07-01,"18plus","All Delay Reasons",4421,143
"S08000031",2016-07-01,"18plus","Health and Social Care Reasons",2937,95
"S08000031",2016-07-01,"18plus","Patient and Family Related Reasons",128,4
"S08000031",2016-07-01,"18plus","Code 9 AWI",746,24
"S08000031",2016-07-01,"18plus","Code 9 Non-AWI",610,20
"S08000031",2016-07-01,"18-74","All Delay Reasons",2152,69
"S08000031",2016-07-01,"18-74","Health and Social Care Reasons",1070,35
"S08000031",2016-07-01,"18-74","Patient and Family Related Reasons",38,1
"S08000031",2016-07-01,"18-74","Code 9 AWI",465,15
"S08000031",2016-07-01,"18-74","Code 9 Non-AWI",579,19
"S08000031",2016-07-01,"75plus","All Delay Reasons",2269,73
"S08000031",2016-07-01,"75plus","Health and Social Care Reasons",1867,60
"S08000031",2016-07-01,"75plus","Patient and Family Related Reasons",90,3
"S08000031",2016-07-01,"75plus","Code 9 AWI",281,9
"S08000031",2016-07-01,"75plus","Code 9 Non-AWI",31,1
"S08000032",2016-07-01,"18plus","All Delay Reasons",6389,206
"S08000032",2016-07-01,"18plus","Health and Social Care Reasons",5100,165
"S08000032",2016-07-01,"18plus","Patient and Family Related Reasons",608,20
"S08000032",2016-07-01,"18plus","Code 9 AWI",544,18
"S08000032",2016-07-01,"18plus","Code 9 Non-AWI",137,4
"S08000032",2016-07-01,"18-74","All Delay Reasons",1635,53
"S08000032",2016-07-01,"18-74","Health and Social Care Reasons",1317,42
"S08000032",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000032",2016-07-01,"18-74","Code 9 AWI",237,8
"S08000032",2016-07-01,"18-74","Code 9 Non-AWI",81,3
"S08000032",2016-07-01,"75plus","All Delay Reasons",4754,153
"S08000032",2016-07-01,"75plus","Health and Social Care Reasons",3783,122
"S08000032",2016-07-01,"75plus","Patient and Family Related Reasons",608,20
"S08000032",2016-07-01,"75plus","Code 9 AWI",307,10
"S08000032",2016-07-01,"75plus","Code 9 Non-AWI",56,2
"S92000003",2016-07-01,"18plus","All Delay Reasons",43919,1417
"S92000003",2016-07-01,"18plus","Health and Social Care Reasons",32713,1055
"S92000003",2016-07-01,"18plus","Patient and Family Related Reasons",1877,61
"S92000003",2016-07-01,"18plus","Code 9 AWI",5990,193
"S92000003",2016-07-01,"18plus","Code 9 Non-AWI",3339,108
"S92000003",2016-07-01,"18-74","All Delay Reasons",13145,424
"S92000003",2016-07-01,"18-74","Health and Social Care Reasons",9114,294
"S92000003",2016-07-01,"18-74","Patient and Family Related Reasons",214,7
"S92000003",2016-07-01,"18-74","Code 9 AWI",1761,57
"S92000003",2016-07-01,"18-74","Code 9 Non-AWI",2056,66
"S92000003",2016-07-01,"75plus","All Delay Reasons",30774,993
"S92000003",2016-07-01,"75plus","Health and Social Care Reasons",23599,761
"S92000003",2016-07-01,"75plus","Patient and Family Related Reasons",1663,54
"S92000003",2016-07-01,"75plus","Code 9 AWI",4229,136
"S92000003",2016-07-01,"75plus","Code 9 Non-AWI",1283,41
"S08000015",2016-08-01,"18plus","All Delay Reasons",2904,94
"S08000015",2016-08-01,"18plus","Health and Social Care Reasons",2186,71
"S08000015",2016-08-01,"18plus","Patient and Family Related Reasons",44,1
"S08000015",2016-08-01,"18plus","Code 9 AWI",450,15
"S08000015",2016-08-01,"18plus","Code 9 Non-AWI",224,7
"S08000015",2016-08-01,"18-74","All Delay Reasons",409,13
"S08000015",2016-08-01,"18-74","Health and Social Care Reasons",262,8
"S08000015",2016-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000015",2016-08-01,"18-74","Code 9 AWI",93,3
"S08000015",2016-08-01,"18-74","Code 9 Non-AWI",54,2
"S08000015",2016-08-01,"75plus","All Delay Reasons",2495,80
"S08000015",2016-08-01,"75plus","Health and Social Care Reasons",1924,62
"S08000015",2016-08-01,"75plus","Patient and Family Related Reasons",44,1
"S08000015",2016-08-01,"75plus","Code 9 AWI",357,12
"S08000015",2016-08-01,"75plus","Code 9 Non-AWI",170,5
"S08000016",2016-08-01,"18plus","All Delay Reasons",936,30
"S08000016",2016-08-01,"18plus","Health and Social Care Reasons",683,22
"S08000016",2016-08-01,"18plus","Patient and Family Related Reasons",75,2
"S08000016",2016-08-01,"18plus","Code 9 AWI",90,3
"S08000016",2016-08-01,"18plus","Code 9 Non-AWI",88,3
"S08000016",2016-08-01,"18-74","All Delay Reasons",280,9
"S08000016",2016-08-01,"18-74","Health and Social Care Reasons",171,6
"S08000016",2016-08-01,"18-74","Patient and Family Related Reasons",42,1
"S08000016",2016-08-01,"18-74","Code 9 AWI",0,0
"S08000016",2016-08-01,"18-74","Code 9 Non-AWI",67,2
"S08000016",2016-08-01,"75plus","All Delay Reasons",656,21
"S08000016",2016-08-01,"75plus","Health and Social Care Reasons",512,17
"S08000016",2016-08-01,"75plus","Patient and Family Related Reasons",33,1
"S08000016",2016-08-01,"75plus","Code 9 AWI",90,3
"S08000016",2016-08-01,"75plus","Code 9 Non-AWI",21,1
"S08000017",2016-08-01,"18plus","All Delay Reasons",929,30
"S08000017",2016-08-01,"18plus","Health and Social Care Reasons",665,21
"S08000017",2016-08-01,"18plus","Patient and Family Related Reasons",13,0
"S08000017",2016-08-01,"18plus","Code 9 AWI",251,8
"S08000017",2016-08-01,"18plus","Code 9 Non-AWI",0,0
"S08000017",2016-08-01,"18-74","All Delay Reasons",204,7
"S08000017",2016-08-01,"18-74","Health and Social Care Reasons",154,5
"S08000017",2016-08-01,"18-74","Patient and Family Related Reasons",13,0
"S08000017",2016-08-01,"18-74","Code 9 AWI",37,1
"S08000017",2016-08-01,"18-74","Code 9 Non-AWI",0,0
"S08000017",2016-08-01,"75plus","All Delay Reasons",725,23
"S08000017",2016-08-01,"75plus","Health and Social Care Reasons",511,16
"S08000017",2016-08-01,"75plus","Patient and Family Related Reasons",0,0
"S08000017",2016-08-01,"75plus","Code 9 AWI",214,7
"S08000017",2016-08-01,"75plus","Code 9 Non-AWI",0,0
"S08000019",2016-08-01,"18plus","All Delay Reasons",2985,96
"S08000019",2016-08-01,"18plus","Health and Social Care Reasons",2186,71
"S08000019",2016-08-01,"18plus","Patient and Family Related Reasons",125,4
"S08000019",2016-08-01,"18plus","Code 9 AWI",377,12
"S08000019",2016-08-01,"18plus","Code 9 Non-AWI",297,10
"S08000019",2016-08-01,"18-74","All Delay Reasons",1030,33
"S08000019",2016-08-01,"18-74","Health and Social Care Reasons",664,21
"S08000019",2016-08-01,"18-74","Patient and Family Related Reasons",31,1
"S08000019",2016-08-01,"18-74","Code 9 AWI",50,2
"S08000019",2016-08-01,"18-74","Code 9 Non-AWI",285,9
"S08000019",2016-08-01,"75plus","All Delay Reasons",1955,63
"S08000019",2016-08-01,"75plus","Health and Social Care Reasons",1522,49
"S08000019",2016-08-01,"75plus","Patient and Family Related Reasons",94,3
"S08000019",2016-08-01,"75plus","Code 9 AWI",327,11
"S08000019",2016-08-01,"75plus","Code 9 Non-AWI",12,0
"S08000020",2016-08-01,"18plus","All Delay Reasons",4965,160
"S08000020",2016-08-01,"18plus","Health and Social Care Reasons",3815,123
"S08000020",2016-08-01,"18plus","Patient and Family Related Reasons",227,7
"S08000020",2016-08-01,"18plus","Code 9 AWI",675,22
"S08000020",2016-08-01,"18plus","Code 9 Non-AWI",248,8
"S08000020",2016-08-01,"18-74","All Delay Reasons",1554,50
"S08000020",2016-08-01,"18-74","Health and Social Care Reasons",1142,37
"S08000020",2016-08-01,"18-74","Patient and Family Related Reasons",53,2
"S08000020",2016-08-01,"18-74","Code 9 AWI",173,6
"S08000020",2016-08-01,"18-74","Code 9 Non-AWI",186,6
"S08000020",2016-08-01,"75plus","All Delay Reasons",3411,110
"S08000020",2016-08-01,"75plus","Health and Social Care Reasons",2673,86
"S08000020",2016-08-01,"75plus","Patient and Family Related Reasons",174,6
"S08000020",2016-08-01,"75plus","Code 9 AWI",502,16
"S08000020",2016-08-01,"75plus","Code 9 Non-AWI",62,2
"S08000022",2016-08-01,"18plus","All Delay Reasons",4277,138
"S08000022",2016-08-01,"18plus","Health and Social Care Reasons",2365,76
"S08000022",2016-08-01,"18plus","Patient and Family Related Reasons",485,16
"S08000022",2016-08-01,"18plus","Code 9 AWI",588,19
"S08000022",2016-08-01,"18plus","Code 9 Non-AWI",839,27
"S08000022",2016-08-01,"18-74","All Delay Reasons",861,28
"S08000022",2016-08-01,"18-74","Health and Social Care Reasons",344,11
"S08000022",2016-08-01,"18-74","Patient and Family Related Reasons",88,3
"S08000022",2016-08-01,"18-74","Code 9 AWI",84,3
"S08000022",2016-08-01,"18-74","Code 9 Non-AWI",345,11
"S08000022",2016-08-01,"75plus","All Delay Reasons",3416,110
"S08000022",2016-08-01,"75plus","Health and Social Care Reasons",2021,65
"S08000022",2016-08-01,"75plus","Patient and Family Related Reasons",397,13
"S08000022",2016-08-01,"75plus","Code 9 AWI",504,16
"S08000022",2016-08-01,"75plus","Code 9 Non-AWI",494,16
"S08000024",2016-08-01,"18plus","All Delay Reasons",9608,310
"S08000024",2016-08-01,"18plus","Health and Social Care Reasons",8311,268
"S08000024",2016-08-01,"18plus","Patient and Family Related Reasons",152,5
"S08000024",2016-08-01,"18plus","Code 9 AWI",927,30
"S08000024",2016-08-01,"18plus","Code 9 Non-AWI",218,7
"S08000024",2016-08-01,"18-74","All Delay Reasons",2992,97
"S08000024",2016-08-01,"18-74","Health and Social Care Reasons",2584,83
"S08000024",2016-08-01,"18-74","Patient and Family Related Reasons",27,1
"S08000024",2016-08-01,"18-74","Code 9 AWI",257,8
"S08000024",2016-08-01,"18-74","Code 9 Non-AWI",124,4
"S08000024",2016-08-01,"75plus","All Delay Reasons",6616,213
"S08000024",2016-08-01,"75plus","Health and Social Care Reasons",5727,185
"S08000024",2016-08-01,"75plus","Patient and Family Related Reasons",125,4
"S08000024",2016-08-01,"75plus","Code 9 AWI",670,22
"S08000024",2016-08-01,"75plus","Code 9 Non-AWI",94,3
"S08000025",2016-08-01,"18plus","All Delay Reasons",143,5
"S08000025",2016-08-01,"18plus","Health and Social Care Reasons",58,2
"S08000025",2016-08-01,"18plus","Patient and Family Related Reasons",0,0
"S08000025",2016-08-01,"18plus","Code 9 AWI",85,3
"S08000025",2016-08-01,"18plus","Code 9 Non-AWI",0,0
"S08000025",2016-08-01,"18-74","All Delay Reasons",39,1
"S08000025",2016-08-01,"18-74","Health and Social Care Reasons",22,1
"S08000025",2016-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000025",2016-08-01,"18-74","Code 9 AWI",17,1
"S08000025",2016-08-01,"18-74","Code 9 Non-AWI",0,0
"S08000025",2016-08-01,"75plus","All Delay Reasons",104,3
"S08000025",2016-08-01,"75plus","Health and Social Care Reasons",36,1
"S08000025",2016-08-01,"75plus","Patient and Family Related Reasons",0,0
"S08000025",2016-08-01,"75plus","Code 9 AWI",68,2
"S08000025",2016-08-01,"75plus","Code 9 Non-AWI",0,0
"S08000026",2016-08-01,"18plus","All Delay Reasons",253,8
"S08000026",2016-08-01,"18plus","Health and Social Care Reasons",253,8
"S08000026",2016-08-01,"18plus","Patient and Family Related Reasons",0,0
"S08000026",2016-08-01,"18plus","Code 9 AWI",0,0
"S08000026",2016-08-01,"18plus","Code 9 Non-AWI",0,0
"S08000026",2016-08-01,"18-74","All Delay Reasons",46,1
"S08000026",2016-08-01,"18-74","Health and Social Care Reasons",46,1
"S08000026",2016-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000026",2016-08-01,"18-74","Code 9 AWI",0,0
"S08000026",2016-08-01,"18-74","Code 9 Non-AWI",0,0
"S08000026",2016-08-01,"75plus","All Delay Reasons",207,7
"S08000026",2016-08-01,"75plus","Health and Social Care Reasons",207,7
"S08000026",2016-08-01,"75plus","Patient and Family Related Reasons",0,0
"S08000026",2016-08-01,"75plus","Code 9 AWI",0,0
"S08000026",2016-08-01,"75plus","Code 9 Non-AWI",0,0
"S08000028",2016-08-01,"18plus","All Delay Reasons",891,29
"S08000028",2016-08-01,"18plus","Health and Social Care Reasons",270,9
"S08000028",2016-08-01,"18plus","Patient and Family Related Reasons",0,0
"S08000028",2016-08-01,"18plus","Code 9 AWI",120,4
"S08000028",2016-08-01,"18plus","Code 9 Non-AWI",501,16
"S08000028",2016-08-01,"18-74","All Delay Reasons",179,6
"S08000028",2016-08-01,"18-74","Health and Social Care Reasons",121,4
"S08000028",2016-08-01,"18-74","Patient and Family Related Reasons",0,0
"S08000028",2016-08-01,"18-74","Code 9 AWI",58,2
"S08000028",2016-08-01,"18-74","Code 9 Non-AWI",0,0
"S08000028",2016-08-01,"75plus","All Delay Reasons",712,23
"S08000028",2016-08-01,"75plus","Health and Social Care Reasons",149,5
"S08000028",2016-08-01,"75plus","Patient and Family Related Reasons",0,0
"S08000028",2016-08-01,"75plus","Code 9 AWI",62,2
"S08000028",2016-08-01,"75plus","Code 9 Non-AWI",501,16
"S08000029",2016-08-01,"18plus","All Delay Reasons",3823,123
"S08000029",2016-08-01,"18plus","Health and Social Care Reasons",2906,94
"S08000029",2016-08-01,"18plus","Patient and Family Related Reasons",62,2
"S08000029",2016-08-01,"18plus","Code 9 AWI",675,22
"S08000029",2016-08-01,"18plus","Code 9 Non-AWI",180,6
"S08000029",2016-08-01,"18-74","All Delay Reasons",1236,40
"S08000029",2016-08-01,"18-74","Health and Social Care Reasons",958,31
"S08000029",2016-08-01,"18-74","Patient and Family Related Reasons",31,1
"S08000029",2016-08-01,"18-74","Code 9 AWI",98,3
"S08000029",2016-08-01,"18-74","Code 9 Non-AWI",149,5
"S08000029",2016-08-01,"75plus","All Delay Reasons",2587,83
"S08000029",2016-08-01,"75plus","Health and Social Care Reasons",1948,63
"S08000029",2016-08-01,"75plus","Patient and Family Related Reasons",31,1
"S08000029",2016-08-01,"75plus","Code 9 AWI",577,19
"S08000029",2016-08-01,"75plus","Code 9 Non-AWI",31,1
"S08000030",2016-08-01,"18plus","All Delay Reasons",3145,101
"S08000030",2016-08-01,"18plus","Health and Social Care Reasons",2110,68
"S08000030",2016-08-01,"18plus","Patient and Family Related Reasons",73,2
"S08000030",2016-08-01,"18plus","Code 9 AWI",552,18
"S08000030",2016-08-01,"18plus","Code 9 Non-AWI",410,13
"S08000030",2016-08-01,"18-74","All Delay Reasons",913,29
"S08000030",2016-08-01,"18-74","Health and Social Care Reasons",395,13
"S08000030",2016-08-01,"18-74","Patient and Family Related Reasons",37,1
"S08000030",2016-08-01,"18-74","Code 9 AWI",122,4
"S08000030",2016-08-01,"18-74","Code 9 Non-AWI",359,12
"S08000030",2016-08-01,"75plus","All Delay Reasons",2232,72
"S08000030",2016-08-01,"75plus","Health and Social Care Reasons",1715,55
"S08000030",2016-08-01,"75plus","Patient and Family Related Reasons",36,1
"S08000030",2016-08-01,"75plus","Code 9 AWI",430,14
"S08000030",2016-08-01,"75plus","Code 9 Non-AWI",51,2
"S08000031",2016-08-01,"18plus","All Delay Reasons",4747,153
"S08000031",2016-08-01,"18plus","Health and Social Care Reasons",3131,101
"S08000031",2016-08-01,"18plus","Patient and Family Related Reasons",163,5
"S08000031",2016-08-01,"18plus","Code 9 AWI",992,32
"S08000031",2016-08-01,"18plus","Code 9 Non-AWI",461,15
"S08000031",2016-08-01,"18-74","All Delay Reasons",2144,69
"S08000031",2016-08-01,"18-74","Health and Social Care Reasons",1048,34
"S08000031",2016-08-01,"18-74","Patient and Family Related Reasons",77,2
"S08000031",2016-08-01,"18-74","Code 9 AWI",570,18
"S08000031",2016-08-01,"18-74","Code 9 Non-AWI",449,14
"S08000031",2016-08-01,"75plus","All Delay Reasons",2603,84
"S08000031",2016-08-01,"75plus","Health and Social Care Reasons",2083,67
"S08000031",2016-08-01,"75plus","Patient and Family Related Reasons",86,3
