"lhb22_code","lhb22_name","date","pathway_stage","waits_over_18_weeks","waits_over_53_weeks","total_waits"
"W11000024","Powys Teaching LHB",2020-01-01,"Waiting for new OP appointment",122,NA,2281
"W11000025","Hywel Dda LHB",2020-01-01,"Waiting for new OP appointment",9049,1,37516
"W11000031","Swansea Bay University Health Board",2020-01-01,"Waiting for new OP appointment",7048,3,32376
"W11000028","Aneurin Bevan LHB",2020-01-01,"Waiting for new OP appointment",12330,7,52779
"W11000029","Cardiff and Vale University LHB",2020-01-01,"Waiting for new OP appointment",16084,40,49320
"W11000030","Cwm Taf Morgannwg University Health Board",2020-01-01,"Waiting for new OP appointment",11503,500,40169
"W11000023","Betsi Cadwaladr University LHB",2020-02-01,"Waiting for new OP appointment",17141,543,50298
"W11000024","Powys Teaching LHB",2020-02-01,"Waiting for new OP appointment",158,NA,2283
"W11000025","Hywel Dda LHB",2020-02-01,"Waiting for new OP appointment",8376,NA,37020
"W11000029","Cardiff and Vale University LHB",2020-02-01,"Waiting for new OP appointment",16395,77,49336
"W11000031","Swansea Bay University Health Board",2020-02-01,"Waiting for new OP appointment",7326,10,32627
"W11000028","Aneurin Bevan LHB",2020-02-01,"Waiting for new OP appointment",12890,8,52567
"W11000030","Cwm Taf Morgannwg University Health Board",2020-02-01,"Waiting for new OP appointment",10977,600,39386
"W11000023","Betsi Cadwaladr University LHB",2020-03-01,"Waiting for new OP appointment",18151,572,49925
"W11000025","Hywel Dda LHB",2020-03-01,"Waiting for new OP appointment",9440,2,37170
"W11000029","Cardiff and Vale University LHB",2020-03-01,"Waiting for new OP appointment",18367,124,49841
"W11000024","Powys Teaching LHB",2020-03-01,"Waiting for new OP appointment",305,NA,2525
"W11000028","Aneurin Bevan LHB",2020-03-01,"Waiting for new OP appointment",14922,13,51752
"W11000030","Cwm Taf Morgannwg University Health Board",2020-03-01,"Waiting for new OP appointment",12313,739,39774
"W11000031","Swansea Bay University Health Board",2020-03-01,"Waiting for new OP appointment",9558,7,33705
"W11000023","Betsi Cadwaladr University LHB",2020-04-01,"Waiting for new OP appointment",22326,1004,49067
"W11000025","Hywel Dda LHB",2020-04-01,"Waiting for new OP appointment",12608,3,38006
"W11000024","Powys Teaching LHB",2020-04-01,"Waiting for new OP appointment",616,NA,2561
"W11000028","Aneurin Bevan LHB",2020-04-01,"Waiting for new OP appointment",19810,20,49406
"W11000029","Cardiff and Vale University LHB",2020-04-01,"Waiting for new OP appointment",23289,181,49857
"W11000030","Cwm Taf Morgannwg University Health Board",2020-04-01,"Waiting for new OP appointment",16422,941,40165
"W11000031","Swansea Bay University Health Board",2020-04-01,"Waiting for new OP appointment",13435,22,33194
"W11000023","Betsi Cadwaladr University LHB",2020-05-01,"Waiting for new OP appointment",26011,1613,48486
"W11000025","Hywel Dda LHB",2020-05-01,"Waiting for new OP appointment",16039,9,38987
"W11000029","Cardiff and Vale University LHB",2020-05-01,"Waiting for new OP appointment",27649,334,50116
"W11000024","Powys Teaching LHB",2020-05-01,"Waiting for new OP appointment",937,NA,2554
"W11000028","Aneurin Bevan LHB",2020-05-01,"Waiting for new OP appointment",23811,47,48063
"W11000030","Cwm Taf Morgannwg University Health Board",2020-05-01,"Waiting for new OP appointment",20794,1153,41200
"W11000031","Swansea Bay University Health Board",2020-05-01,"Waiting for new OP appointment",17201,42,33589
"W11000023","Betsi Cadwaladr University LHB",2020-06-01,"Waiting for new OP appointment",30809,2252,47998
"W11000024","Powys Teaching LHB",2020-06-01,"Waiting for new OP appointment",1384,NA,2578
"W11000025","Hywel Dda LHB",2020-06-01,"Waiting for new OP appointment",21803,35,40676
"W11000031","Swansea Bay University Health Board",2020-06-01,"Waiting for new OP appointment",21883,67,34357
"W11000028","Aneurin Bevan LHB",2020-06-01,"Waiting for new OP appointment",29168,92,48606
"W11000029","Cardiff and Vale University LHB",2020-06-01,"Waiting for new OP appointment",33429,592,50790
"W11000030","Cwm Taf Morgannwg University Health Board",2020-06-01,"Waiting for new OP appointment",26782,1353,42923
"W11000023","Betsi Cadwaladr University LHB",2020-07-01,"Waiting for new OP appointment",36606,3738,50745
"W11000024","Powys Teaching LHB",2020-07-01,"Waiting for new OP appointment",1841,NA,2665
"W11000025","Hywel Dda LHB",2020-07-01,"Waiting for new OP appointment",27136,88,42112
"W11000028","Aneurin Bevan LHB",2020-07-01,"Waiting for new OP appointment",33795,186,51153
"W11000029","Cardiff and Vale University LHB",2020-07-01,"Waiting for new OP appointment",37927,1403,51820
"W11000030","Cwm Taf Morgannwg University Health Board",2020-07-01,"Waiting for new OP appointment",32558,1706,46485
"W11000031","Swansea Bay University Health Board",2020-07-01,"Waiting for new OP appointment",25757,154,36137
"W11000023","Betsi Cadwaladr University LHB",2020-08-01,"Waiting for new OP appointment",36641,5406,53144
"W11000024","Powys Teaching LHB",2020-08-01,"Waiting for new OP appointment",1700,1,2789
"W11000025","Hywel Dda LHB",2020-08-01,"Waiting for new OP appointment",26137,413,43652
"W11000028","Aneurin Bevan LHB",2020-08-01,"Waiting for new OP appointment",33232,822,53832
"W11000029","Cardiff and Vale University LHB",2020-08-01,"Waiting for new OP appointment",37063,3018,53787
"W11000030","Cwm Taf Morgannwg University Health Board",2020-08-01,"Waiting for new OP appointment",32322,2624,49296
"W11000031","Swansea Bay University Health Board",2020-08-01,"Waiting for new OP appointment",25656,349,38502
"W11000023","Betsi Cadwaladr University LHB",2020-09-01,"Waiting for new OP appointment",35979,7255,55470
"W11000024","Powys Teaching LHB",2020-09-01,"Waiting for new OP appointment",1524,9,2811
"W11000025","Hywel Dda LHB",2020-09-01,"Waiting for new OP appointment",24428,1775,44838
"W11000028","Aneurin Bevan LHB",2020-09-01,"Waiting for new OP appointment",31865,2602,55699
"W11000029","Cardiff and Vale University LHB",2020-09-01,"Waiting for new OP appointment",35295,4980,54980
"W11000030","Cwm Taf Morgannwg University Health Board",2020-09-01,"Waiting for new OP appointment",30758,3974,50473
"W11000031","Swansea Bay University Health Board",2020-09-01,"Waiting for new OP appointment",24919,976,40662
"W11000023","Betsi Cadwaladr University LHB",2020-10-01,"Waiting for new OP appointment",35981,9927,57298
"W11000024","Powys Teaching LHB",2020-10-01,"Waiting for new OP appointment",1367,45,2747
"W11000025","Hywel Dda LHB",2020-10-01,"Waiting for new OP appointment",23388,3483,45643
"W11000028","Aneurin Bevan LHB",2020-10-01,"Waiting for new OP appointment",31694,5412,57407
"W11000031","Swansea Bay University Health Board",2020-10-01,"Waiting for new OP appointment",24696,2858,41966
"W11000029","Cardiff and Vale University LHB",2020-10-01,"Waiting for new OP appointment",32408,6963,53022
"W11000030","Cwm Taf Morgannwg University Health Board",2020-10-01,"Waiting for new OP appointment",30224,5920,51030
"W11000023","Betsi Cadwaladr University LHB",2020-11-01,"Waiting for new OP appointment",36114,12263,58551
"W11000024","Powys Teaching LHB",2020-11-01,"Waiting for new OP appointment",1162,84,2581
"W11000025","Hywel Dda LHB",2020-11-01,"Waiting for new OP appointment",22289,4740,45431
"W11000029","Cardiff and Vale University LHB",2020-11-01,"Waiting for new OP appointment",31022,8560,52867
"W11000031","Swansea Bay University Health Board",2020-11-01,"Waiting for new OP appointment",24868,5060,42495
"W11000028","Aneurin Bevan LHB",2020-11-01,"Waiting for new OP appointment",31754,7572,58298
"W11000030","Cwm Taf Morgannwg University Health Board",2020-11-01,"Waiting for new OP appointment",30104,7778,51641
"W11000023","Betsi Cadwaladr University LHB",2020-12-01,"Waiting for new OP appointment",37218,15046,60912
"W11000024","Powys Teaching LHB",2020-12-01,"Waiting for new OP appointment",1145,173,2541
"W11000025","Hywel Dda LHB",2020-12-01,"Waiting for new OP appointment",22961,6247,45642
"W11000031","Swansea Bay University Health Board",2020-12-01,"Waiting for new OP appointment",26172,7380,43399
"W11000028","Aneurin Bevan LHB",2020-12-01,"Waiting for new OP appointment",33345,10255,60159
"W11000029","Cardiff and Vale University LHB",2020-12-01,"Waiting for new OP appointment",30990,10275,52828
"W11000030","Cwm Taf Morgannwg University Health Board",2020-12-01,"Waiting for new OP appointment",31893,10023,53060
"W11000023","Betsi Cadwaladr University LHB",2021-01-01,"Waiting for new OP appointment",38304,17341,61349
"W11000025","Hywel Dda LHB",2021-01-01,"Waiting for new OP appointment",24302,7817,46005
"W11000031","Swansea Bay University Health Board",2021-01-01,"Waiting for new OP appointment",26505,8741,43162
"W11000024","Powys Teaching LHB",2021-01-01,"Waiting for new OP appointment",999,196,2394
"W11000028","Aneurin Bevan LHB",2021-01-01,"Waiting for new OP appointment",35165,12748,61119
"W11000029","Cardiff and Vale University LHB",2021-01-01,"Waiting for new OP appointment",31156,11799,52327
"W11000030","Cwm Taf Morgannwg University Health Board",2021-01-01,"Waiting for new OP appointment",34147,12516,54520
"W11000023","Betsi Cadwaladr University LHB",2021-02-01,"Waiting for new OP appointment",38897,20447,61935
"W11000025","Hywel Dda LHB",2021-02-01,"Waiting for new OP appointment",25466,9823,47050
"W11000024","Powys Teaching LHB",2021-02-01,"Waiting for new OP appointment",882,238,2187
"W11000028","Aneurin Bevan LHB",2021-02-01,"Waiting for new OP appointment",36200,15499,62553
"W11000029","Cardiff and Vale University LHB",2021-02-01,"Waiting for new OP appointment",30727,13943,52295
"W11000030","Cwm Taf Morgannwg University Health Board",2021-02-01,"Waiting for new OP appointment",35457,15659,56134
"W11000031","Swansea Bay University Health Board",2021-02-01,"Waiting for new OP appointment",26702,10490,43633
"W11000023","Betsi Cadwaladr University LHB",2021-03-01,"Waiting for new OP appointment",39725,23365,63932
"W11000025","Hywel Dda LHB",2021-03-01,"Waiting for new OP appointment",25839,10955,49040
"W11000029","Cardiff and Vale University LHB",2021-03-01,"Waiting for new OP appointment",30650,15928,53259
"W11000031","Swansea Bay University Health Board",2021-03-01,"Waiting for new OP appointment",27289,12357,45460
"W11000024","Powys Teaching LHB",2021-03-01,"Waiting for new OP appointment",862,313,2400
"W11000028","Aneurin Bevan LHB",2021-03-01,"Waiting for new OP appointment",36596,17878,64806
"W11000030","Cwm Taf Morgannwg University Health Board",2021-03-01,"Waiting for new OP appointment",36259,18176,58068
"W11000023","Betsi Cadwaladr University LHB",2021-04-01,"Waiting for new OP appointment",41629,23567,67083
"W11000024","Powys Teaching LHB",2021-04-01,"Waiting for new OP appointment",796,231,2403
"W11000025","Hywel Dda LHB",2021-04-01,"Waiting for new OP appointment",26416,10813,50544
"W11000029","Cardiff and Vale University LHB",2021-04-01,"Waiting for new OP appointment",31639,15731,55370
"W11000031","Swansea Bay University Health Board",2021-04-01,"Waiting for new OP appointment",27934,11838,47333
"W11000028","Aneurin Bevan LHB",2021-04-01,"Waiting for new OP appointment",37852,17590,67576
"W11000030","Cwm Taf Morgannwg University Health Board",2021-04-01,"Waiting for new OP appointment",37434,18042,60456
"W11000023","Betsi Cadwaladr University LHB",2021-05-01,"Waiting for new OP appointment",42164,23463,69911
"W11000024","Powys Teaching LHB",2021-05-01,"Waiting for new OP appointment",762,191,2563
"W11000025","Hywel Dda LHB",2021-05-01,"Waiting for new OP appointment",25899,10681,52014
"W11000028","Aneurin Bevan LHB",2021-05-01,"Waiting for new OP appointment",37539,17103,70480
"W11000029","Cardiff and Vale University LHB",2021-05-01,"Waiting for new OP appointment",31502,15335,56969
"W11000030","Cwm Taf Morgannwg University Health Board",2021-05-01,"Waiting for new OP appointment",36810,17443,62141
"W11000031","Swansea Bay University Health Board",2021-05-01,"Waiting for new OP appointment",27980,11576,49102
"W11000023","Betsi Cadwaladr University LHB",2021-06-01,"Waiting for new OP appointment",43275,23449,72437
"W11000024","Powys Teaching LHB",2021-06-01,"Waiting for new OP appointment",707,137,2616
"W11000025","Hywel Dda LHB",2021-06-01,"Waiting for new OP appointment",26087,10798,53706
"W11000028","Aneurin Bevan LHB",2021-06-01,"Waiting for new OP appointment",38066,16624,73334
"W11000029","Cardiff and Vale University LHB",2021-06-01,"Waiting for new OP appointment",32080,15146,58307
"W11000030","Cwm Taf Morgannwg University Health Board",2021-06-01,"Waiting for new OP appointment",36823,17060,63380
"W11000031","Swansea Bay University Health Board",2021-06-01,"Waiting for new OP appointment",28114,10921,50232
"W11000023","Betsi Cadwaladr University LHB",2021-07-01,"Waiting for new OP appointment",45217,23750,75417
"W11000024","Powys Teaching LHB",2021-07-01,"Waiting for new OP appointment",736,91,2705
"W11000025","Hywel Dda LHB",2021-07-01,"Waiting for new OP appointment",27136,11141,55056
"W11000029","Cardiff and Vale University LHB",2021-07-01,"Waiting for new OP appointment",33941,15550,61244
"W11000028","Aneurin Bevan LHB",2021-07-01,"Waiting for new OP appointment",39784,16970,76607
"W11000030","Cwm Taf Morgannwg University Health Board",2021-07-01,"Waiting for new OP appointment",37914,17418,64924
"W11000031","Swansea Bay University Health Board",2021-07-01,"Waiting for new OP appointment",29149,11175,51741
"W11000023","Betsi Cadwaladr University LHB",2021-08-01,"Waiting for new OP appointment",46309,24032,77506
"W11000025","Hywel Dda LHB",2021-08-01,"Waiting for new OP appointment",28020,11610,56409
"W11000029","Cardiff and Vale University LHB",2021-08-01,"Waiting for new OP appointment",35654,16119,63592
"W11000024","Powys Teaching LHB",2021-08-01,"Waiting for new OP appointment",807,86,2841
"W11000028","Aneurin Bevan LHB",2021-08-01,"Waiting for new OP appointment",41821,17628,78451
"W11000030","Cwm Taf Morgannwg University Health Board",2021-08-01,"Waiting for new OP appointment",39243,18295,67144
"W11000031","Swansea Bay University Health Board",2021-08-01,"Waiting for new OP appointment",29659,11126,52839
"W11000023","Betsi Cadwaladr University LHB",2021-09-01,"Waiting for new OP appointment",47925,24136,79269
"W11000024","Powys Teaching LHB",2021-09-01,"Waiting for new OP appointment",803,49,2753
"W11000025","Hywel Dda LHB",2021-09-01,"Waiting for new OP appointment",29417,12066,57866
"W11000029","Cardiff and Vale University LHB",2021-09-01,"Waiting for new OP appointment",36314,15531,63941
"W11000028","Aneurin Bevan LHB",2021-09-01,"Waiting for new OP appointment",43019,17352,79331
"W11000030","Cwm Taf Morgannwg University Health Board",2021-09-01,"Waiting for new OP appointment",41137,19314,68699
"W11000031","Swansea Bay University Health Board",2021-09-01,"Waiting for new OP appointment",30412,11556,53185
"W11000023","Betsi Cadwaladr University LHB",2021-10-01,"Waiting for new OP appointment",49325,24464,80838
"W11000025","Hywel Dda LHB",2021-10-01,"Waiting for new OP appointment",29884,12313,58099
"W11000028","Aneurin Bevan LHB",2021-10-01,"Waiting for new OP appointment",42731,16118,78554
"W11000031","Swansea Bay University Health Board",2021-10-01,"Waiting for new OP appointment",31009,12270,52987
"W11000024","Powys Teaching LHB",2021-10-01,"Waiting for new OP appointment",788,30,2659
"W11000029","Cardiff and Vale University LHB",2021-10-01,"Waiting for new OP appointment",37633,15984,66040
"W11000030","Cwm Taf Morgannwg University Health Board",2021-10-01,"Waiting for new OP appointment",42140,19988,69670
"W11000023","Betsi Cadwaladr University LHB",2021-11-01,"Waiting for new OP appointment",49948,24123,81939
"W11000024","Powys Teaching LHB",2021-11-01,"Waiting for new OP appointment",538,7,2442
"W11000025","Hywel Dda LHB",2021-11-01,"Waiting for new OP appointment",28701,12191,56919
"W11000029","Cardiff and Vale University LHB",2021-11-01,"Waiting for new OP appointment",38534,16143,66666
"W11000031","Swansea Bay University Health Board",2021-11-01,"Waiting for new OP appointment",31073,12372,52373
"W11000028","Aneurin Bevan LHB",2021-11-01,"Waiting for new OP appointment",41427,14146,77588
"W11000030","Cwm Taf Morgannwg University Health Board",2021-11-01,"Waiting for new OP appointment",42406,20287,69522
"W11000023","Betsi Cadwaladr University LHB",2021-12-01,"Waiting for new OP appointment",51039,23756,82043
"W11000025","Hywel Dda LHB",2021-12-01,"Waiting for new OP appointment",28521,12328,56328
"W11000029","Cardiff and Vale University LHB",2021-12-01,"Waiting for new OP appointment",38378,14861,65855
"W11000024","Powys Teaching LHB",2021-12-01,"Waiting for new OP appointment",506,NA,2398
"W11000028","Aneurin Bevan LHB",2021-12-01,"Waiting for new OP appointment",40778,12604,75985
"W11000030","Cwm Taf Morgannwg University Health Board",2021-12-01,"Waiting for new OP appointment",43214,20416,69526
"W11000031","Swansea Bay University Health Board",2021-12-01,"Waiting for new OP appointment",31917,12326,52271
"W11000023","Betsi Cadwaladr University LHB",2022-01-01,"Waiting for new OP appointment",51690,23076,81976
"W11000024","Powys Teaching LHB",2022-01-01,"Waiting for new OP appointment",428,1,2307
"W11000025","Hywel Dda LHB",2022-01-01,"Waiting for new OP appointment",29129,12690,56971
"W11000028","Aneurin Bevan LHB",2022-01-01,"Waiting for new OP appointment",40389,11713,76117
"W11000031","Swansea Bay University Health Board",2022-01-01,"Waiting for new OP appointment",31551,12124,51705
"W11000029","Cardiff and Vale University LHB",2022-01-01,"Waiting for new OP appointment",38570,14256,65523
"W11000030","Cwm Taf Morgannwg University Health Board",2022-01-01,"Waiting for new OP appointment",43396,20023,69495
"W11000023","Betsi Cadwaladr University LHB",2022-02-01,"Waiting for new OP appointment",52766,23407,83715
"W11000024","Powys Teaching LHB",2022-02-01,"Waiting for new OP appointment",329,1,2286
"W11000025","Hywel Dda LHB",2022-02-01,"Waiting for new OP appointment",29388,12738,57564
"W11000031","Swansea Bay University Health Board",2022-02-01,"Waiting for new OP appointment",31149,12051,51716
"W11000028","Aneurin Bevan LHB",2022-02-01,"Waiting for new OP appointment",39648,10348,76343
"W11000029","Cardiff and Vale University LHB",2022-02-01,"Waiting for new OP appointment",39522,14809,66973
"W11000030","Cwm Taf Morgannwg University Health Board",2022-02-01,"Waiting for new OP appointment",42019,18776,68146
"W11000023","Betsi Cadwaladr University LHB",2022-03-01,"Waiting for new OP appointment",53404,23809,85012
"W11000024","Powys Teaching LHB",2022-03-01,"Waiting for new OP appointment",351,NA,2324
"W11000025","Hywel Dda LHB",2022-03-01,"Waiting for new OP appointment",29447,12852,59374
"W11000029","Cardiff and Vale University LHB",2022-03-01,"Waiting for new OP appointment",40117,15215,68078
"W11000031","Swansea Bay University Health Board",2022-03-01,"Waiting for new OP appointment",30341,12223,51217
"W11000028","Aneurin Bevan LHB",2022-03-01,"Waiting for new OP appointment",37659,8071,75022
"W11000030","Cwm Taf Morgannwg University Health Board",2022-03-01,"Waiting for new OP appointment",41971,18965,68162
"W11000023","Betsi Cadwaladr University LHB",2022-04-01,"Waiting for new OP appointment",54514,24223,86354
"W11000024","Powys Teaching LHB",2022-04-01,"Waiting for new OP appointment",427,NA,2461
"W11000025","Hywel Dda LHB",2022-04-01,"Waiting for new OP appointment",30208,13351,60045
"W11000031","Swansea Bay University Health Board",2022-04-01,"Waiting for new OP appointment",31113,12807,52480
"W11000028","Aneurin Bevan LHB",2022-04-01,"Waiting for new OP appointment",38948,8435,76212
"W11000029","Cardiff and Vale University LHB",2022-04-01,"Waiting for new OP appointment",40103,15221,68614
"W11000030","Cwm Taf Morgannwg University Health Board",2022-04-01,"Waiting for new OP appointment",42528,19040,68719
"W11000023","Betsi Cadwaladr University LHB",2022-05-01,"Waiting for new OP appointment",52918,24405,86920
"W11000024","Powys Teaching LHB",2022-05-01,"Waiting for new OP appointment",448,NA,2602
"W11000025","Hywel Dda LHB",2022-05-01,"Waiting for new OP appointment",30614,13852,62510
"W11000028","Aneurin Bevan LHB",2022-05-01,"Waiting for new OP appointment",37735,8736,77336
"W11000029","Cardiff and Vale University LHB",2022-05-01,"Waiting for new OP appointment",38985,15560,68788
"W11000031","Swansea Bay University Health Board",2022-05-01,"Waiting for new OP appointment",31343,13713,54494
