"trust18_code","date","hospital","programme_of_care","specialty","total_available_beds","average_available_beds","total_occupied_beds","average_occupied_beds","total_inpatients","total_day_case","elective_inpatient","non_elective_inpatient","regular_attenders"
"BHSCT",2021-12-31,"Belfast City","Acute Services","Gynaecology",1317,14.3,677,7.4,174,393,172,2,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Gynaecology",1008,11.2,679,7.5,200,435,200,0,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Clinical Oncology",66,0.7,66,0.7,17,0,0,17,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Clinical Oncology",34,0.4,34,0.4,11,0,1,10,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Clinical Oncology",33,0.4,33,0.4,13,0,1,12,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Clinical Oncology",48,0.5,48,0.5,9,0,0,9,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Radiology",7,0.1,7,0.1,3,50,3,0,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Radiology",1,0,1,0,4,30,4,0,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Radiology",6,0.1,6,0.1,4,20,4,0,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Radiology",4,0,4,0,2,34,2,0,0
"BHSCT",2021-06-30,"Acute Mental Health Inpatient Unit","Mental Health","Mental Illness",7280,80,7901,86.8,122,0,0,0,0
"BHSCT",2021-09-30,"Acute Mental Health Inpatient Unit","Mental Health","Mental Illness",7360,80,7992,86.9,127,0,0,0,0
"BHSCT",2021-12-31,"Acute Mental Health Inpatient Unit","Mental Health","Mental Illness",7360,80,8120,88.3,132,0,0,0,0
"BHSCT",2022-03-31,"Acute Mental Health Inpatient Unit","Mental Health","Mental Illness",7200,80,7551,83.9,113,0,0,0,0
"BHSCT",2021-06-30,"Musgrave Park","Acute Services","Trauma & Orthopaedics Surgery",9742,107.1,3579,39.3,659,499,497,162,0
"BHSCT",2021-09-30,"Musgrave Park","Acute Services","Trauma & Orthopaedics Surgery",9603,104.4,4916,53.4,573,352,320,253,0
"BHSCT",2021-12-31,"Musgrave Park","Acute Services","Trauma & Orthopaedics Surgery",8962,97.4,5692,61.9,466,280,154,312,0
"BHSCT",2022-03-31,"Musgrave Park","Acute Services","Trauma & Orthopaedics Surgery",8084,89.8,4601,51.1,512,329,292,220,0
"BHSCT",2022-03-31,"Musgrave Park","Acute Services","General Medicine",459,5.1,459,5.1,0,0,0,0,0
"BHSCT",2021-06-30,"Musgrave Park","Acute Services","Rehabilitation",4016,44.1,3162,34.7,78,70,17,61,0
"BHSCT",2021-09-30,"Musgrave Park","Acute Services","Rehabilitation",3987,43.3,3150,34.2,77,65,17,60,0
"BHSCT",2021-12-31,"Musgrave Park","Acute Services","Rehabilitation",4017,43.7,3405,37,93,64,30,63,0
"BHSCT",2022-03-31,"Musgrave Park","Acute Services","Rehabilitation",3396,37.7,2625,29.2,55,48,12,43,0
"BHSCT",2021-06-30,"Musgrave Park","Acute Services","Thoracic Medicine",34,0.4,34,0.4,2,0,0,2,0
"BHSCT",2021-09-30,"Musgrave Park","Acute Services","Thoracic Medicine",174,1.9,174,1.9,1,0,0,1,0
"BHSCT",2021-12-31,"Musgrave Park","Acute Services","Thoracic Medicine",412,4.5,412,4.5,6,0,0,6,0
"BHSCT",2022-03-31,"Musgrave Park","Acute Services","Thoracic Medicine",1801,20,1801,20,31,0,3,28,0
"BHSCT",2021-06-30,"Musgrave Park","Acute Services","Neurology",2059,22.6,1606,17.6,81,1,70,11,0
"BHSCT",2021-09-30,"Musgrave Park","Acute Services","Neurology",2116,23,1517,16.5,89,1,81,8,0
"BHSCT",2021-12-31,"Musgrave Park","Acute Services","Neurology",2092,22.7,1643,17.9,86,1,81,5,0
"BHSCT",2022-03-31,"Musgrave Park","Acute Services","Neurology",1632,18.1,1228,13.6,35,1,32,3,0
"BHSCT",2021-06-30,"Musgrave Park","Acute Services","Rheumatology",1639,18,567,6.2,123,29,104,19,0
"BHSCT",2021-09-30,"Musgrave Park","Acute Services","Rheumatology",1660,18,513,5.6,111,16,93,18,0
"BHSCT",2021-12-31,"Musgrave Park","Acute Services","Rheumatology",1669,18.1,576,6.3,110,41,92,18,0
"BHSCT",2022-03-31,"Musgrave Park","Acute Services","Rheumatology",1189,13.2,495,5.5,65,41,47,18,0
"BHSCT",2021-06-30,"Musgrave Park","Acute Services","Paediatric Neurology",0,0,0,0,0,64,0,0,0
"BHSCT",2021-09-30,"Musgrave Park","Acute Services","Paediatric Neurology",0,0,0,0,0,47,0,0,0
"BHSCT",2021-12-31,"Musgrave Park","Acute Services","Paediatric Neurology",0,0,0,0,0,50,0,0,0
"BHSCT",2022-03-31,"Musgrave Park","Acute Services","Paediatric Neurology",0,0,0,0,0,51,0,0,0
"BHSCT",2021-06-30,"Musgrave Park","Elderly Care","Geriatric Medicine",4364,48,3409,37.5,117,0,0,0,0
"BHSCT",2021-09-30,"Musgrave Park","Elderly Care","Geriatric Medicine",4160,45.2,3184,34.6,126,0,0,0,0
"BHSCT",2021-12-31,"Musgrave Park","Elderly Care","Geriatric Medicine",3478,37.8,3276,35.6,103,0,0,0,0
"BHSCT",2022-03-31,"Musgrave Park","Elderly Care","Geriatric Medicine",3503,38.9,3451,38.3,93,0,0,0,0
"BHSCT",2021-06-30,"NI Cancer Centre","Acute Services","Haematology Clinical",127,1.4,127,1.4,54,0,0,54,0
"BHSCT",2021-09-30,"NI Cancer Centre","Acute Services","Haematology Clinical",473,5.1,473,5.1,81,0,5,76,0
"BHSCT",2021-12-31,"NI Cancer Centre","Acute Services","Haematology Clinical",213,2.3,213,2.3,51,0,3,48,0
"BHSCT",2022-03-31,"NI Cancer Centre","Acute Services","Haematology Clinical",259,2.9,259,2.9,68,0,0,68,0
"BHSCT",2021-06-30,"NI Cancer Centre","Acute Services","Medical Oncology",4694,51.6,1992,21.9,315,2007,51,264,1774
"BHSCT",2021-09-30,"NI Cancer Centre","Acute Services","Medical Oncology",4708,51.2,1826,19.8,303,2106,49,254,1906
"BHSCT",2021-12-31,"NI Cancer Centre","Acute Services","Medical Oncology",4653,50.6,1784,19.4,261,2088,34,227,1777
"BHSCT",2022-03-31,"NI Cancer Centre","Acute Services","Medical Oncology",4903,54.5,2141,23.8,284,2028,42,242,1751
"BHSCT",2021-06-30,"NI Cancer Centre","Acute Services","Clinical Oncology",1760,19.3,1760,19.3,189,796,46,143,674
"BHSCT",2021-09-30,"NI Cancer Centre","Acute Services","Clinical Oncology",1412,15.3,1412,15.3,173,818,51,122,662
"BHSCT",2021-12-31,"NI Cancer Centre","Acute Services","Clinical Oncology",1998,21.7,1998,21.7,215,942,50,165,780
"BHSCT",2022-03-31,"NI Cancer Centre","Acute Services","Clinical Oncology",1564,17.4,1564,17.4,172,946,58,114,779
"BHSCT",2021-06-30,"Knockbracken","Elderly Care","Geriatric Medicine",728,8,728,8,2,0,0,0,0
"BHSCT",2021-09-30,"Knockbracken","Elderly Care","Geriatric Medicine",736,8,736,8,5,0,0,0,0
"BHSCT",2021-12-31,"Knockbracken","Elderly Care","Geriatric Medicine",736,8,736,8,2,0,0,0,0
"BHSCT",2022-03-31,"Knockbracken","Elderly Care","Geriatric Medicine",720,8,720,8,4,0,0,0,0
"BHSCT",2021-06-30,"Knockbracken","Mental Health","Mental Illness",1638,18,1638,18,7,0,0,0,0
"BHSCT",2021-09-30,"Knockbracken","Mental Health","Mental Illness",1503,16.3,1503,16.3,3,0,0,0,0
"BHSCT",2021-12-31,"Knockbracken","Mental Health","Mental Illness",1475,16,1472,16,6,0,0,0,0
"BHSCT",2022-03-31,"Knockbracken","Mental Health","Mental Illness",1440,16,1440,16,1,0,0,0,0
"BHSCT",2021-06-30,"Knockbracken","Mental Health","Forensic Psychiatry",3094,34,3094,34,7,0,0,0,0
"BHSCT",2021-09-30,"Knockbracken","Mental Health","Forensic Psychiatry",3128,34,3128,34,1,0,0,0,0
"BHSCT",2021-12-31,"Knockbracken","Mental Health","Forensic Psychiatry",3128,34,3128,34,4,0,0,0,0
"BHSCT",2022-03-31,"Knockbracken","Mental Health","Forensic Psychiatry",3060,34,3060,34,4,0,0,0,0
"BHSCT",2021-06-30,"Beechcroft","Mental Health","Child & Adolescent Psychiatry",2275,25,2320,25.5,24,0,0,0,0
"BHSCT",2021-09-30,"Beechcroft","Mental Health","Child & Adolescent Psychiatry",2300,25,2020,22,31,0,0,0,0
"BHSCT",2021-12-31,"Beechcroft","Mental Health","Child & Adolescent Psychiatry",2300,25,1583,17.2,16,0,0,0,0
"BHSCT",2022-03-31,"Beechcroft","Mental Health","Child & Adolescent Psychiatry",2250,25,1473,16.4,13,0,0,0,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","General Surgery",10517,115.6,8482,93.2,1343,170,222,1121,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","General Surgery",10010,108.8,7662,83.3,1126,155,132,994,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","General Surgery",10357,112.6,7810,84.9,1025,93,133,892,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","General Surgery",10984,122,8874,98.6,940,109,138,802,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Urology",1004,11,922,10.1,198,0,10,188,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Urology",1207,13.1,1181,12.8,209,0,3,206,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Urology",1307,14.2,1280,13.9,207,0,1,206,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Urology",1317,14.6,980,10.9,189,0,1,188,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Trauma & Orthopaedics Surgery",8487,93.3,8427,92.6,841,1,116,725,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Trauma & Orthopaedics Surgery",8424,91.6,8306,90.3,843,2,92,751,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Trauma & Orthopaedics Surgery",8667,94.2,8595,93.4,840,0,102,738,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Trauma & Orthopaedics Surgery",9049,100.5,8942,99.4,746,1,93,653,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Ear Nose Throat",1345,14.8,953,10.5,263,280,165,98,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Ear Nose Throat",1498,16.3,793,8.6,185,220,95,90,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Ear Nose Throat",1397,15.2,862,9.4,149,118,71,78,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Ear Nose Throat",1337,14.9,968,10.8,242,247,165,77,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Ophthalmology",1552,17.1,619,6.8,57,1146,31,26,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Ophthalmology",1682,18.3,734,8,39,908,9,30,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Ophthalmology",1618,17.6,684,7.4,70,940,38,32,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Ophthalmology",1292,14.4,892,9.9,131,816,105,26,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Oral Surgery",0,0,0,0,0,72,0,0,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Oral Surgery",0,0,0,0,0,22,0,0,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Oral Surgery",0,0,0,0,0,45,0,0,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Oral Surgery",0,0,0,0,0,76,0,0,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Neurosurgery",2824,31,2054,22.6,285,55,148,137,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Neurosurgery",3033,33,2182,23.7,213,68,91,122,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Neurosurgery",2934,31.9,2408,26.2,233,54,108,125,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Neurosurgery",2779,30.9,2170,24.1,226,44,100,126,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Plastic Surgery",480,5.3,445,4.9,43,33,9,34,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Plastic Surgery",581,6.3,537,5.8,32,16,3,29,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Plastic Surgery",286,3.1,230,2.5,41,84,21,20,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Plastic Surgery",469,5.2,436,4.8,38,28,17,21,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Cardiac Surgery",3084,33.9,2276,25,199,0,137,62,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Cardiac Surgery",2457,26.7,1579,17.2,125,0,70,55,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Cardiac Surgery",3076,33.4,1857,20.2,154,0,73,81,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Cardiac Surgery",3383,37.6,2089,23.2,157,0,70,87,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Thoracic Surgery",1381,15.2,1132,12.4,199,10,122,77,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Thoracic Surgery",1123,12.2,927,10.1,157,10,95,62,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Thoracic Surgery",1539,16.7,1310,14.2,226,8,161,65,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Thoracic Surgery",1149,12.8,986,11,190,4,125,65,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Accident & Emergency",1102,12.1,646,7.1,536,0,0,536,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Accident & Emergency",1192,13,700,7.6,520,0,0,520,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Accident & Emergency",1341,14.6,774,8.4,423,0,0,423,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Accident & Emergency",1288,14.3,720,8,473,0,0,473,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Anaesthetics",4991,54.8,2534,27.8,74,0,6,68,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Anaesthetics",4634,50.4,2165,23.5,68,0,2,66,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Anaesthetics",4672,50.8,2202,23.9,76,0,2,74,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Anaesthetics",4591,51,2172,24.1,89,0,4,85,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","General Medicine",8564,94.1,7100,78,870,368,7,863,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","General Medicine",10486,114,8644,94,911,377,9,902,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","General Medicine",13095,142.3,11074,120.4,745,265,11,734,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","General Medicine",11053,122.8,8371,93,671,342,6,665,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Gastroenterology",3864,42.5,3728,41,638,2536,72,566,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Gastroenterology",3676,40,3465,37.7,580,2476,60,520,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Gastroenterology",3978,43.2,3765,40.9,615,2523,79,536,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Gastroenterology",3798,42.2,3598,40,511,2407,60,451,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Endocrinology",1959,21.5,1828,20.1,279,40,32,247,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Endocrinology",2110,22.9,1978,21.5,295,37,27,268,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Endocrinology",2427,26.4,2315,25.2,297,39,22,275,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Endocrinology",2144,23.8,2052,22.8,257,31,16,241,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Cardiology",5876,64.6,5001,55,1455,270,403,1052,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Cardiology",6321,68.7,5158,56.1,1345,190,388,957,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Cardiology",6149,66.8,5242,57,1535,148,497,1038,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Cardiology",5520,61.3,4798,53.3,1208,228,228,980,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Dermatology",0,0,0,0,0,41,0,0,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Dermatology",0,0,0,0,0,44,0,0,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Dermatology",0,0,0,0,0,45,0,0,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Dermatology",0,0,0,0,0,38,0,0,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Thoracic Medicine",3695,40.6,3469,38.1,358,19,17,341,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Thoracic Medicine",5838,63.5,5653,61.4,550,14,15,535,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Thoracic Medicine",2698,29.3,2698,29.3,547,16,17,530,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Thoracic Medicine",8596,95.5,8407,93.4,733,12,30,703,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Infectious Diseases",285,3.1,274,3,12,91,3,9,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Infectious Diseases",423,4.6,384,4.2,26,78,2,24,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Infectious Diseases",506,5.5,494,5.4,30,92,9,21,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Infectious Diseases",419,4.7,370,4.1,21,127,8,13,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Genito-Urinary Medicine",44,0.5,44,0.5,2,0,1,1,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Genito-Urinary Medicine",28,0.3,28,0.3,2,0,0,2,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Genito-Urinary Medicine",125,1.4,125,1.4,6,0,1,5,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Genito-Urinary Medicine",13,0.1,13,0.1,1,0,0,1,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Neurology",2218,24.4,2211,24.3,82,250,11,71,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Neurology",1646,17.9,1479,16.1,102,268,26,76,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Neurology",1544,16.8,1445,15.7,98,269,28,70,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Neurology",1753,19.5,1640,18.2,88,276,16,72,0
"BHSCT",2021-06-30,"Royal Victoria","Elderly Care","Geriatric Medicine",5182,56.9,5119,56.3,658,54,0,0,0
"BHSCT",2021-09-30,"Royal Victoria","Elderly Care","Geriatric Medicine",4656,50.6,4593,49.9,613,3,0,0,0
"BHSCT",2021-12-31,"Royal Victoria","Elderly Care","Geriatric Medicine",5236,56.9,5157,56.1,552,1,0,0,0
"BHSCT",2022-03-31,"Royal Victoria","Elderly Care","Geriatric Medicine",4460,49.6,4392,48.8,555,1,0,0,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Gynaecology",263,2.9,205,2.3,71,1,14,57,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Gynaecology",158,1.7,109,1.2,31,0,0,31,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Gynaecology",273,3,252,2.7,54,0,0,54,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Gynaecology",331,3.7,324,3.6,42,2,0,42,0
"BHSCT",2021-06-30,"Royal Victoria","Acute Services","Radiology",18,0.2,18,0.2,9,50,9,0,0
"BHSCT",2021-09-30,"Royal Victoria","Acute Services","Radiology",12,0.1,12,0.1,5,50,4,1,0
"BHSCT",2021-12-31,"Royal Victoria","Acute Services","Radiology",2,0,2,0,2,44,2,0,0
"BHSCT",2022-03-31,"Royal Victoria","Acute Services","Radiology",2,0,2,0,1,51,1,0,0
"BHSCT",2021-06-30,"Royal Maternity","Acute Services","Paediatrics",2457,27,2321,25.5,322,0,1,321,0
"BHSCT",2021-09-30,"Royal Maternity","Acute Services","Paediatrics",2484,27,2142,23.3,306,0,1,305,0
"BHSCT",2021-12-31,"Royal Maternity","Acute Services","Paediatrics",2484,27,2009,21.8,309,0,0,309,0
"BHSCT",2022-03-31,"Royal Maternity","Acute Services","Paediatrics",2430,27,1893,21,287,0,0,287,0
"BHSCT",2021-06-30,"Royal Maternity","Maternity & Child Health","Obstetrics",4277,47,3499,38.5,1487,35,0,0,0
"BHSCT",2021-09-30,"Royal Maternity","Maternity & Child Health","Obstetrics",4324,47,3927,42.7,1581,28,0,0,0
"BHSCT",2021-12-31,"Royal Maternity","Maternity & Child Health","Obstetrics",4324,47,3451,37.5,1474,38,0,0,0
"BHSCT",2022-03-31,"Royal Maternity","Maternity & Child Health","Obstetrics",4230,47,3020,33.6,1169,211,0,0,0
"BHSCT",2021-06-30,"Royal Maternity","Maternity & Child Health","Well Babies Paed",3094,34,1155,12.7,896,0,0,0,0
"BHSCT",2021-09-30,"Royal Maternity","Maternity & Child Health","Well Babies Paed",3128,34,1326,14.4,1028,0,0,0,0
"BHSCT",2021-12-31,"Royal Maternity","Maternity & Child Health","Well Babies Paed",2944,32,1513,16.4,935,0,0,0,0
"BHSCT",2022-03-31,"Royal Maternity","Maternity & Child Health","Well Babies Paed",2970,33,1375,15.3,798,0,0,0,0
"BHSCT",2021-06-30,"RBHSC","Acute Services","Trauma & Orthopaedics Surgery",503,5.5,503,5.5,191,49,72,119,0
"BHSCT",2021-09-30,"RBHSC","Acute Services","Trauma & Orthopaedics Surgery",440,4.8,440,4.8,192,56,81,111,0
"BHSCT",2021-12-31,"RBHSC","Acute Services","Trauma & Orthopaedics Surgery",339,3.7,339,3.7,91,50,38,53,0
