"hsct22_name","date","year","month","specialty","waits_over_18_weeks","waits_over_52_weeks","total_waits"
"Belfast",2019-06-01,2019,"Jun","Clinical Oncology",0,0,231
"Belfast",2019-06-01,2019,"Jun","Dental Medicine Specialties",240,0,843
"Belfast",2019-06-01,2019,"Jun","Dermatology",4108,2337,6697
"Belfast",2019-06-01,2019,"Jun","ENT",9388,5478,13100
"Belfast",2019-06-01,2019,"Jun","Endocrinology",244,83,834
"Belfast",2019-06-01,2019,"Jun","Gastroenterology",2170,752,4834
"Belfast",2019-06-01,2019,"Jun","General Medicine",3267,2744,4067
"Belfast",2019-06-01,2019,"Jun","General Surgery",6565,3942,11646
"Belfast",2019-06-01,2019,"Jun","Geriatric Medicine",113,5,644
"Belfast",2019-06-01,2019,"Jun","Gynaecology",3706,1802,6953
"Belfast",2019-06-01,2019,"Jun","Haematology (Clinical)",47,15,234
"Belfast",2019-06-01,2019,"Jun","Infectious Diseases",92,23,147
"Belfast",2019-06-01,2019,"Jun","Learning Disability",0,0,32
"Belfast",2019-06-01,2019,"Jun","Medical Oncology",1,0,66
"Belfast",2019-06-01,2019,"Jun","Nephrology",29,1,306
"Belfast",2019-06-01,2019,"Jun","Neurology",4666,3069,6182
"Belfast",2019-06-01,2019,"Jun","Neurosurgery",283,95,894
"Belfast",2019-06-01,2019,"Jun","Old Age Psychiatry",6,0,243
"Belfast",2019-06-01,2019,"Jun","Ophthalmology",18766,10988,26919
"Belfast",2019-06-01,2019,"Jun","Oral Surgery",73,28,584
"Belfast",2019-06-01,2019,"Jun","Orthodontics",0,0,73
"Belfast",2019-06-01,2019,"Jun","Paediatric Dentistry",282,105,645
"Belfast",2019-06-01,2019,"Jun","Paediatric Neurology",47,0,209
"Belfast",2019-06-01,2019,"Jun","Paediatric Surgery",447,170,1111
"Belfast",2019-06-01,2019,"Jun","Paediatrics",3040,1182,5990
"Belfast",2019-06-01,2019,"Jun","Pain Management",1371,694,1981
"Belfast",2019-06-01,2019,"Jun","Palliative Medicine",1,0,7
"Belfast",2019-06-01,2019,"Jun","Plastic Surgery",822,567,1259
"Belfast",2019-06-01,2019,"Jun","Radiology",24,18,91
"Belfast",2019-06-01,2019,"Jun","Rehabilitation",48,9,127
"Belfast",2019-06-01,2019,"Jun","Restorative Dentistry",552,2,1474
"Belfast",2019-06-01,2019,"Jun","Rheumatology",3804,2957,4832
"Belfast",2019-06-01,2019,"Jun","T & O Surgery",16242,9753,23029
"Belfast",2019-06-01,2019,"Jun","Thoracic Medicine",397,87,1684
"Belfast",2019-06-01,2019,"Jun","Thoracic Surgery",177,112,408
"Belfast",2019-06-01,2019,"Jun","Urology",3836,1855,6287
"Belfast",2019-03-01,2019,"Mar","Anaesthetics",2,0,2
"Belfast",2019-03-01,2019,"Mar","Audiological",0,0,3
"Belfast",2019-03-01,2019,"Mar","Cardiac Surgery",11,0,296
"Belfast",2019-03-01,2019,"Mar","Cardiology",1364,101,4202
"Belfast",2019-03-01,2019,"Mar","Chemical Pathology",0,0,5
"Belfast",2019-03-01,2019,"Mar","Clinical Genetics",381,0,1021
"Belfast",2019-03-01,2019,"Mar","Clinical Oncology",0,0,177
"Belfast",2019-03-01,2019,"Mar","Dental Medicine Specialties",189,0,707
"Belfast",2019-03-01,2019,"Mar","Dermatology",3888,1939,6132
"Belfast",2019-03-01,2019,"Mar","ENT",8805,5060,12468
"Belfast",2019-03-01,2019,"Mar","Endocrinology",221,62,882
"Belfast",2019-03-01,2019,"Mar","Gastroenterology",1984,554,4728
"Belfast",2019-03-01,2019,"Mar","General Medicine",3415,2827,4193
"Belfast",2019-03-01,2019,"Mar","General Surgery",6594,3553,11420
"Belfast",2019-03-01,2019,"Mar","Geriatric Medicine",118,4,685
"Belfast",2019-03-01,2019,"Mar","Gynaecology",3522,1638,6428
"Belfast",2019-03-01,2019,"Mar","Haematology (Clinical)",37,2,239
"Belfast",2019-03-01,2019,"Mar","Infectious Diseases",93,18,138
"Belfast",2019-03-01,2019,"Mar","Learning Disability",4,0,35
"Belfast",2019-03-01,2019,"Mar","Medical Oncology",0,0,76
"Belfast",2019-03-01,2019,"Mar","Nephrology",51,1,359
"Belfast",2019-03-01,2019,"Mar","Neurology",5052,3217,6441
"Belfast",2019-03-01,2019,"Mar","Neurosurgery",247,71,871
"Belfast",2019-03-01,2019,"Mar","Old Age Psychiatry",2,0,246
"Belfast",2019-03-01,2019,"Mar","Ophthalmology",13294,7121,19515
"Belfast",2019-03-01,2019,"Mar","Oral Surgery",73,23,547
"Belfast",2019-03-01,2019,"Mar","Orthodontics",0,0,103
"Belfast",2019-03-01,2019,"Mar","Paediatric Dentistry",304,110,653
"Belfast",2019-03-01,2019,"Mar","Paediatric Neurology",54,0,210
"Belfast",2019-03-01,2019,"Mar","Paediatric Surgery",443,166,1060
"Belfast",2019-03-01,2019,"Mar","Paediatrics",2790,996,5438
"Belfast",2019-03-01,2019,"Mar","Pain Management",1478,537,2166
"Belfast",2019-03-01,2019,"Mar","Palliative Medicine",2,0,8
"Belfast",2019-03-01,2019,"Mar","Plastic Surgery",817,533,1213
"Belfast",2019-03-01,2019,"Mar","Radiology",20,16,49
"Belfast",2019-03-01,2019,"Mar","Rehabilitation",37,5,149
"Belfast",2019-03-01,2019,"Mar","Restorative Dentistry",498,1,1468
"Belfast",2019-03-01,2019,"Mar","Rheumatology",3605,2714,4628
"Belfast",2019-03-01,2019,"Mar","T & O Surgery",17505,10618,24194
"Belfast",2019-03-01,2019,"Mar","Thoracic Medicine",373,53,1566
"Belfast",2019-03-01,2019,"Mar","Thoracic Surgery",167,110,347
"Belfast",2019-03-01,2019,"Mar","Urology",3546,1607,6201
"Belfast",2019-09-01,2019,"Sep","Anaesthetics",0,0,1
"Belfast",2019-09-01,2019,"Sep","Cardiac Surgery",10,1,228
"Belfast",2019-09-01,2019,"Sep","Cardiology",1298,189,4327
"Belfast",2019-09-01,2019,"Sep","Chemical Pathology",0,0,2
"Belfast",2019-09-01,2019,"Sep","Child & Adolescent Psychiatry",0,0,2
"Belfast",2019-09-01,2019,"Sep","Clinical Genetics",646,1,1179
"Belfast",2019-09-01,2019,"Sep","Clinical Oncology",0,0,186
"Belfast",2019-09-01,2019,"Sep","Dental Medicine Specialties",305,0,902
"Belfast",2019-09-01,2019,"Sep","Dermatology",4290,2675,7000
"Belfast",2019-09-01,2019,"Sep","ENT",10008,5944,13385
"Belfast",2019-09-01,2019,"Sep","Endocrinology",267,87,909
"Belfast",2019-09-01,2019,"Sep","Gastroenterology",2334,976,5145
"Belfast",2019-09-01,2019,"Sep","General Medicine",3300,2703,4107
"Belfast",2019-09-01,2019,"Sep","General Surgery",6745,3867,11836
"Belfast",2019-09-01,2019,"Sep","Geriatric Medicine",41,4,434
"Belfast",2019-09-01,2019,"Sep","Gynaecology",3974,2057,7422
"Belfast",2019-09-01,2019,"Sep","Haematology (Clinical)",55,25,248
"Belfast",2019-09-01,2019,"Sep","Infectious Diseases",100,29,162
"Belfast",2019-09-01,2019,"Sep","Learning Disability",0,0,30
"Belfast",2019-09-01,2019,"Sep","Medical Oncology",2,0,70
"Belfast",2019-09-01,2019,"Sep","Nephrology",48,2,304
"Belfast",2019-09-01,2019,"Sep","Neurology",3839,2755,5418
"Belfast",2019-09-01,2019,"Sep","Neurosurgery",345,89,962
"Belfast",2019-09-01,2019,"Sep","Old Age Psychiatry",1,0,245
"Belfast",2019-09-01,2019,"Sep","Ophthalmology",19982,11921,27863
"Belfast",2019-09-01,2019,"Sep","Oral Surgery",38,10,559
"Belfast",2019-09-01,2019,"Sep","Orthodontics",0,0,80
"Belfast",2019-09-01,2019,"Sep","Paediatric Dentistry",334,86,665
"Belfast",2019-09-01,2019,"Sep","Paediatric Neurology",63,0,232
"Belfast",2019-09-01,2019,"Sep","Paediatric Surgery",475,155,1122
"Belfast",2019-09-01,2019,"Sep","Paediatrics",3590,1391,6161
"Belfast",2019-09-01,2019,"Sep","Pain Management",1438,724,2051
"Belfast",2019-09-01,2019,"Sep","Palliative Medicine",1,0,6
"Belfast",2019-09-01,2019,"Sep","Plastic Surgery",875,605,1351
"Belfast",2019-09-01,2019,"Sep","Radiology",27,17,64
"Belfast",2019-09-01,2019,"Sep","Rehabilitation",39,12,93
"Belfast",2019-09-01,2019,"Sep","Restorative Dentistry",601,0,1535
"Belfast",2019-09-01,2019,"Sep","Rheumatology",4179,3200,5067
"Belfast",2019-09-01,2019,"Sep","T & O Surgery",15974,9531,22418
"Belfast",2019-09-01,2019,"Sep","Thoracic Medicine",503,109,1648
"Belfast",2019-09-01,2019,"Sep","Thoracic Surgery",202,126,397
"Belfast",2019-09-01,2019,"Sep","Urology",4011,2053,6367
"Belfast",2020-12-01,2020,"Dec","Cardiac Surgery",105,8,334
"Belfast",2020-12-01,2020,"Dec","Cardiology",2156,749,3915
"Belfast",2020-12-01,2020,"Dec","Chemical Pathology",5,2,7
"Belfast",2020-12-01,2020,"Dec","Clinical Genetics",289,88,596
"Belfast",2020-12-01,2020,"Dec","Clinical Oncology",0,0,128
"Belfast",2020-12-01,2020,"Dec","Dental Medicine Specialties",818,454,1088
"Belfast",2020-12-01,2020,"Dec","Dermatology",5203,3448,6683
"Belfast",2020-12-01,2020,"Dec","ENT",13107,10776,14707
"Belfast",2020-12-01,2020,"Dec","Endocrinology",346,133,857
"Belfast",2020-12-01,2020,"Dec","Gastroenterology",4116,2505,6296
"Belfast",2020-12-01,2020,"Dec","General Medicine",4017,3575,4591
"Belfast",2020-12-01,2020,"Dec","General Surgery",11809,7954,15228
"Belfast",2020-12-01,2020,"Dec","Geriatric Medicine",35,7,335
"Belfast",2020-12-01,2020,"Dec","Gynaecology",5710,2964,8074
"Belfast",2020-12-01,2020,"Dec","Haematology (Clinical)",45,14,219
"Belfast",2020-12-01,2020,"Dec","Infectious Diseases",146,109,169
"Belfast",2020-12-01,2020,"Dec","Learning Disability",3,0,30
"Belfast",2020-12-01,2020,"Dec","Medical Oncology",4,2,63
"Belfast",2020-12-01,2020,"Dec","Nephrology",89,18,356
"Belfast",2020-12-01,2020,"Dec","Neurology",4862,3146,6056
"Belfast",2020-12-01,2020,"Dec","Neurosurgery",672,307,1097
"Belfast",2020-12-01,2020,"Dec","Old Age Psychiatry",25,0,287
"Belfast",2020-12-01,2020,"Dec","Ophthalmology",14475,11112,18553
"Belfast",2020-12-01,2020,"Dec","Oral Surgery",168,12,441
"Belfast",2020-12-01,2020,"Dec","Orthodontics",138,31,199
"Belfast",2020-12-01,2020,"Dec","Paediatric Dentistry",551,326,708
"Belfast",2020-12-01,2020,"Dec","Paediatric Neurology",111,5,256
"Belfast",2020-12-01,2020,"Dec","Paediatric Surgery",1004,442,1532
"Belfast",2020-12-01,2020,"Dec","Paediatrics",6089,3627,7900
"Belfast",2020-12-01,2020,"Dec","Pain Management",1825,1435,2135
"Belfast",2020-12-01,2020,"Dec","Palliative Medicine",0,0,4
"Belfast",2020-12-01,2020,"Dec","Plastic Surgery",1464,1110,1691
"Belfast",2020-12-01,2020,"Dec","Radiology",83,39,134
"Belfast",2020-12-01,2020,"Dec","Rehabilitation",28,21,34
"Belfast",2020-12-01,2020,"Dec","Restorative Dentistry",1421,812,1663
"Belfast",2020-12-01,2020,"Dec","Rheumatology",4476,3821,5101
"Belfast",2020-12-01,2020,"Dec","T & O Surgery",20236,13663,24770
"Belfast",2020-12-01,2020,"Dec","Thoracic Medicine",1353,399,2099
"Belfast",2020-12-01,2020,"Dec","Thoracic Surgery",271,228,387
"Belfast",2020-12-01,2020,"Dec","Urology",5255,3780,7077
"Belfast",2020-06-01,2020,"Jun","Cardiac Surgery",73,0,279
"Belfast",2020-06-01,2020,"Jun","Cardiology",2424,548,4042
"Belfast",2020-06-01,2020,"Jun","Chemical Pathology",7,1,11
"Belfast",2020-06-01,2020,"Jun","Clinical Genetics",742,195,1082
"Belfast",2020-06-01,2020,"Jun","Clinical Oncology",0,0,197
"Belfast",2020-06-01,2020,"Jun","Dental Medicine Specialties",707,2,912
"Belfast",2020-06-01,2020,"Jun","Dermatology",5450,3624,6669
"Belfast",2020-06-01,2020,"Jun","ENT",12826,8393,14476
"Belfast",2020-06-01,2020,"Jun","Endocrinology",331,114,749
"Belfast",2020-06-01,2020,"Jun","Gastroenterology",3655,1701,5787
"Belfast",2020-06-01,2020,"Jun","General Medicine",4066,3206,4471
"Belfast",2020-06-01,2020,"Jun","General Surgery",10017,5512,13144
"Belfast",2020-06-01,2020,"Jun","Geriatric Medicine",191,11,338
"Belfast",2020-06-01,2020,"Jun","Gynaecology",6417,3037,8399
"Belfast",2020-06-01,2020,"Jun","Haematology (Clinical)",40,9,153
"Belfast",2020-06-01,2020,"Jun","Infectious Diseases",144,59,168
"Belfast",2020-06-01,2020,"Jun","Learning Disability",3,0,35
"Belfast",2020-06-01,2020,"Jun","Medical Oncology",3,1,57
"Belfast",2020-06-01,2020,"Jun","Nephrology",119,7,360
"Belfast",2020-06-01,2020,"Jun","Neurology",4491,2628,5593
"Belfast",2020-06-01,2020,"Jun","Neurosurgery",632,170,1081
"Belfast",2020-06-01,2020,"Jun","Old Age Psychiatry",55,0,316
"Belfast",2020-06-01,2020,"Jun","Ophthalmology",24539,15503,27621
"Belfast",2020-06-01,2020,"Jun","Oral Surgery",236,3,541
"Belfast",2020-06-01,2020,"Jun","Orthodontics",88,0,142
"Belfast",2020-06-01,2020,"Jun","Paediatric Dentistry",528,98,668
"Belfast",2020-06-01,2020,"Jun","Paediatric Neurology",129,4,231
"Belfast",2020-06-01,2020,"Jun","Paediatric Surgery",713,275,1211
"Belfast",2020-06-01,2020,"Jun","Paediatrics",5379,2197,7166
"Belfast",2020-06-01,2020,"Jun","Pain Management",1719,1003,1970
"Belfast",2020-06-01,2020,"Jun","Palliative Medicine",1,0,2
"Belfast",2020-06-01,2020,"Jun","Plastic Surgery",1247,840,1549
"Belfast",2020-06-01,2020,"Jun","Radiology",59,27,110
"Belfast",2020-06-01,2020,"Jun","Rehabilitation",38,20,79
"Belfast",2020-06-01,2020,"Jun","Restorative Dentistry",1125,217,1398
"Belfast",2020-06-01,2020,"Jun","Rheumatology",4469,3665,4999
"Belfast",2020-06-01,2020,"Jun","T & O Surgery",18664,10690,23250
"Belfast",2020-06-01,2020,"Jun","Thoracic Medicine",1234,183,1934
"Belfast",2020-06-01,2020,"Jun","Thoracic Surgery",268,198,398
"Belfast",2020-06-01,2020,"Jun","Urology",4661,2901,6383
"Belfast",2020-03-01,2020,"Mar","Cardiac Surgery",25,0,275
"Belfast",2020-03-01,2020,"Mar","Cardiology",1666,302,4005
"Belfast",2020-03-01,2020,"Mar","Chemical Pathology",2,1,13
"Belfast",2020-03-01,2020,"Mar","Clinical Genetics",789,146,1275
"Belfast",2020-03-01,2020,"Mar","Clinical Oncology",0,0,232
"Belfast",2020-03-01,2020,"Mar","Dental Medicine Specialties",409,1,842
"Belfast",2020-03-01,2020,"Mar","Dermatology",4742,3203,6536
"Belfast",2020-03-01,2020,"Mar","ENT",10968,7263,13950
"Belfast",2020-03-01,2020,"Mar","Endocrinology",307,113,924
"Belfast",2020-03-01,2020,"Mar","Gastroenterology",2794,1376,5503
"Belfast",2020-03-01,2020,"Mar","General Medicine",3863,2971,4662
"Belfast",2020-03-01,2020,"Mar","General Surgery",7687,4240,12224
"Belfast",2020-03-01,2020,"Mar","Geriatric Medicine",55,10,454
"Belfast",2020-03-01,2020,"Mar","Gynaecology",4839,2468,7928
"Belfast",2020-03-01,2020,"Mar","Haematology (Clinical)",23,9,189
"Belfast",2020-03-01,2020,"Mar","Infectious Diseases",114,32,166
"Belfast",2020-03-01,2020,"Mar","Learning Disability",0,0,17
"Belfast",2020-03-01,2020,"Mar","Medical Oncology",3,1,83
"Belfast",2020-03-01,2020,"Mar","Nephrology",54,3,357
"Belfast",2020-03-01,2020,"Mar","Neurology",3736,2450,5383
"Belfast",2020-03-01,2020,"Mar","Neurosurgery",521,162,1154
"Belfast",2020-03-01,2020,"Mar","Old Age Psychiatry",0,0,223
"Belfast",2020-03-01,2020,"Mar","Ophthalmology",22273,14010,30729
"Belfast",2020-03-01,2020,"Mar","Oral Surgery",17,0,512
"Belfast",2020-03-01,2020,"Mar","Orthodontics",5,0,128
"Belfast",2020-03-01,2020,"Mar","Paediatric Dentistry",326,22,665
"Belfast",2020-03-01,2020,"Mar","Paediatric Neurology",91,2,248
"Belfast",2020-03-01,2020,"Mar","Paediatric Surgery",519,202,1094
"Belfast",2020-03-01,2020,"Mar","Paediatrics",4179,1780,7092
"Belfast",2020-03-01,2020,"Mar","Pain Management",1470,777,1936
"Belfast",2020-03-01,2020,"Mar","Palliative Medicine",0,0,6
"Belfast",2020-03-01,2020,"Mar","Plastic Surgery",1067,701,1460
"Belfast",2020-03-01,2020,"Mar","Radiology",40,21,99
"Belfast",2020-03-01,2020,"Mar","Rehabilitation",36,19,78
"Belfast",2020-03-01,2020,"Mar","Restorative Dentistry",693,10,1410
"Belfast",2020-03-01,2020,"Mar","Rheumatology",4310,3543,5121
"Belfast",2020-03-01,2020,"Mar","T & O Surgery",15714,9058,21951
"Belfast",2020-03-01,2020,"Mar","Thoracic Medicine",557,144,1722
"Belfast",2020-03-01,2020,"Mar","Thoracic Surgery",237,168,381
"Belfast",2020-03-01,2020,"Mar","Urology",4010,2500,6330
"Belfast",2020-09-01,2020,"Sep","Cardiac Surgery",83,0,262
"Belfast",2020-09-01,2020,"Sep","Cardiology",2374,645,3922
"Belfast",2020-09-01,2020,"Sep","Chemical Pathology",7,2,7
"Belfast",2020-09-01,2020,"Sep","Clinical Genetics",566,197,794
"Belfast",2020-09-01,2020,"Sep","Clinical Oncology",0,0,105
"Belfast",2020-09-01,2020,"Sep","Dental Medicine Specialties",805,175,1047
"Belfast",2020-09-01,2020,"Sep","Dermatology",4893,3129,6551
"Belfast",2020-09-01,2020,"Sep","ENT",13579,9711,14876
"Belfast",2020-09-01,2020,"Sep","Endocrinology",319,126,794
"Belfast",2020-09-01,2020,"Sep","Gastroenterology",4147,2070,6149
"Belfast",2020-09-01,2020,"Sep","General Medicine",3926,3394,4429
"Belfast",2020-09-01,2020,"Sep","General Surgery",11025,6585,14283
"Belfast",2020-09-01,2020,"Sep","Geriatric Medicine",131,9,339
"Belfast",2020-09-01,2020,"Sep","Gynaecology",6262,3039,8423
"Belfast",2020-09-01,2020,"Sep","Haematology (Clinical)",42,10,150
"Belfast",2020-09-01,2020,"Sep","Infectious Diseases",143,86,174
"Belfast",2020-09-01,2020,"Sep","Learning Disability",17,0,49
"Belfast",2020-09-01,2020,"Sep","Medical Oncology",3,2,71
"Belfast",2020-09-01,2020,"Sep","Nephrology",112,8,388
"Belfast",2020-09-01,2020,"Sep","Neurology",4688,2693,6106
"Belfast",2020-09-01,2020,"Sep","Neurosurgery",711,231,1089
"Belfast",2020-09-01,2020,"Sep","Old Age Psychiatry",48,0,346
"Belfast",2020-09-01,2020,"Sep","Ophthalmology",24159,17059,28725
"Belfast",2020-09-01,2020,"Sep","Oral Surgery",442,3,614
"Belfast",2020-09-01,2020,"Sep","Orthodontics",138,0,176
"Belfast",2020-09-01,2020,"Sep","Paediatric Dentistry",612,189,692
"Belfast",2020-09-01,2020,"Sep","Paediatric Neurology",111,10,220
"Belfast",2020-09-01,2020,"Sep","Paediatric Surgery",861,373,1385
"Belfast",2020-09-01,2020,"Sep","Paediatrics",5599,2544,7304
"Belfast",2020-09-01,2020,"Sep","Pain Management",1759,1295,1993
"Belfast",2020-09-01,2020,"Sep","Palliative Medicine",0,0,7
"Belfast",2020-09-01,2020,"Sep","Plastic Surgery",1415,972,1605
"Belfast",2020-09-01,2020,"Sep","Radiology",84,35,143
"Belfast",2020-09-01,2020,"Sep","Rehabilitation",31,18,55
"Belfast",2020-09-01,2020,"Sep","Restorative Dentistry",1369,514,1502
"Belfast",2020-09-01,2020,"Sep","Rheumatology",4545,3841,5126
"Belfast",2020-09-01,2020,"Sep","T & O Surgery",20580,12568,24832
"Belfast",2020-09-01,2020,"Sep","Thoracic Medicine",1381,234,2049
"Belfast",2020-09-01,2020,"Sep","Thoracic Surgery",288,213,392
"Belfast",2020-09-01,2020,"Sep","Urology",5188,3346,7033
"Belfast",2021-12-01,2021,"Dec","Anaesthetics",1,0,1
"Belfast",2021-12-01,2021,"Dec","Cardiac Surgery",127,30,436
"Belfast",2021-12-01,2021,"Dec","Cardiology",2084,833,4033
"Belfast",2021-12-01,2021,"Dec","Chemical Pathology",7,4,11
"Belfast",2021-12-01,2021,"Dec","Clinical Genetics",11,0,320
"Belfast",2021-12-01,2021,"Dec","Clinical Neuro-Physiology",1,1,6
"Belfast",2021-12-01,2021,"Dec","Clinical Oncology",0,0,205
"Belfast",2021-12-01,2021,"Dec","Dental Medicine Specialties",283,4,680
"Belfast",2021-12-01,2021,"Dec","Dermatology",6612,4240,8501
"Belfast",2021-12-01,2021,"Dec","ENT",11049,9172,12996
"Belfast",2021-12-01,2021,"Dec","Endocrinology",757,265,1493
"Belfast",2021-12-01,2021,"Dec","Gastroenterology",5058,3302,7478
"Belfast",2021-12-01,2021,"Dec","General Medicine",3785,3138,4375
"Belfast",2021-12-01,2021,"Dec","General Surgery",13000,9493,16590
"Belfast",2021-12-01,2021,"Dec","Geriatric Medicine",57,14,416
"Belfast",2021-12-01,2021,"Dec","Gynaecology",3942,1748,6691
"Belfast",2021-12-01,2021,"Dec","Haematology (Clinical)",15,3,178
"Belfast",2021-12-01,2021,"Dec","Infectious Diseases",92,61,124
"Belfast",2021-12-01,2021,"Dec","Learning Disability",0,0,24
"Belfast",2021-12-01,2021,"Dec","Medical Oncology",2,2,78
"Belfast",2021-12-01,2021,"Dec","Nephrology",133,32,379
"Belfast",2021-12-01,2021,"Dec","Neurology",6196,4446,7230
"Belfast",2021-12-01,2021,"Dec","Neurosurgery",705,370,1104
"Belfast",2021-12-01,2021,"Dec","Old Age Psychiatry",1,0,118
"Belfast",2021-12-01,2021,"Dec","Ophthalmology",15094,11007,20514
"Belfast",2021-12-01,2021,"Dec","Oral Surgery",55,31,408
"Belfast",2021-12-01,2021,"Dec","Orthodontics",230,57,322
"Belfast",2021-12-01,2021,"Dec","Paediatric Dentistry",166,19,447
"Belfast",2021-12-01,2021,"Dec","Paediatric Neurology",77,8,252
"Belfast",2021-12-01,2021,"Dec","Paediatric Surgery",1198,559,1785
"Belfast",2021-12-01,2021,"Dec","Paediatrics",7097,4729,9731
"Belfast",2021-12-01,2021,"Dec","Pain Management",891,424,1199
"Belfast",2021-12-01,2021,"Dec","Palliative Medicine",1,0,4
"Belfast",2021-12-01,2021,"Dec","Plastic Surgery",1425,1118,1701
"Belfast",2021-12-01,2021,"Dec","Radiology",45,34,90
"Belfast",2021-12-01,2021,"Dec","Rehabilitation",49,32,79
"Belfast",2021-12-01,2021,"Dec","Restorative Dentistry",926,661,1305
"Belfast",2021-12-01,2021,"Dec","Rheumatology",4719,4116,5262
"Belfast",2021-12-01,2021,"Dec","T & O Surgery",21404,15756,26978
"Belfast",2021-12-01,2021,"Dec","Thoracic Medicine",1322,743,2126
"Belfast",2021-12-01,2021,"Dec","Thoracic Surgery",318,272,452
"Belfast",2021-12-01,2021,"Dec","Urology",5271,4203,7040
"Belfast",2021-06-01,2021,"Jun","Anaesthetics",0,0,1
"Belfast",2021-06-01,2021,"Jun","Cardiac Surgery",84,17,318
"Belfast",2021-06-01,2021,"Jun","Cardiology",1834,658,3812
"Belfast",2021-06-01,2021,"Jun","Chemical Pathology",6,4,10
"Belfast",2021-06-01,2021,"Jun","Clinical Genetics",8,0,314
"Belfast",2021-06-01,2021,"Jun","Clinical Oncology",0,0,158
"Belfast",2021-06-01,2021,"Jun","Dental Medicine Specialties",569,321,842
"Belfast",2021-06-01,2021,"Jun","Dermatology",6016,4081,8119
"Belfast",2021-06-01,2021,"Jun","ENT",12036,10590,13953
"Belfast",2021-06-01,2021,"Jun","Endocrinology",454,189,1133
"Belfast",2021-06-01,2021,"Jun","Gastroenterology",4307,2907,6909
"Belfast",2021-06-01,2021,"Jun","General Medicine",3673,3149,4308
"Belfast",2021-06-01,2021,"Jun","General Surgery",12241,9163,16529
"Belfast",2021-06-01,2021,"Jun","Geriatric Medicine",49,9,443
