"lhb22_code","lhb22_name","date","delay_reason","delay_count"
"W11000031","Swansea Bay University Health Board",2023-08-01,"No suitable abode",7
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting completion of assessment by social care",40
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting NH availability",8
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting reablement care package",5
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting Social worker allocation",10
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting provision of telecare and /or telehealth equipment",1
"W11000031","Swansea Bay University Health Board",2023-08-01,"Patient / family refusing to move to next stage of care/ discharge",3
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting palliative care POC",1
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting reablement care package",9
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting completion of assessment Nursing",7
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting specialist bed availability",2
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting EMI residential availability",2
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting funding decision FNC/CHC",5
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting completion of arrangements prior to placement",3
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting EMI residential availability",2
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting extra care/supported living availability",2
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting Residential care home manager to visit and assess (Standard 3 residential)",1
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting funding decision",1
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting joint funding decision",2
"W11000025","Hywel Dda University Health Board",2023-08-01,"Homeless",2
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting completion of arrangements prior to placement",13
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting Continuing Healthcare (CHC) Assessment",1
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting social care completion of assessment/provision for equipment",3
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting Continuing Healthcare (CHC) Assessment",9
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting completion of adaptations (DFG's)",2
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting nursing/residential home self-funding",1
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting Continuing Healthcare (CHC) Assessment",5
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting completion of assessment Nursing",29
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting NH availability",17
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting return to existing care home placement",1
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting Social worker allocation",13
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting start of new home care package",39
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting transfer to intermediate care bedded facility",37
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting nursing/residential home self-funding",1
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting provision of medicines management dispensing equipment/support",2
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Mental Capacity / Court of Protection delays",12
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting EMI residential availability",6
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting joint assessment",24
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting completion of assessment Nursing",29
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting health completion of assessment/provision for equipment",5
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting Continuing Healthcare (CHC) Assessment",7
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"No suitable abode",5
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting EMI nursing availability",17
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting social care completion of assessment/provision for equipment",1
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Patient / family refusing to move to next stage of care/ discharge",2
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting palliative care specialist bed",1
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting Residential care home manager to visit and assess (Standard 3 residential)",6
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting completion of arrangements prior to placement",5
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting completion of assessment by social care",34
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting Community Resource capacity",3
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Patient / family choice related issues",2
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Homeless",3
"W11000025","Hywel Dda University Health Board",2023-08-01,"Safeguarding issues impacting discharge arrangements",2
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting Community Resource capacity",1
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",8
"W11000025","Hywel Dda University Health Board",2023-08-01,"Patient / family refusing to move to next stage of care/ discharge",1
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting restart of previous home care package",4
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting palliative care home",1
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting reablement care package",3
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting RH availability",8
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting specialist bed availability",2
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting funding decision FNC/CHC",3
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting hospital arranged transport",1
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Awaiting extra care/supported living availability",1
"W11000030","Cwm Taf Morgannwg University Health Board",2023-08-01,"Safeguarding issues impacting discharge arrangements",1
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting EMI nursing availability",2
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting NH availability",10
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting joint assessment",8
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting social care completion of assessment/provision for equipment",1
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting completion of assessment by social care",16
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting EMI residential availability",3
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting completion of assessment Nursing",6
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting funding decision",1
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting Social worker allocation",6
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting Residential care home manager to visit and assess (Standard 3 residential)",5
"W11000025","Hywel Dda University Health Board",2023-08-01,"No suitable abode",3
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting start of new home care package",4
"W11000025","Hywel Dda University Health Board",2023-08-01,"Patient / family choice related issues",2
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting funding decision FNC/CHC",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting joint assessment",15
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting nursing/residential home self-funding",1
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",1
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting transfer to intermediate care bedded facility",4
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Mental Capacity / Court of Protection delays",6
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"No suitable abode",11
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting EMI nursing availability",3
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Patient / family refusing to move to next stage of care/ discharge",10
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Patient / family choice related issues",3
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting specialist bed availability",1
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting Continuing Healthcare (CHC) Assessment",5
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting nursing/residential home self-funding",5
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting completion of arrangements prior to placement",21
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting completion of assessment by social care",33
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting funding decision",1
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting start of new home care package",10
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Homeless",6
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",4
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting Social worker allocation",15
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting completion of assessment Nursing",10
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting provision of medicines management dispensing equipment/support",1
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting NH availability",5
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting reablement care package",2
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting health completion of assessment/provision for equipment",1
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Safeguarding issues impacting discharge arrangements",1
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting RH availability",1
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting Domiciliary care package self-funding",1
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting joint assessment",3
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting Residential care home manager to visit and assess (Standard 3 residential)",1
"W11000029","Cardiff and Vale University Health Board",2023-08-01,"Awaiting restart of previous home care package",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting integrated health /social care community provision",3
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting specialist bed availability",4
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting CHC new package of care",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Mental Capacity / Court of Protection delays",5
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting nursing/residential home self-funding",10
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting EMI nursing availability",1
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting Residential care home manager to visit and assess (Standard 3 residential)",2
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Disputes between agencies",2
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting reablement care package",21
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting NH availability",2
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting RH availability",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting completion of arrangements prior to placement",13
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting social care completion of assessment/provision for equipment",2
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Intervention by patient's legal representation",4
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting completion of assessment Nursing",19
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting Continuing Healthcare (CHC) Assessment",16
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting Social worker allocation",18
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting restart of previous home care package",8
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting transfer to intermediate care bedded facility",7
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting completion of assessment by social care",15
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",9
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Patient/ family dispute CHC outcome",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting start of new home care package",24
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting hospital arranged transport",4
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Homeless",6
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting Mental Health bed",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Patient / family choice related issues",9
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting funding decision",3
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting Domiciliary care package self-funding",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting Residential care home manager to visit and assess (Standard 3 residential)",5
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"No suitable abode",3
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting health completion of assessment/provision for equipment",3
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting funding decision FNC/CHC",4
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Patient / family refusing to move to next stage of care/ discharge",5
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting Community Resource capacity",1
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting EMI nursing availability",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting provision of medicines management dispensing equipment/support",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting EMI residential availability",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting extra care/supported living availability",1
"W11000028","Aneurin Bevan University Health Board",2023-08-01,"Awaiting Community Resource capacity",3
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting transfer to intermediate care bedded facility",2
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",1
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting funding decision FNC/CHC",1
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting Mental Health bed",3
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting reablement care package",11
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting restart of previous home care package",1
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting restart of previous home care package",1
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting funding decision",1
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting Continuing Healthcare (CHC) Assessment",3
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting nursing/residential home self-funding",2
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting Community Resource capacity",1
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting provision of medicines management dispensing equipment/support",1
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting specialist bed availability",3
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Patient / family choice related issues",1
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting Learning Disability bed",1
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting transfer to intermediate care bedded facility",1
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting Domiciliary care package self-funding",2
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting community based health provision D/N CPN",2
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting RH availability",1
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting provision of telecare and /or telehealth equipment",2
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting Learning Disability bed",1
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting specialist bed availability",4
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting joint funding decision",4
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting NH availability",3
"W11000031","Swansea Bay University Health Board",2023-05-01,"Patient / family choice related issues",6
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting completion of arrangements prior to placement",7
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting start of new home care package",26
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting completion of assessment by social care",39
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting integrated health /social care community provision",2
"W11000031","Swansea Bay University Health Board",2023-05-01,"Patient / family refusing to move to next stage of care/ discharge",3
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting completion of assessment Nursing",31
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting joint assessment",23
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting RH availability",12
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting completion of assessment by social care",59
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting health completion of assessment/provision for equipment",2
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting transfer to intermediate care bedded facility",5
"W11000031","Swansea Bay University Health Board",2023-05-01,"No suitable abode",5
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting EMI nursing availability",5
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting reablement care package",9
"W11000024","Powys Teaching Health Board",2023-05-01,"Awaiting start of new home care package",8
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting completion of arrangements prior to placement",33
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting palliative care specialist bed",1
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",7
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting provision of telecare and /or telehealth equipment",1
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting Social worker allocation",25
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting funding decision FNC/CHC",5
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting nursing/residential home self-funding",1
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting NH availability",4
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting funding decision",3
"W11000031","Swansea Bay University Health Board",2023-05-01,"Mental Capacity / Court of Protection delays",6
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting completion of adaptations (DFG's)",1
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting community based health provision D/N CPN",1
"W11000031","Swansea Bay University Health Board",2023-05-01,"Safeguarding issues impacting discharge arrangements",2
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"No suitable abode",14
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting completion of adaptations (DFG's)",1
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting Mental Health bed",3
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting Residential care home manager to visit and assess (Standard 3 residential)",3
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting EMI residential availability",2
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting social care completion of assessment/provision for equipment",1
"W11000024","Powys Teaching Health Board",2023-05-01,"Awaiting RH availability",3
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting Social worker allocation",54
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting funding decision",2
"W11000031","Swansea Bay University Health Board",2023-05-01,"Disputes between agencies",2
"W11000031","Swansea Bay University Health Board",2023-05-01,"Homeless",1
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting joint assessment",3
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting extra care/supported living availability",2
"W11000024","Powys Teaching Health Board",2023-05-01,"Awaiting Continuing Healthcare (CHC) Assessment",14
"W11000031","Swansea Bay University Health Board",2023-05-01,"Awaiting Continuing Healthcare (CHC) Assessment",1
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting Continuing Healthcare (CHC) Assessment",6
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting EMI residential availability",8
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting Social worker allocation",12
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Patient / family refusing to move to next stage of care/ discharge",1
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting joint assessment",52
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting completion of arrangements prior to placement",16
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting Domiciliary care package self-funding",1
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"No suitable abode",5
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting completion of assessment Nursing",52
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting specialist bed availability",2
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting completion of assessment by social care",9
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting RH availability",15
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting Residential care home manager to visit and assess (Standard 3 residential)",4
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting EMI nursing availability",9
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting Continuing Healthcare (CHC) Assessment",5
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting funding decision FNC/CHC",2
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting NH availability",27
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting start of new home care package",29
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting transfer to intermediate care bedded facility",2
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting restart of previous home care package",3
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting reablement care package",6
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Homeless",3
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting health completion of assessment/provision for equipment",8
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting palliative care home",2
"W11000024","Powys Teaching Health Board",2023-05-01,"Awaiting funding decision FNC/CHC",3
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting funding decision",4
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting Mental Health bed",2
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",4
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting extra care/supported living availability",2
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Patient / family choice related issues",2
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting community based health provision D/N CPN",3
"W11000024","Powys Teaching Health Board",2023-05-01,"Awaiting completion of assessment Nursing",3
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Patient / family choice related issues",1
"W11000023","Betsi Cadwaladr University Health Board",2023-05-01,"Awaiting joint funding decision",1
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting completion of assessment Nursing",1
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Homeless",3
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",5
"W11000024","Powys Teaching Health Board",2023-05-01,"Awaiting completion of assessment by social care",9
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting joint funding decision",1
"W11000024","Powys Teaching Health Board",2023-05-01,"Awaiting funding decision",5
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Awaiting restart of previous home care package",1
"W11000024","Powys Teaching Health Board",2023-05-01,"Awaiting health completion of assessment/provision for equipment",1
"W11000029","Cardiff and Vale University Health Board",2023-05-01,"Patient / family refusing to move to next stage of care/ discharge",1
