"ltla_code","date","age_group","delay_reason","num_delayed_bed_days","average_daily_delayed_beds"
"S12000008",2016-07-01,"75plus","Health and Social Care Reasons",128,4
"S12000008",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000008",2016-07-01,"75plus","Code 9 AWI",166,5
"S12000008",2016-07-01,"75plus","Code 9 Non-AWI",117,4
"S12000010",2016-07-01,"18plus","All Delay Reasons",1358,44
"S12000010",2016-07-01,"18plus","Health and Social Care Reasons",1284,41
"S12000010",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000010",2016-07-01,"18plus","Code 9 AWI",43,1
"S12000010",2016-07-01,"18plus","Code 9 Non-AWI",31,1
"S12000010",2016-07-01,"18-74","All Delay Reasons",369,12
"S12000010",2016-07-01,"18-74","Health and Social Care Reasons",301,10
"S12000010",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000010",2016-07-01,"18-74","Code 9 AWI",37,1
"S12000010",2016-07-01,"18-74","Code 9 Non-AWI",31,1
"S12000010",2016-07-01,"75plus","All Delay Reasons",989,32
"S12000010",2016-07-01,"75plus","Health and Social Care Reasons",983,32
"S12000010",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000010",2016-07-01,"75plus","Code 9 AWI",6,0
"S12000010",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000011",2016-07-01,"18plus","All Delay Reasons",105,3
"S12000011",2016-07-01,"18plus","Health and Social Care Reasons",73,2
"S12000011",2016-07-01,"18plus","Patient and Family Related Reasons",1,0
"S12000011",2016-07-01,"18plus","Code 9 AWI",31,1
"S12000011",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S12000011",2016-07-01,"18-74","All Delay Reasons",15,0
"S12000011",2016-07-01,"18-74","Health and Social Care Reasons",14,0
"S12000011",2016-07-01,"18-74","Patient and Family Related Reasons",1,0
"S12000011",2016-07-01,"18-74","Code 9 AWI",0,0
"S12000011",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S12000011",2016-07-01,"75plus","All Delay Reasons",90,3
"S12000011",2016-07-01,"75plus","Health and Social Care Reasons",59,2
"S12000011",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000011",2016-07-01,"75plus","Code 9 AWI",31,1
"S12000011",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000013",2016-07-01,"18plus","All Delay Reasons",721,23
"S12000013",2016-07-01,"18plus","Health and Social Care Reasons",167,5
"S12000013",2016-07-01,"18plus","Patient and Family Related Reasons",24,1
"S12000013",2016-07-01,"18plus","Code 9 AWI",62,2
"S12000013",2016-07-01,"18plus","Code 9 Non-AWI",468,15
"S12000013",2016-07-01,"18-74","All Delay Reasons",93,3
"S12000013",2016-07-01,"18-74","Health and Social Care Reasons",62,2
"S12000013",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000013",2016-07-01,"18-74","Code 9 AWI",0,0
"S12000013",2016-07-01,"18-74","Code 9 Non-AWI",31,1
"S12000013",2016-07-01,"75plus","All Delay Reasons",628,20
"S12000013",2016-07-01,"75plus","Health and Social Care Reasons",105,3
"S12000013",2016-07-01,"75plus","Patient and Family Related Reasons",24,1
"S12000013",2016-07-01,"75plus","Code 9 AWI",62,2
"S12000013",2016-07-01,"75plus","Code 9 Non-AWI",437,14
"S12000014",2016-07-01,"18plus","All Delay Reasons",1525,49
"S12000014",2016-07-01,"18plus","Health and Social Care Reasons",1090,35
"S12000014",2016-07-01,"18plus","Patient and Family Related Reasons",179,6
"S12000014",2016-07-01,"18plus","Code 9 AWI",194,6
"S12000014",2016-07-01,"18plus","Code 9 Non-AWI",62,2
"S12000014",2016-07-01,"18-74","All Delay Reasons",495,16
"S12000014",2016-07-01,"18-74","Health and Social Care Reasons",402,13
"S12000014",2016-07-01,"18-74","Patient and Family Related Reasons",31,1
"S12000014",2016-07-01,"18-74","Code 9 AWI",31,1
"S12000014",2016-07-01,"18-74","Code 9 Non-AWI",31,1
"S12000014",2016-07-01,"75plus","All Delay Reasons",1030,33
"S12000014",2016-07-01,"75plus","Health and Social Care Reasons",688,22
"S12000014",2016-07-01,"75plus","Patient and Family Related Reasons",148,5
"S12000014",2016-07-01,"75plus","Code 9 AWI",163,5
"S12000014",2016-07-01,"75plus","Code 9 Non-AWI",31,1
"S12000017",2016-07-01,"18plus","All Delay Reasons",3812,123
"S12000017",2016-07-01,"18plus","Health and Social Care Reasons",2165,70
"S12000017",2016-07-01,"18plus","Patient and Family Related Reasons",477,15
"S12000017",2016-07-01,"18plus","Code 9 AWI",444,14
"S12000017",2016-07-01,"18plus","Code 9 Non-AWI",726,23
"S12000017",2016-07-01,"18-74","All Delay Reasons",869,28
"S12000017",2016-07-01,"18-74","Health and Social Care Reasons",507,16
"S12000017",2016-07-01,"18-74","Patient and Family Related Reasons",12,0
"S12000017",2016-07-01,"18-74","Code 9 AWI",31,1
"S12000017",2016-07-01,"18-74","Code 9 Non-AWI",319,10
"S12000017",2016-07-01,"75plus","All Delay Reasons",2943,95
"S12000017",2016-07-01,"75plus","Health and Social Care Reasons",1658,53
"S12000017",2016-07-01,"75plus","Patient and Family Related Reasons",465,15
"S12000017",2016-07-01,"75plus","Code 9 AWI",413,13
"S12000017",2016-07-01,"75plus","Code 9 Non-AWI",407,13
"S12000018",2016-07-01,"18plus","All Delay Reasons",304,10
"S12000018",2016-07-01,"18plus","Health and Social Care Reasons",242,8
"S12000018",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000018",2016-07-01,"18plus","Code 9 AWI",0,0
"S12000018",2016-07-01,"18plus","Code 9 Non-AWI",62,2
"S12000018",2016-07-01,"18-74","All Delay Reasons",95,3
"S12000018",2016-07-01,"18-74","Health and Social Care Reasons",33,1
"S12000018",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000018",2016-07-01,"18-74","Code 9 AWI",0,0
"S12000018",2016-07-01,"18-74","Code 9 Non-AWI",62,2
"S12000018",2016-07-01,"75plus","All Delay Reasons",209,7
"S12000018",2016-07-01,"75plus","Health and Social Care Reasons",209,7
"S12000018",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000018",2016-07-01,"75plus","Code 9 AWI",0,0
"S12000018",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000019",2016-07-01,"18plus","All Delay Reasons",957,31
"S12000019",2016-07-01,"18plus","Health and Social Care Reasons",740,24
"S12000019",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000019",2016-07-01,"18plus","Code 9 AWI",124,4
"S12000019",2016-07-01,"18plus","Code 9 Non-AWI",93,3
"S12000019",2016-07-01,"18-74","All Delay Reasons",317,10
"S12000019",2016-07-01,"18-74","Health and Social Care Reasons",224,7
"S12000019",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000019",2016-07-01,"18-74","Code 9 AWI",62,2
"S12000019",2016-07-01,"18-74","Code 9 Non-AWI",31,1
"S12000019",2016-07-01,"75plus","All Delay Reasons",640,21
"S12000019",2016-07-01,"75plus","Health and Social Care Reasons",516,17
"S12000019",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000019",2016-07-01,"75plus","Code 9 AWI",62,2
"S12000019",2016-07-01,"75plus","Code 9 Non-AWI",62,2
"S12000020",2016-07-01,"18plus","All Delay Reasons",1056,34
"S12000020",2016-07-01,"18plus","Health and Social Care Reasons",777,25
"S12000020",2016-07-01,"18plus","Patient and Family Related Reasons",11,0
"S12000020",2016-07-01,"18plus","Code 9 AWI",262,8
"S12000020",2016-07-01,"18plus","Code 9 Non-AWI",6,0
"S12000020",2016-07-01,"18-74","All Delay Reasons",292,9
"S12000020",2016-07-01,"18-74","Health and Social Care Reasons",272,9
"S12000020",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000020",2016-07-01,"18-74","Code 9 AWI",14,0
"S12000020",2016-07-01,"18-74","Code 9 Non-AWI",6,0
"S12000020",2016-07-01,"75plus","All Delay Reasons",764,25
"S12000020",2016-07-01,"75plus","Health and Social Care Reasons",505,16
"S12000020",2016-07-01,"75plus","Patient and Family Related Reasons",11,0
"S12000020",2016-07-01,"75plus","Code 9 AWI",248,8
"S12000020",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000021",2016-07-01,"18plus","All Delay Reasons",531,17
"S12000021",2016-07-01,"18plus","Health and Social Care Reasons",411,13
"S12000021",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000021",2016-07-01,"18plus","Code 9 AWI",120,4
"S12000021",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S12000021",2016-07-01,"18-74","All Delay Reasons",69,2
"S12000021",2016-07-01,"18-74","Health and Social Care Reasons",69,2
"S12000021",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000021",2016-07-01,"18-74","Code 9 AWI",0,0
"S12000021",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S12000021",2016-07-01,"75plus","All Delay Reasons",462,15
"S12000021",2016-07-01,"75plus","Health and Social Care Reasons",342,11
"S12000021",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000021",2016-07-01,"75plus","Code 9 AWI",120,4
"S12000021",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000023",2016-07-01,"18plus","All Delay Reasons",209,7
"S12000023",2016-07-01,"18plus","Health and Social Care Reasons",113,4
"S12000023",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000023",2016-07-01,"18plus","Code 9 AWI",96,3
"S12000023",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S12000023",2016-07-01,"18-74","All Delay Reasons",82,3
"S12000023",2016-07-01,"18-74","Health and Social Care Reasons",51,2
"S12000023",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000023",2016-07-01,"18-74","Code 9 AWI",31,1
"S12000023",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S12000023",2016-07-01,"75plus","All Delay Reasons",127,4
"S12000023",2016-07-01,"75plus","Health and Social Care Reasons",62,2
"S12000023",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000023",2016-07-01,"75plus","Code 9 AWI",65,2
"S12000023",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000026",2016-07-01,"18plus","All Delay Reasons",862,28
"S12000026",2016-07-01,"18plus","Health and Social Care Reasons",620,20
"S12000026",2016-07-01,"18plus","Patient and Family Related Reasons",90,3
"S12000026",2016-07-01,"18plus","Code 9 AWI",75,2
"S12000026",2016-07-01,"18plus","Code 9 Non-AWI",77,2
"S12000026",2016-07-01,"18-74","All Delay Reasons",227,7
"S12000026",2016-07-01,"18-74","Health and Social Care Reasons",139,4
"S12000026",2016-07-01,"18-74","Patient and Family Related Reasons",25,1
"S12000026",2016-07-01,"18-74","Code 9 AWI",0,0
"S12000026",2016-07-01,"18-74","Code 9 Non-AWI",63,2
"S12000026",2016-07-01,"75plus","All Delay Reasons",635,20
"S12000026",2016-07-01,"75plus","Health and Social Care Reasons",481,16
"S12000026",2016-07-01,"75plus","Patient and Family Related Reasons",65,2
"S12000026",2016-07-01,"75plus","Code 9 AWI",75,2
"S12000026",2016-07-01,"75plus","Code 9 Non-AWI",14,0
"S12000027",2016-07-01,"18plus","All Delay Reasons",196,6
"S12000027",2016-07-01,"18plus","Health and Social Care Reasons",196,6
"S12000027",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000027",2016-07-01,"18plus","Code 9 AWI",0,0
"S12000027",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S12000027",2016-07-01,"18-74","All Delay Reasons",34,1
"S12000027",2016-07-01,"18-74","Health and Social Care Reasons",34,1
"S12000027",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000027",2016-07-01,"18-74","Code 9 AWI",0,0
"S12000027",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S12000027",2016-07-01,"75plus","All Delay Reasons",162,5
"S12000027",2016-07-01,"75plus","Health and Social Care Reasons",162,5
"S12000027",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000027",2016-07-01,"75plus","Code 9 AWI",0,0
"S12000027",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000028",2016-07-01,"18plus","All Delay Reasons",1629,53
"S12000028",2016-07-01,"18plus","Health and Social Care Reasons",1505,49
"S12000028",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000028",2016-07-01,"18plus","Code 9 AWI",124,4
"S12000028",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S12000028",2016-07-01,"18-74","All Delay Reasons",232,7
"S12000028",2016-07-01,"18-74","Health and Social Care Reasons",170,5
"S12000028",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000028",2016-07-01,"18-74","Code 9 AWI",62,2
"S12000028",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S12000028",2016-07-01,"75plus","All Delay Reasons",1397,45
"S12000028",2016-07-01,"75plus","Health and Social Care Reasons",1335,43
"S12000028",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000028",2016-07-01,"75plus","Code 9 AWI",62,2
"S12000028",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000029",2016-07-01,"18plus","All Delay Reasons",3556,115
"S12000029",2016-07-01,"18plus","Health and Social Care Reasons",2811,91
"S12000029",2016-07-01,"18plus","Patient and Family Related Reasons",345,11
"S12000029",2016-07-01,"18plus","Code 9 AWI",338,11
"S12000029",2016-07-01,"18plus","Code 9 Non-AWI",62,2
"S12000029",2016-07-01,"18-74","All Delay Reasons",667,22
"S12000029",2016-07-01,"18-74","Health and Social Care Reasons",554,18
"S12000029",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000029",2016-07-01,"18-74","Code 9 AWI",82,3
"S12000029",2016-07-01,"18-74","Code 9 Non-AWI",31,1
"S12000029",2016-07-01,"75plus","All Delay Reasons",2889,93
"S12000029",2016-07-01,"75plus","Health and Social Care Reasons",2257,73
"S12000029",2016-07-01,"75plus","Patient and Family Related Reasons",345,11
"S12000029",2016-07-01,"75plus","Code 9 AWI",256,8
"S12000029",2016-07-01,"75plus","Code 9 Non-AWI",31,1
"S12000030",2016-07-01,"18plus","All Delay Reasons",712,23
"S12000030",2016-07-01,"18plus","Health and Social Care Reasons",499,16
"S12000030",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000030",2016-07-01,"18plus","Code 9 AWI",146,5
"S12000030",2016-07-01,"18plus","Code 9 Non-AWI",67,2
"S12000030",2016-07-01,"18-74","All Delay Reasons",293,9
"S12000030",2016-07-01,"18-74","Health and Social Care Reasons",200,6
"S12000030",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000030",2016-07-01,"18-74","Code 9 AWI",31,1
"S12000030",2016-07-01,"18-74","Code 9 Non-AWI",62,2
"S12000030",2016-07-01,"75plus","All Delay Reasons",419,14
"S12000030",2016-07-01,"75plus","Health and Social Care Reasons",299,10
"S12000030",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000030",2016-07-01,"75plus","Code 9 AWI",115,4
"S12000030",2016-07-01,"75plus","Code 9 Non-AWI",5,0
"S12000033",2016-07-01,"18plus","All Delay Reasons",2557,82
"S12000033",2016-07-01,"18plus","Health and Social Care Reasons",2164,70
"S12000033",2016-07-01,"18plus","Patient and Family Related Reasons",11,0
"S12000033",2016-07-01,"18plus","Code 9 AWI",248,8
"S12000033",2016-07-01,"18plus","Code 9 Non-AWI",134,4
"S12000033",2016-07-01,"18-74","All Delay Reasons",759,24
"S12000033",2016-07-01,"18-74","Health and Social Care Reasons",529,17
"S12000033",2016-07-01,"18-74","Patient and Family Related Reasons",11,0
"S12000033",2016-07-01,"18-74","Code 9 AWI",124,4
"S12000033",2016-07-01,"18-74","Code 9 Non-AWI",95,3
"S12000033",2016-07-01,"75plus","All Delay Reasons",1798,58
"S12000033",2016-07-01,"75plus","Health and Social Care Reasons",1635,53
"S12000033",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000033",2016-07-01,"75plus","Code 9 AWI",124,4
"S12000033",2016-07-01,"75plus","Code 9 Non-AWI",39,1
"S12000034",2016-07-01,"18plus","All Delay Reasons",1463,47
"S12000034",2016-07-01,"18plus","Health and Social Care Reasons",1066,34
"S12000034",2016-07-01,"18plus","Patient and Family Related Reasons",72,2
"S12000034",2016-07-01,"18plus","Code 9 AWI",220,7
"S12000034",2016-07-01,"18plus","Code 9 Non-AWI",105,3
"S12000034",2016-07-01,"18-74","All Delay Reasons",378,12
"S12000034",2016-07-01,"18-74","Health and Social Care Reasons",213,7
"S12000034",2016-07-01,"18-74","Patient and Family Related Reasons",29,1
"S12000034",2016-07-01,"18-74","Code 9 AWI",62,2
"S12000034",2016-07-01,"18-74","Code 9 Non-AWI",74,2
"S12000034",2016-07-01,"75plus","All Delay Reasons",1085,35
"S12000034",2016-07-01,"75plus","Health and Social Care Reasons",853,28
"S12000034",2016-07-01,"75plus","Patient and Family Related Reasons",43,1
"S12000034",2016-07-01,"75plus","Code 9 AWI",158,5
"S12000034",2016-07-01,"75plus","Code 9 Non-AWI",31,1
"S12000035",2016-07-01,"18plus","All Delay Reasons",512,17
"S12000035",2016-07-01,"18plus","Health and Social Care Reasons",419,14
"S12000035",2016-07-01,"18plus","Patient and Family Related Reasons",62,2
"S12000035",2016-07-01,"18plus","Code 9 AWI",31,1
"S12000035",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S12000035",2016-07-01,"18-74","All Delay Reasons",127,4
"S12000035",2016-07-01,"18-74","Health and Social Care Reasons",122,4
"S12000035",2016-07-01,"18-74","Patient and Family Related Reasons",5,0
"S12000035",2016-07-01,"18-74","Code 9 AWI",0,0
"S12000035",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S12000035",2016-07-01,"75plus","All Delay Reasons",385,12
"S12000035",2016-07-01,"75plus","Health and Social Care Reasons",297,10
"S12000035",2016-07-01,"75plus","Patient and Family Related Reasons",57,2
"S12000035",2016-07-01,"75plus","Code 9 AWI",31,1
"S12000035",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000036",2016-07-01,"18plus","All Delay Reasons",5875,190
"S12000036",2016-07-01,"18plus","Health and Social Care Reasons",5081,164
"S12000036",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000036",2016-07-01,"18plus","Code 9 AWI",705,23
"S12000036",2016-07-01,"18plus","Code 9 Non-AWI",89,3
"S12000036",2016-07-01,"18-74","All Delay Reasons",1862,60
"S12000036",2016-07-01,"18-74","Health and Social Care Reasons",1562,50
"S12000036",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000036",2016-07-01,"18-74","Code 9 AWI",230,7
"S12000036",2016-07-01,"18-74","Code 9 Non-AWI",70,2
"S12000036",2016-07-01,"75plus","All Delay Reasons",4013,129
"S12000036",2016-07-01,"75plus","Health and Social Care Reasons",3519,114
"S12000036",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000036",2016-07-01,"75plus","Code 9 AWI",475,15
"S12000036",2016-07-01,"75plus","Code 9 Non-AWI",19,1
"S12000038",2016-07-01,"18plus","All Delay Reasons",215,7
"S12000038",2016-07-01,"18plus","Health and Social Care Reasons",138,4
"S12000038",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000038",2016-07-01,"18plus","Code 9 AWI",21,1
"S12000038",2016-07-01,"18plus","Code 9 Non-AWI",56,2
"S12000038",2016-07-01,"18-74","All Delay Reasons",97,3
"S12000038",2016-07-01,"18-74","Health and Social Care Reasons",30,1
"S12000038",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000038",2016-07-01,"18-74","Code 9 AWI",11,0
"S12000038",2016-07-01,"18-74","Code 9 Non-AWI",56,2
"S12000038",2016-07-01,"75plus","All Delay Reasons",118,4
"S12000038",2016-07-01,"75plus","Health and Social Care Reasons",108,3
"S12000038",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000038",2016-07-01,"75plus","Code 9 AWI",10,0
"S12000038",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000039",2016-07-01,"18plus","All Delay Reasons",275,9
"S12000039",2016-07-01,"18plus","Health and Social Care Reasons",151,5
"S12000039",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000039",2016-07-01,"18plus","Code 9 AWI",62,2
"S12000039",2016-07-01,"18plus","Code 9 Non-AWI",62,2
"S12000039",2016-07-01,"18-74","All Delay Reasons",167,5
"S12000039",2016-07-01,"18-74","Health and Social Care Reasons",56,2
"S12000039",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000039",2016-07-01,"18-74","Code 9 AWI",49,2
"S12000039",2016-07-01,"18-74","Code 9 Non-AWI",62,2
"S12000039",2016-07-01,"75plus","All Delay Reasons",108,3
"S12000039",2016-07-01,"75plus","Health and Social Care Reasons",95,3
"S12000039",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000039",2016-07-01,"75plus","Code 9 AWI",13,0
"S12000039",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000040",2016-07-01,"18plus","All Delay Reasons",1237,40
"S12000040",2016-07-01,"18plus","Health and Social Care Reasons",1058,34
"S12000040",2016-07-01,"18plus","Patient and Family Related Reasons",52,2
"S12000040",2016-07-01,"18plus","Code 9 AWI",127,4
"S12000040",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S12000040",2016-07-01,"18-74","All Delay Reasons",348,11
"S12000040",2016-07-01,"18-74","Health and Social Care Reasons",334,11
"S12000040",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000040",2016-07-01,"18-74","Code 9 AWI",14,0
"S12000040",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S12000040",2016-07-01,"75plus","All Delay Reasons",889,29
"S12000040",2016-07-01,"75plus","Health and Social Care Reasons",724,23
"S12000040",2016-07-01,"75plus","Patient and Family Related Reasons",52,2
"S12000040",2016-07-01,"75plus","Code 9 AWI",113,4
"S12000040",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000041",2016-07-01,"18plus","All Delay Reasons",366,12
"S12000041",2016-07-01,"18plus","Health and Social Care Reasons",134,4
"S12000041",2016-07-01,"18plus","Patient and Family Related Reasons",14,0
"S12000041",2016-07-01,"18plus","Code 9 AWI",125,4
"S12000041",2016-07-01,"18plus","Code 9 Non-AWI",93,3
"S12000041",2016-07-01,"18-74","All Delay Reasons",136,4
"S12000041",2016-07-01,"18-74","Health and Social Care Reasons",18,1
"S12000041",2016-07-01,"18-74","Patient and Family Related Reasons",6,0
"S12000041",2016-07-01,"18-74","Code 9 AWI",50,2
"S12000041",2016-07-01,"18-74","Code 9 Non-AWI",62,2
"S12000041",2016-07-01,"75plus","All Delay Reasons",230,7
"S12000041",2016-07-01,"75plus","Health and Social Care Reasons",116,4
"S12000041",2016-07-01,"75plus","Patient and Family Related Reasons",8,0
"S12000041",2016-07-01,"75plus","Code 9 AWI",75,2
"S12000041",2016-07-01,"75plus","Code 9 Non-AWI",31,1
"S12000042",2016-07-01,"18plus","All Delay Reasons",1019,33
"S12000042",2016-07-01,"18plus","Health and Social Care Reasons",471,15
"S12000042",2016-07-01,"18plus","Patient and Family Related Reasons",117,4
"S12000042",2016-07-01,"18plus","Code 9 AWI",259,8
"S12000042",2016-07-01,"18plus","Code 9 Non-AWI",172,6
"S12000042",2016-07-01,"18-74","All Delay Reasons",345,11
"S12000042",2016-07-01,"18-74","Health and Social Care Reasons",123,4
"S12000042",2016-07-01,"18-74","Patient and Family Related Reasons",26,1
"S12000042",2016-07-01,"18-74","Code 9 AWI",27,1
"S12000042",2016-07-01,"18-74","Code 9 Non-AWI",169,5
"S12000042",2016-07-01,"75plus","All Delay Reasons",674,22
"S12000042",2016-07-01,"75plus","Health and Social Care Reasons",348,11
"S12000042",2016-07-01,"75plus","Patient and Family Related Reasons",91,3
"S12000042",2016-07-01,"75plus","Code 9 AWI",232,7
"S12000042",2016-07-01,"75plus","Code 9 Non-AWI",3,0
"S12000045",2016-07-01,"18plus","All Delay Reasons",229,7
"S12000045",2016-07-01,"18plus","Health and Social Care Reasons",171,6
"S12000045",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000045",2016-07-01,"18plus","Code 9 AWI",0,0
"S12000045",2016-07-01,"18plus","Code 9 Non-AWI",58,2
"S12000045",2016-07-01,"18-74","All Delay Reasons",85,3
"S12000045",2016-07-01,"18-74","Health and Social Care Reasons",27,1
"S12000045",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000045",2016-07-01,"18-74","Code 9 AWI",0,0
"S12000045",2016-07-01,"18-74","Code 9 Non-AWI",58,2
"S12000045",2016-07-01,"75plus","All Delay Reasons",144,5
"S12000045",2016-07-01,"75plus","Health and Social Care Reasons",144,5
"S12000045",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000045",2016-07-01,"75plus","Code 9 AWI",0,0
"S12000045",2016-07-01,"75plus","Code 9 Non-AWI",0,0
