"trust18_code","trust18_name","department","date","total","under_4_hours","between_4_12_hours","over_12_hours"
"SEHSCT","South Eastern","Ulster",2024-08-01,6738,1317,3310,2111
"SEHSCT","South Eastern","Ulster MIU",2024-08-01,3323,2762,515,46
"SHSCT","Southern","Craigavon Area",2024-08-01,6558,2756,2462,1340
"SHSCT","Southern","Daisy Hill",2024-08-01,4681,2326,1788,567
"SHSCT","Southern","South Tyrone",2024-08-01,1711,1710,0,1
"WHSCT","Western","Altnagelvin Area",2024-08-01,5216,1689,2422,1105
"WHSCT","Western","South West Acute",2024-08-01,3383,1499,1377,507
"WHSCT","Western","Altnagelvin Area MIU",2024-08-01,2614,2552,62,0
"BHSCT","Belfast","Mater",2024-07-01,3458,1283,1475,700
"BHSCT","Belfast","RVH",2024-07-01,6513,1045,3253,2215
"BHSCT","Belfast","RBHSC",2024-07-01,2779,2023,752,4
"NHSCT","Northern","Antrim Area",2024-07-01,7968,3249,3207,1512
"NHSCT","Northern","Causeway",2024-07-01,4246,2111,1554,581
"NHSCT","Northern","Mid-Ulster",2024-07-01,560,560,0,0
"SEHSCT","South Eastern","Downe",2024-07-01,1486,1436,50,0
"SEHSCT","South Eastern","Lagan Valley",2024-07-01,1975,1490,482,3
"SEHSCT","South Eastern","Ulster",2024-07-01,6819,1379,3592,1848
"SEHSCT","South Eastern","Ulster MIU",2024-07-01,3186,2734,404,48
"SHSCT","Southern","Craigavon Area",2024-07-01,6635,2791,2489,1355
"SHSCT","Southern","Daisy Hill",2024-07-01,4602,2351,1682,569
"SHSCT","Southern","South Tyrone",2024-07-01,1649,1647,2,0
"WHSCT","Western","Altnagelvin Area",2024-07-01,5011,1733,2212,1066
"WHSCT","Western","South West Acute",2024-07-01,3451,1636,1280,535
"WHSCT","Western","Altnagelvin Area MIU",2024-07-01,2787,2729,58,0
"BHSCT","Belfast","Mater",2024-06-01,3394,1137,1567,690
"BHSCT","Belfast","RVH",2024-06-01,6336,980,2809,2547
"BHSCT","Belfast","RBHSC",2024-06-01,3473,2027,1431,15
"NHSCT","Northern","Antrim Area",2024-06-01,8215,3409,3384,1422
"NHSCT","Northern","Causeway",2024-06-01,3993,2120,1299,574
"NHSCT","Northern","Mid-Ulster",2024-06-01,519,519,0,0
"SEHSCT","South Eastern","Downe",2024-06-01,1426,1398,28,0
"SEHSCT","South Eastern","Lagan Valley",2024-06-01,1763,1333,429,1
"SEHSCT","South Eastern","Ulster",2024-06-01,6919,1296,3857,1766
"SEHSCT","South Eastern","Ulster MIU",2024-06-01,3325,2794,509,22
"SHSCT","Southern","Craigavon Area",2024-06-01,6803,2861,2398,1544
"SHSCT","Southern","Daisy Hill",2024-06-01,4714,2323,1782,609
"SHSCT","Southern","South Tyrone",2024-06-01,1829,1828,1,0
"WHSCT","Western","Altnagelvin Area",2024-06-01,4982,1598,2292,1092
"WHSCT","Western","South West Acute",2024-06-01,3469,1592,1367,510
"WHSCT","Western","Altnagelvin Area MIU",2024-06-01,2832,2731,98,3
"BHSCT","Belfast","Mater",2024-05-01,3769,1509,1601,659
"BHSCT","Belfast","RVH",2024-05-01,6521,1269,3154,2098
"BHSCT","Belfast","RBHSC",2024-05-01,3918,2510,1381,27
"NHSCT","Northern","Antrim Area",2024-05-01,8517,3201,3812,1504
"NHSCT","Northern","Causeway",2024-05-01,4427,2177,1632,618
"NHSCT","Northern","Mid-Ulster",2024-05-01,714,714,0,0
"SEHSCT","South Eastern","Downe",2024-05-01,1624,1574,50,0
"SEHSCT","South Eastern","Lagan Valley",2024-05-01,1848,1414,432,2
"SEHSCT","South Eastern","Ulster",2024-05-01,7333,1524,3758,2051
"SEHSCT","South Eastern","Ulster MIU",2024-05-01,3570,3064,458,48
"SHSCT","Southern","Craigavon Area",2024-05-01,7346,2934,2748,1664
"SHSCT","Southern","Daisy Hill",2024-05-01,5016,2514,1912,590
"SHSCT","Southern","South Tyrone",2024-05-01,2048,2048,0,0
"WHSCT","Western","Altnagelvin Area",2024-05-01,5354,1664,2512,1178
"WHSCT","Western","South West Acute",2024-05-01,3571,1710,1391,470
"WHSCT","Western","Altnagelvin Area MIU",2024-05-01,3039,2946,92,1
"BHSCT","Belfast","Mater",2024-04-01,3552,1428,1556,568
"BHSCT","Belfast","RVH",2024-04-01,6199,1279,2850,2070
"BHSCT","Belfast","RBHSC",2024-04-01,3803,2300,1459,44
"NHSCT","Northern","Antrim Area",2024-04-01,8314,2950,3718,1646
"NHSCT","Northern","Causeway",2024-04-01,4192,2088,1536,568
"NHSCT","Northern","Mid-Ulster",2024-04-01,604,603,1,0
"SEHSCT","South Eastern","Downe",2024-04-01,1547,1488,59,0
"SEHSCT","South Eastern","Lagan Valley",2024-04-01,1980,1439,541,0
"SEHSCT","South Eastern","Ulster",2024-04-01,6948,1348,3737,1863
"SEHSCT","South Eastern","Ulster MIU",2024-04-01,3281,2764,457,60
"SHSCT","Southern","Craigavon Area",2024-04-01,6764,2586,2609,1569
"SHSCT","Southern","Daisy Hill",2024-04-01,4784,2348,1866,570
"SHSCT","Southern","South Tyrone",2024-04-01,1812,1812,0,0
"WHSCT","Western","Altnagelvin Area",2024-04-01,4896,1227,2374,1295
"WHSCT","Western","South West Acute",2024-04-01,3347,1531,1273,543
"WHSCT","Western","Altnagelvin Area MIU",2024-04-01,2830,2768,61,1
"BHSCT","Belfast","Mater",2024-03-01,3679,1401,1588,690
"BHSCT","Belfast","RVH",2024-03-01,6497,1306,2872,2319
"BHSCT","Belfast","RVH-RAES",2024-03-01,931,723,208,0
"BHSCT","Belfast","RBHSC",2024-03-01,4280,2280,1927,73
"NHSCT","Northern","Antrim Area",2024-03-01,8728,3061,4089,1578
"NHSCT","Northern","Causeway",2024-03-01,4100,2048,1501,551
"NHSCT","Northern","Mid-Ulster",2024-03-01,564,564,0,0
"SEHSCT","South Eastern","Lagan Valley",2024-03-01,1907,1348,557,2
"SEHSCT","South Eastern","Ulster",2024-03-01,7345,1316,3768,2261
"SEHSCT","South Eastern","Ulster MIU",2024-03-01,3047,2591,404,52
"SHSCT","Southern","Craigavon Area",2024-03-01,6810,2515,2524,1771
"SHSCT","Southern","Daisy Hill",2024-03-01,4683,2217,1888,578
"SHSCT","Southern","South Tyrone",2024-03-01,1711,1710,1,0
"WHSCT","Western","Altnagelvin Area",2024-03-01,5629,1675,2582,1372
"WHSCT","Western","South West Acute",2024-03-01,3328,1652,1156,520
"WHSCT","Western","Altnagelvin Area MIU",2024-03-01,2059,2009,50,0
"BHSCT","Belfast","Mater",2024-02-01,3558,1301,1555,702
"BHSCT","Belfast","RVH",2024-02-01,5880,1229,2643,2008
"BHSCT","Belfast","RVH-RAES",2024-02-01,882,687,195,0
"BHSCT","Belfast","RBHSC",2024-02-01,3690,1925,1672,93
"NHSCT","Northern","Antrim Area",2024-02-01,7993,2721,3876,1396
"NHSCT","Northern","Causeway",2024-02-01,3979,1841,1601,537
"NHSCT","Northern","Mid-Ulster",2024-02-01,503,501,2,0
"SEHSCT","South Eastern","Lagan Valley",2024-02-01,1925,1381,540,4
"SEHSCT","South Eastern","Ulster",2024-02-01,6952,1158,3455,2339
"SEHSCT","South Eastern","Ulster MIU",2024-02-01,2738,2344,342,52
"SHSCT","Southern","Craigavon Area",2024-02-01,6434,2495,2470,1469
"SHSCT","Southern","Daisy Hill",2024-02-01,4167,1976,1600,591
"SHSCT","Southern","South Tyrone",2024-02-01,1504,1504,0,0
"WHSCT","Western","Altnagelvin Area",2024-02-01,5079,1474,2349,1256
"WHSCT","Western","South West Acute",2024-02-01,3073,1323,1224,526
"WHSCT","Western","Altnagelvin Area MIU",2024-02-01,1663,1637,26,0
"BHSCT","Belfast","Mater",2024-01-01,3654,1357,1548,749
"BHSCT","Belfast","RVH",2024-01-01,5955,1165,2626,2164
"BHSCT","Belfast","RVH-RAES",2024-01-01,891,665,226,0
"BHSCT","Belfast","RBHSC",2024-01-01,3775,2079,1640,56
"NHSCT","Northern","Antrim Area",2024-01-01,8253,3016,3694,1543
"NHSCT","Northern","Causeway",2024-01-01,3874,1802,1426,646
"NHSCT","Northern","Mid-Ulster",2024-01-01,444,444,0,0
"SEHSCT","South Eastern","Lagan Valley",2024-01-01,1958,1396,560,2
"SEHSCT","South Eastern","Ulster",2024-01-01,7214,1489,3688,2037
"SEHSCT","South Eastern","Ulster MIU",2024-01-01,2612,2337,228,47
"SHSCT","Southern","Craigavon Area",2024-01-01,6545,2501,2308,1736
"SHSCT","Southern","Daisy Hill",2024-01-01,4362,1894,1753,715
"SHSCT","Southern","South Tyrone",2024-01-01,1352,1350,2,0
"WHSCT","Western","Altnagelvin Area",2024-01-01,5262,1361,2525,1376
"WHSCT","Western","South West Acute",2024-01-01,3185,1325,1302,558
"WHSCT","Western","Altnagelvin Area MIU",2024-01-01,1549,1529,20,0
"BHSCT","Belfast","Mater",2023-12-01,3428,1436,1435,557
"BHSCT","Belfast","RVH",2023-12-01,5799,1219,2739,1841
"BHSCT","Belfast","RVH-RAES",2023-12-01,717,564,153,0
"BHSCT","Belfast","RBHSC",2023-12-01,3680,2125,1512,43
"NHSCT","Northern","Antrim Area",2023-12-01,7733,2723,3546,1464
"NHSCT","Northern","Causeway",2023-12-01,3787,1781,1448,558
"NHSCT","Northern","Mid-Ulster",2023-12-01,391,391,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-12-01,1586,1176,407,3
"SEHSCT","South Eastern","Ulster",2023-12-01,7103,1338,3754,2011
"SEHSCT","South Eastern","Ulster MIU",2023-12-01,2537,2231,245,61
"SHSCT","Southern","Craigavon Area",2023-12-01,6552,2410,2572,1570
"SHSCT","Southern","Daisy Hill",2023-12-01,4375,1875,1828,672
"SHSCT","Southern","South Tyrone",2023-12-01,1302,1300,2,0
"WHSCT","Western","Altnagelvin Area",2023-12-01,5266,1385,2607,1274
"WHSCT","Western","South West Acute",2023-12-01,3207,1417,1247,543
"WHSCT","Western","Altnagelvin Area MIU",2023-12-01,1412,1384,28,0
"BHSCT","Belfast","Mater",2023-11-01,3506,1560,1364,582
"BHSCT","Belfast","RVH",2023-11-01,6244,1536,2686,2022
"BHSCT","Belfast","RVH-RAES",2023-11-01,758,606,152,0
"BHSCT","Belfast","RBHSC",2023-11-01,4250,2217,1952,81
"NHSCT","Northern","Antrim Area",2023-11-01,8168,2836,3890,1442
"NHSCT","Northern","Causeway",2023-11-01,3893,1811,1502,580
"NHSCT","Northern","Mid-Ulster",2023-11-01,486,486,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-11-01,1684,1186,493,5
"SEHSCT","South Eastern","Ulster",2023-11-01,7094,1530,3547,2017
"SEHSCT","South Eastern","Ulster MIU",2023-11-01,2723,2454,222,47
"SHSCT","Southern","Craigavon Area",2023-11-01,6754,2778,2498,1478
"SHSCT","Southern","Daisy Hill",2023-11-01,4378,2082,1842,454
"SHSCT","Southern","South Tyrone",2023-11-01,1406,1406,0,0
"WHSCT","Western","Altnagelvin Area",2023-11-01,5476,1635,2656,1185
"WHSCT","Western","South West Acute",2023-11-01,3166,1501,1222,443
"WHSCT","Western","Altnagelvin Area MIU",2023-11-01,1494,1481,13,0
"BHSCT","Belfast","Mater",2023-10-01,3688,1681,1469,538
"BHSCT","Belfast","RVH",2023-10-01,6460,1710,2876,1874
"BHSCT","Belfast","RVH-RAES",2023-10-01,782,637,145,0
"BHSCT","Belfast","RBHSC",2023-10-01,4329,2593,1691,45
"NHSCT","Northern","Antrim Area",2023-10-01,8854,3302,3924,1628
"NHSCT","Northern","Causeway",2023-10-01,4168,1997,1592,579
"NHSCT","Northern","Mid-Ulster",2023-10-01,527,527,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-10-01,2019,1565,454,0
"SEHSCT","South Eastern","Ulster",2023-10-01,7847,1902,4059,1886
"SEHSCT","South Eastern","Ulster MIU",2023-10-01,2848,2737,104,7
"SHSCT","Southern","Craigavon Area",2023-10-01,6796,2595,2565,1636
"SHSCT","Southern","Daisy Hill",2023-10-01,4518,2149,1715,654
"SHSCT","Southern","South Tyrone",2023-10-01,1781,1780,1,0
"WHSCT","Western","Altnagelvin Area",2023-10-01,5703,1774,2803,1126
"WHSCT","Western","South West Acute",2023-10-01,3371,1840,1155,376
"WHSCT","Western","Altnagelvin Area MIU",2023-10-01,1730,1696,34,0
"BHSCT","Belfast","Mater",2023-09-01,3701,1806,1461,434
"BHSCT","Belfast","RVH",2023-09-01,6528,1593,2868,2067
"BHSCT","Belfast","RVH-RAES",2023-09-01,731,619,112,0
"BHSCT","Belfast","RBHSC",2023-09-01,3588,2583,994,11
"NHSCT","Northern","Antrim Area",2023-09-01,8327,3593,3489,1245
"NHSCT","Northern","Causeway",2023-09-01,4119,2208,1423,488
"NHSCT","Northern","Mid-Ulster",2023-09-01,503,503,0,0
"SEHSCT","South Eastern","Ards MIU",2023-09-01,34,34,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-09-01,1914,1518,396,0
"SEHSCT","South Eastern","Ulster",2023-09-01,7975,2506,3957,1512
"SEHSCT","South Eastern","Ulster MIU",2023-09-01,2410,2296,110,4
"SHSCT","Southern","Craigavon Area",2023-09-01,6520,2633,2319,1568
"SHSCT","Southern","Daisy Hill",2023-09-01,4379,2241,1517,621
"SHSCT","Southern","South Tyrone",2023-09-01,1816,1816,0,0
"WHSCT","Western","Altnagelvin Area",2023-09-01,5482,1955,2568,959
"WHSCT","Western","South West Acute",2023-09-01,3184,1714,1091,379
"WHSCT","Western","Altnagelvin Area MIU",2023-09-01,1732,1693,39,0
"BHSCT","Belfast","Mater",2023-08-01,3726,1813,1442,471
"BHSCT","Belfast","RVH",2023-08-01,6911,1615,3102,2194
"BHSCT","Belfast","RVH-RAES",2023-08-01,806,648,158,0
"BHSCT","Belfast","RBHSC",2023-08-01,3070,2301,759,10
"NHSCT","Northern","Antrim Area",2023-08-01,8387,3753,3262,1372
"NHSCT","Northern","Causeway",2023-08-01,4474,2689,1379,406
"NHSCT","Northern","Mid-Ulster",2023-08-01,556,556,0,0
"SEHSCT","South Eastern","Ards MIU",2023-08-01,946,946,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-08-01,2091,1683,407,1
"SEHSCT","South Eastern","Ulster",2023-08-01,9360,4050,3774,1536
"SHSCT","Southern","Craigavon Area",2023-08-01,6741,2522,2522,1697
"SHSCT","Southern","Daisy Hill",2023-08-01,4570,2184,1758,628
"SHSCT","Southern","South Tyrone",2023-08-01,1846,1846,0,0
"WHSCT","Western","Altnagelvin Area",2023-08-01,5746,1831,2873,1042
"WHSCT","Western","South West Acute",2023-08-01,3307,1728,1233,346
"WHSCT","Western","Altnagelvin Area MIU",2023-08-01,1871,1802,69,0
"BHSCT","Belfast","Mater",2023-07-01,3586,1861,1342,383
"BHSCT","Belfast","RVH",2023-07-01,6934,1948,3210,1776
"BHSCT","Belfast","RVH-RAES",2023-07-01,764,557,207,0
"BHSCT","Belfast","RBHSC",2023-07-01,2958,2336,620,2
"NHSCT","Northern","Antrim Area",2023-07-01,8158,3577,3224,1357
"NHSCT","Northern","Causeway",2023-07-01,4338,2466,1420,452
"NHSCT","Northern","Mid-Ulster",2023-07-01,517,515,2,0
"SEHSCT","South Eastern","Ards MIU",2023-07-01,817,817,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-07-01,1838,1480,357,1
"SEHSCT","South Eastern","Ulster",2023-07-01,8625,3813,3356,1456
"SHSCT","Southern","Craigavon Area",2023-07-01,6601,2441,2469,1691
"SHSCT","Southern","Daisy Hill",2023-07-01,4309,2398,1431,480
"SHSCT","Southern","South Tyrone",2023-07-01,1694,1694,0,0
"WHSCT","Western","Altnagelvin Area",2023-07-01,5750,2053,2622,1075
"WHSCT","Western","South West Acute",2023-07-01,3252,1727,1058,467
"WHSCT","Western","Altnagelvin Area MIU",2023-07-01,1700,1657,43,0
"BHSCT","Belfast","Mater",2023-06-01,3655,1855,1463,337
"BHSCT","Belfast","RVH",2023-06-01,7002,1922,3094,1986
"BHSCT","Belfast","RVH-RAES",2023-06-01,755,597,158,0
"BHSCT","Belfast","RBHSC",2023-06-01,3867,2785,1071,11
"NHSCT","Northern","Antrim Area",2023-06-01,8629,4219,3180,1230
"NHSCT","Northern","Causeway",2023-06-01,4328,2358,1539,431
"NHSCT","Northern","Mid-Ulster",2023-06-01,641,641,0,0
"SEHSCT","South Eastern","Ards MIU",2023-06-01,1006,1005,1,0
"SEHSCT","South Eastern","Lagan Valley",2023-06-01,2198,1826,372,0
"SEHSCT","South Eastern","Ulster",2023-06-01,9515,4309,3718,1488
"SHSCT","Southern","Craigavon Area",2023-06-01,7023,2746,2519,1758
"SHSCT","Southern","Daisy Hill",2023-06-01,4566,2595,1657,314
"SHSCT","Southern","South Tyrone",2023-06-01,2008,2008,0,0
"WHSCT","Western","Altnagelvin Area",2023-06-01,5658,2053,2640,965
"WHSCT","Western","South West Acute",2023-06-01,3457,1990,1120,347
"WHSCT","Western","Altnagelvin Area MIU",2023-06-01,2045,1946,99,0
"BHSCT","Belfast","Mater",2023-05-01,3684,1851,1458,375
"BHSCT","Belfast","RVH",2023-05-01,7382,2003,3387,1992
"BHSCT","Belfast","RVH-RAES",2023-05-01,811,605,206,0
"BHSCT","Belfast","RBHSC",2023-05-01,4165,2706,1432,27
"NHSCT","Northern","Antrim Area",2023-05-01,8769,3804,3549,1416
"NHSCT","Northern","Causeway",2023-05-01,4593,2559,1595,439
"NHSCT","Northern","Mid-Ulster",2023-05-01,610,610,0,0
"SEHSCT","South Eastern","Ards MIU",2023-05-01,1053,1053,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-05-01,2196,1758,437,1
"SEHSCT","South Eastern","Ulster",2023-05-01,9267,4184,3551,1532
"SHSCT","Southern","Craigavon Area",2023-05-01,7186,2828,2971,1387
"SHSCT","Southern","Daisy Hill",2023-05-01,4959,2895,1666,398
"SHSCT","Southern","South Tyrone",2023-05-01,2069,2069,0,0
"WHSCT","Western","Altnagelvin Area",2023-05-01,5913,1750,3005,1158
"WHSCT","Western","South West Acute",2023-05-01,3378,1763,1141,474
"WHSCT","Western","Altnagelvin Area MIU",2023-05-01,1971,1801,170,0
"BHSCT","Belfast","Mater",2023-04-01,3353,1629,1308,416
"BHSCT","Belfast","RVH",2023-04-01,6784,1894,3038,1852
"BHSCT","Belfast","RVH-RAES",2023-04-01,818,630,188,0
"BHSCT","Belfast","RBHSC",2023-04-01,3642,2318,1286,38
"NHSCT","Northern","Antrim Area",2023-04-01,8166,3483,3276,1407
"NHSCT","Northern","Causeway",2023-04-01,4041,2143,1401,497
"NHSCT","Northern","Mid-Ulster",2023-04-01,575,575,0,0
"SEHSCT","South Eastern","Ards MIU",2023-04-01,890,890,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-04-01,1886,1387,498,1
"SEHSCT","South Eastern","Ulster",2023-04-01,8828,3910,3432,1486
"SHSCT","Southern","Craigavon Area",2023-04-01,6683,2679,2637,1367
"SHSCT","Southern","Daisy Hill",2023-04-01,4486,2367,1589,530
"SHSCT","Southern","South Tyrone",2023-04-01,1813,1812,1,0
"WHSCT","Western","Altnagelvin Area",2023-04-01,5453,1637,2660,1156
"WHSCT","Western","South West Acute",2023-04-01,3200,1614,1165,421
"WHSCT","Western","Altnagelvin Area MIU",2023-04-01,1731,1667,64,0
"BHSCT","Belfast","Mater",2023-03-01,3475,1734,1360,381
"BHSCT","Belfast","RVH",2023-03-01,7166,1756,3293,2117
"BHSCT","Belfast","RVH-RAES",2023-03-01,683,519,164,0
"BHSCT","Belfast","RBHSC",2023-03-01,4221,2152,2007,62
"NHSCT","Northern","Antrim Area",2023-03-01,8608,3375,3652,1581
"NHSCT","Northern","Causeway",2023-03-01,4084,2150,1432,502
"NHSCT","Northern","Mid-Ulster",2023-03-01,624,624,0,0
"SEHSCT","South Eastern","Ards MIU",2023-03-01,1052,1052,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-03-01,2176,1723,451,2
"SEHSCT","South Eastern","Ulster",2023-03-01,9526,4134,3882,1510
"SHSCT","Southern","Craigavon Area",2023-03-01,7094,2531,2759,1804
"SHSCT","Southern","Daisy Hill",2023-03-01,4658,2272,1726,660
"SHSCT","Southern","South Tyrone",2023-03-01,1773,1773,0,0
"WHSCT","Western","Altnagelvin Area",2023-03-01,5736,1769,2798,1169
"WHSCT","Western","South West Acute",2023-03-01,3393,1604,1335,454
"WHSCT","Western","Altnagelvin Area MIU",2023-03-01,1723,1681,42,0
"BHSCT","Belfast","Mater",2023-02-01,3058,1702,1096,260
"BHSCT","Belfast","RVH",2023-02-01,6500,1912,2933,1655
"BHSCT","Belfast","RVH-RAES",2023-02-01,676,538,138,0
"BHSCT","Belfast","RBHSC",2023-02-01,3579,1997,1540,42
"NHSCT","Northern","Antrim Area",2023-02-01,7471,3190,3058,1223
"NHSCT","Northern","Causeway",2023-02-01,3486,2017,1072,397
"NHSCT","Northern","Mid-Ulster",2023-02-01,555,555,0,0
"SEHSCT","South Eastern","Ards MIU",2023-02-01,877,877,0,0
"SEHSCT","South Eastern","Lagan Valley",2023-02-01,1903,1454,449,0
"SEHSCT","South Eastern","Ulster",2023-02-01,8068,3540,3092,1436
"SHSCT","Southern","Craigavon Area",2023-02-01,6417,2126,2638,1653
"SHSCT","Southern","Daisy Hill",2023-02-01,4138,2194,1465,479
"SHSCT","Southern","South Tyrone",2023-02-01,1509,1509,0,0
"WHSCT","Western","Altnagelvin Area",2023-02-01,4888,1618,2245,1025
"WHSCT","Western","South West Acute",2023-02-01,2900,1440,1030,430
"WHSCT","Western","Altnagelvin Area MIU",2023-02-01,1470,1444,26,0
"BHSCT","Belfast","Mater",2023-01-01,3150,1737,1024,389
"BHSCT","Belfast","RVH",2023-01-01,6437,1795,2759,1883
"BHSCT","Belfast","RVH-RAES",2023-01-01,687,517,170,0
"BHSCT","Belfast","RBHSC",2023-01-01,3821,2481,1318,22
"NHSCT","Northern","Antrim Area",2023-01-01,7415,3414,2794,1207
"NHSCT","Northern","Causeway",2023-01-01,3446,1795,1050,601
"NHSCT","Northern","Mid-Ulster",2023-01-01,539,538,1,0
"SEHSCT","South Eastern","Ards MIU",2023-01-01,956,955,1,0
"SEHSCT","South Eastern","Lagan Valley",2023-01-01,1979,1511,468,0
"SEHSCT","South Eastern","Ulster",2023-01-01,8057,3623,3028,1406
"SHSCT","Southern","Craigavon Area",2023-01-01,6370,2410,2434,1526
"SHSCT","Southern","Daisy Hill",2023-01-01,4296,2325,1443,528
