"date","hospital_code","hospital_name","specialism","daily_beds_available","daily_beds_occupied","beds_occupancy_rate"
"Jul-21","7A1A2","Abergele Hospital","surgical_acute",24,0.5,2.0833
"Aug-21","7A1A2","Abergele Hospital","surgical_acute",23.700001,1.8,7.5949
"Sep-21","7A1A2","Abergele Hospital","surgical_acute",24,6.6,27.5
"Oct-21","7A1A2","Abergele Hospital","surgical_acute",24,7,29.1667
"Nov-21","7A1A2","Abergele Hospital","surgical_acute",24,13.3,55.4167
"Dec-21","7A1A2","Abergele Hospital","surgical_acute",24,5.3,22.0833
"Jan-22","7A1A2","Abergele Hospital","surgical_acute",20.2,6.5,32.1782
"Feb-22","7A1A2","Abergele Hospital","surgical_acute",24,0,0
"Mar-22","7A1A2","Abergele Hospital","surgical_acute",24,0,0
"Apr-22","7A1A2","Abergele Hospital","surgical_acute",24,9.3,38.75
"May-22","7A1A2","Abergele Hospital","surgical_acute",24,8.4,35
"Jun-22","7A1A2","Abergele Hospital","surgical_acute",24,5.5,22.9167
"Jul-22","7A1A2","Abergele Hospital","surgical_acute",24,6.6,27.5
"Aug-22","7A1A2","Abergele Hospital","surgical_acute",24,6.5,27.0833
"Sep-22","7A1A2","Abergele Hospital","surgical_acute",24,3.7,15.4167
"Oct-22","7A1A2","Abergele Hospital","surgical_acute",24,6.7,27.9167
"Nov-22","7A1A2","Abergele Hospital","surgical_acute",24,8.7,36.25
"Dec-22","7A1A2","Abergele Hospital","surgical_acute",24,9.3,38.75
"Jan-23","7A1A2","Abergele Hospital","surgical_acute",24,0,0
"Feb-23","7A1A2","Abergele Hospital","surgical_acute",24,5.4,22.5
"Mar-23","7A1A2","Abergele Hospital","surgical_acute",24,5.6,23.3333
"Jan-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Feb-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Mar-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Apr-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,4.63,66.1429
"May-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Jun-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Jul-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Aug-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Sep-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Oct-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Nov-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",7,7,100
"Dec-21","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,7,63.6364
"Jan-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,9.5,86.3636
"Feb-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,8.96,81.4545
"Mar-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,10.6,96.3636
"Apr-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,8,72.7273
"May-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,7.4,67.2727
"Jun-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,9.6,87.2727
"Jul-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,9.8,89.0909
"Aug-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,9.9,90
"Sep-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,9.5,86.3636
"Oct-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,10.1,91.8182
"Nov-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,11,100
"Dec-22","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,10.7,97.2727
"Jan-23","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,10.33,93.9091
"Feb-23","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,9.2,83.6364
"Mar-23","7A2FC","Aberystwyth Mental Health Unit","all_specialties",11,8.9,80.9091
"Jan-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Feb-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Mar-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Apr-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,4.63,66.1429
"May-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Jun-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Jul-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Aug-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Sep-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Oct-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Nov-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",7,7,100
"Dec-21","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,7,63.6364
"Jan-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,9.5,86.3636
"Feb-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,8.96,81.4545
"Mar-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,10.6,96.3636
"Apr-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,8,72.7273
"May-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,7.4,67.2727
"Jun-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,9.6,87.2727
"Jul-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,9.8,89.0909
"Aug-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,9.9,90
"Sep-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,9.5,86.3636
"Oct-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,10.1,91.8182
"Nov-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,11,100
"Dec-22","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,10.7,97.2727
"Jan-23","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,10.33,93.9091
"Feb-23","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,9.2,83.6364
"Mar-23","7A2FC","Aberystwyth Mental Health Unit","mental_illness",11,8.9,80.9091
"Jan-21","7A1F9","Ablett Unit","all_specialties",44.700002,29.4,65.7718
"Feb-21","7A1F9","Ablett Unit","all_specialties",45.099998,26.400001,58.5366
"Mar-21","7A1F9","Ablett Unit","all_specialties",38.3,30.4,79.3734
"Apr-21","7A1F9","Ablett Unit","all_specialties",41.899999,29.400001,70.1671
"May-21","7A1F9","Ablett Unit","all_specialties",33.099999,29.1,87.9154
"Jun-21","7A1F9","Ablett Unit","all_specialties",35.2,32,90.9091
"Jul-21","7A1F9","Ablett Unit","all_specialties",37,29.3,79.1892
"Aug-21","7A1F9","Ablett Unit","all_specialties",37.9,28.7,75.7256
"Sep-21","7A1F9","Ablett Unit","all_specialties",37.5,28.600001,76.2667
"Oct-21","7A1F9","Ablett Unit","all_specialties",38.000001,29.8,78.4211
"Nov-21","7A1F9","Ablett Unit","all_specialties",38,30.500001,80.2632
"Dec-21","7A1F9","Ablett Unit","all_specialties",38.000001,32.600001,85.7895
"Jan-22","7A1F9","Ablett Unit","all_specialties",38.100001,33.8,88.7139
"Feb-22","7A1F9","Ablett Unit","all_specialties",38.000001,31.599999,83.1579
"Mar-22","7A1F9","Ablett Unit","all_specialties",37.099999,33.7,90.8356
"Apr-22","7A1F9","Ablett Unit","all_specialties",38,34.7,91.3158
"May-22","7A1F9","Ablett Unit","all_specialties",38.5,36.6,95.0649
"Jun-22","7A1F9","Ablett Unit","all_specialties",38,34.2,90
"Jul-22","7A1F9","Ablett Unit","all_specialties",38.3,35.8,93.4726
"Aug-22","7A1F9","Ablett Unit","all_specialties",39,27.9,71.5385
"Sep-22","7A1F9","Ablett Unit","all_specialties",38,37.5,98.6842
"Oct-22","7A1F9","Ablett Unit","all_specialties",38,36.2,95.2632
"Nov-22","7A1F9","Ablett Unit","all_specialties",38,32.4,85.2632
"Dec-22","7A1F9","Ablett Unit","all_specialties",38.4,35.4,92.1875
"Jan-23","7A1F9","Ablett Unit","all_specialties",38.1,32.7,85.8268
"Feb-23","7A1F9","Ablett Unit","all_specialties",38.1,36.1,94.7507
"Mar-23","7A1F9","Ablett Unit","all_specialties",38,33.6,88.4211
"Jun-21","7A1F9","Ablett Unit","medical_acute",0.6,0.6,100
"Jul-21","7A1F9","Ablett Unit","medical_acute",0.7,0.7,100
"Oct-21","7A1F9","Ablett Unit","medical_acute",0.1,0.1,100
"Apr-22","7A1F9","Ablett Unit","medical_acute",0.3,0.3,100
"Aug-22","7A1F9","Ablett Unit","medical_acute",0.6,0.6,100
"Nov-22","7A1F9","Ablett Unit","medical_acute",0.2,0.2,100
"Dec-22","7A1F9","Ablett Unit","medical_acute",1,1,100
"Jan-23","7A1F9","Ablett Unit","medical_acute",0.3,0.3,100
"Feb-23","7A1F9","Ablett Unit","medical_acute",0.3,0.3,100
"Mar-23","7A1F9","Ablett Unit","medical_acute",0.3,0.3,100
"Jan-21","7A1F9","Ablett Unit","mental_illness",44.700002,29.4,65.7718
"Feb-21","7A1F9","Ablett Unit","mental_illness",45.099998,26.400001,58.5366
"Mar-21","7A1F9","Ablett Unit","mental_illness",38.3,30.4,79.3734
"Apr-21","7A1F9","Ablett Unit","mental_illness",41.899999,29.400001,70.1671
"May-21","7A1F9","Ablett Unit","mental_illness",33.099999,29.1,87.9154
"Jun-21","7A1F9","Ablett Unit","mental_illness",34.1,30.9,90.6158
"Jul-21","7A1F9","Ablett Unit","mental_illness",36.3,28.6,78.7879
"Aug-21","7A1F9","Ablett Unit","mental_illness",37.9,28.7,75.7256
"Sep-21","7A1F9","Ablett Unit","mental_illness",37.5,28.600001,76.2667
"Oct-21","7A1F9","Ablett Unit","mental_illness",37.900001,29.7,78.3641
"Nov-21","7A1F9","Ablett Unit","mental_illness",38,30.500001,80.2632
"Dec-21","7A1F9","Ablett Unit","mental_illness",37.500001,32.100001,85.6
"Jan-22","7A1F9","Ablett Unit","mental_illness",37.200001,32.9,88.4409
"Feb-22","7A1F9","Ablett Unit","mental_illness",38.000001,31.599999,83.1579
"Mar-22","7A1F9","Ablett Unit","mental_illness",37.099999,33.7,90.8356
"Apr-22","7A1F9","Ablett Unit","mental_illness",37.7,34.4,91.2467
"May-22","7A1F9","Ablett Unit","mental_illness",38.3,36.4,95.0392
"Jun-22","7A1F9","Ablett Unit","mental_illness",38,34.2,90
"Jul-22","7A1F9","Ablett Unit","mental_illness",38.3,35.8,93.4726
"Aug-22","7A1F9","Ablett Unit","mental_illness",38.2,27.1,70.9424
"Sep-22","7A1F9","Ablett Unit","mental_illness",38,37.5,98.6842
"Oct-22","7A1F9","Ablett Unit","mental_illness",38,36.2,95.2632
"Nov-22","7A1F9","Ablett Unit","mental_illness",37.8,32.2,85.1852
"Dec-22","7A1F9","Ablett Unit","mental_illness",37.4,34.4,91.9786
"Jan-23","7A1F9","Ablett Unit","mental_illness",37.8,32.4,85.7143
"Feb-23","7A1F9","Ablett Unit","mental_illness",37.8,35.8,94.709
"Mar-23","7A1F9","Ablett Unit","mental_illness",37.7,33.3,88.3289
"Jun-21","7A1F9","Ablett Unit","surgical_acute",0.5,0.5,100
"May-22","7A1F9","Ablett Unit","surgical_acute",0.2,0.2,100
"Aug-22","7A1F9","Ablett Unit","surgical_acute",0.2,0.2,100
"Jan-21","7A2E1","Amman Valley Hospital","all_specialties",28,18.36,65.5714
"Feb-21","7A2E1","Amman Valley Hospital","all_specialties",28,16.180001,57.7857
"Mar-21","7A2E1","Amman Valley Hospital","all_specialties",28,17.23,61.5357
"Apr-21","7A2E1","Amman Valley Hospital","all_specialties",28,17.469999,62.3929
"May-21","7A2E1","Amman Valley Hospital","all_specialties",28,15.38,54.9286
"Jun-21","7A2E1","Amman Valley Hospital","all_specialties",28.000001,15.47,55.25
"Jul-21","7A2E1","Amman Valley Hospital","all_specialties",28,17.77,63.4643
"Aug-21","7A2E1","Amman Valley Hospital","all_specialties",28,20.37,72.75
"Sep-21","7A2E1","Amman Valley Hospital","all_specialties",28,16.43,58.6786
"Oct-21","7A2E1","Amman Valley Hospital","all_specialties",28,17.220001,61.5
"Nov-21","7A2E1","Amman Valley Hospital","all_specialties",28,16.469999,58.8214
"Dec-21","7A2E1","Amman Valley Hospital","all_specialties",28,18.77,67.0357
"Jan-22","7A2E1","Amman Valley Hospital","all_specialties",28,21.19,75.6786
"Feb-22","7A2E1","Amman Valley Hospital","all_specialties",28,11.93,42.6071
"Mar-22","7A2E1","Amman Valley Hospital","all_specialties",28,11.64,41.5714
"Apr-22","7A2E1","Amman Valley Hospital","all_specialties",28,5.9,21.0714
"May-22","7A2E1","Amman Valley Hospital","all_specialties",28,6.35,22.6786
"Jun-22","7A2E1","Amman Valley Hospital","all_specialties",28,6.5,23.2143
"Jul-22","7A2E1","Amman Valley Hospital","all_specialties",28,6.67,23.8214
"Aug-22","7A2E1","Amman Valley Hospital","all_specialties",28,8.14,29.0714
"Sep-22","7A2E1","Amman Valley Hospital","all_specialties",27.45,6.23,22.6958
"Oct-22","7A2E1","Amman Valley Hospital","all_specialties",28,6.45,23.0357
"Nov-22","7A2E1","Amman Valley Hospital","all_specialties",26,5.07,19.5
"Dec-22","7A2E1","Amman Valley Hospital","all_specialties",27,4.74,17.5556
"Jan-23","7A2E1","Amman Valley Hospital","all_specialties",19.02,5.27,27.7077
"Feb-23","7A2E1","Amman Valley Hospital","all_specialties",19.02,5.48,28.8118
"Mar-23","7A2E1","Amman Valley Hospital","all_specialties",28,6.43,22.9643
"Jan-21","7A2E1","Amman Valley Hospital","medical_acute",21.91,18.26,83.3409
"Feb-21","7A2E1","Amman Valley Hospital","medical_acute",21.91,16.110001,73.5281
"Mar-21","7A2E1","Amman Valley Hospital","medical_acute",21.91,17.23,78.6399
"Apr-21","7A2E1","Amman Valley Hospital","medical_acute",21.91,17.469999,79.7353
"May-21","7A2E1","Amman Valley Hospital","medical_acute",21.91,15.35,70.0593
"Jun-21","7A2E1","Amman Valley Hospital","medical_acute",21.190001,14.6,68.9004
"Jul-21","7A2E1","Amman Valley Hospital","medical_acute",19.02,14.74,77.4974
"Aug-21","7A2E1","Amman Valley Hospital","medical_acute",19.02,19.02,100
"Sep-21","7A2E1","Amman Valley Hospital","medical_acute",19.02,16.33,85.857
"Oct-21","7A2E1","Amman Valley Hospital","medical_acute",19.02,17.030001,89.5373
"Nov-21","7A2E1","Amman Valley Hospital","medical_acute",19.02,16.469999,86.5931
"Dec-21","7A2E1","Amman Valley Hospital","medical_acute",19.02,18.48,97.1609
"Jan-22","7A2E1","Amman Valley Hospital","medical_acute",19.02,19.48,102.4185
"Feb-22","7A2E1","Amman Valley Hospital","medical_acute",19.02,11.93,62.7234
"Mar-22","7A2E1","Amman Valley Hospital","medical_acute",19.280001,11.38,59.0249
"Apr-22","7A2E1","Amman Valley Hospital","medical_acute",27.45,5.35,19.49
"May-22","7A2E1","Amman Valley Hospital","medical_acute",27.45,6.19,22.5501
"Jun-22","7A2E1","Amman Valley Hospital","medical_acute",27.45,6.43,23.4244
"Jul-22","7A2E1","Amman Valley Hospital","medical_acute",27.45,6.48,23.6066
"Aug-22","7A2E1","Amman Valley Hospital","medical_acute",27.45,7.97,29.0346
"Sep-22","7A2E1","Amman Valley Hospital","medical_acute",27.45,6.23,22.6958
"Oct-22","7A2E1","Amman Valley Hospital","medical_acute",27.45,6.39,23.2787
"Nov-22","7A2E1","Amman Valley Hospital","medical_acute",26,5.07,19.5
"Dec-22","7A2E1","Amman Valley Hospital","medical_acute",26.45,4.71,17.8072
"Jan-23","7A2E1","Amman Valley Hospital","medical_acute",19.02,5.27,27.7077
"Feb-23","7A2E1","Amman Valley Hospital","medical_acute",19.02,5.48,28.8118
"Mar-23","7A2E1","Amman Valley Hospital","medical_acute",27.97,6.4,22.8817
"Jan-21","7A2E1","Amman Valley Hospital","surgical_acute",0.15,0.1,66.6667
"Feb-21","7A2E1","Amman Valley Hospital","surgical_acute",0.15,0.07,46.6667
"Mar-21","7A2E1","Amman Valley Hospital","surgical_acute",0.15,0,0
"Apr-21","7A2E1","Amman Valley Hospital","surgical_acute",0.15,0,0
"May-21","7A2E1","Amman Valley Hospital","surgical_acute",0.15,0.03,20
"Jun-21","7A2E1","Amman Valley Hospital","surgical_acute",0.87,0.87,100
"Jul-21","7A2E1","Amman Valley Hospital","surgical_acute",3.04,3.03,99.6711
"Aug-21","7A2E1","Amman Valley Hospital","surgical_acute",3.04,1.35,44.4079
"Sep-21","7A2E1","Amman Valley Hospital","surgical_acute",3.04,0.1,3.2895
"Oct-21","7A2E1","Amman Valley Hospital","surgical_acute",3.04,0.19,6.25
"Nov-21","7A2E1","Amman Valley Hospital","surgical_acute",3.04,0,0
"Dec-21","7A2E1","Amman Valley Hospital","surgical_acute",3.04,0.29,9.5395
"Jan-22","7A2E1","Amman Valley Hospital","surgical_acute",3.04,1.71,56.25
"Feb-22","7A2E1","Amman Valley Hospital","surgical_acute",3.04,0,0
"Mar-22","7A2E1","Amman Valley Hospital","surgical_acute",3.04,0.26,8.5526
"Apr-22","7A2E1","Amman Valley Hospital","surgical_acute",0.55,0.55,100
"May-22","7A2E1","Amman Valley Hospital","surgical_acute",0.55,0.16,29.0909
"Jun-22","7A2E1","Amman Valley Hospital","surgical_acute",0.55,0.07,12.7273
"Jul-22","7A2E1","Amman Valley Hospital","surgical_acute",0.55,0.19,34.5455
"Aug-22","7A2E1","Amman Valley Hospital","surgical_acute",0.55,0.17,30.9091
"Oct-22","7A2E1","Amman Valley Hospital","surgical_acute",0.55,0.06,10.9091
"Dec-22","7A2E1","Amman Valley Hospital","surgical_acute",0.55,0.03,5.4545
"Mar-23","7A2E1","Amman Valley Hospital","surgical_acute",0.03,0.03,100
"Dec-22","7A600","Aneurin Bevan Local Health Board (site unknown)","all_specialties",22.16,14.77,66.6516
"Aug-22","7A600","Aneurin Bevan Local Health Board (site unknown)","all_specialties",3,0,0
"Sep-22","7A600","Aneurin Bevan Local Health Board (site unknown)","all_specialties",5.49,1.16,21.1293
"Oct-22","7A600","Aneurin Bevan Local Health Board (site unknown)","all_specialties",18.87,16.03,84.9497
"Nov-22","7A600","Aneurin Bevan Local Health Board (site unknown)","all_specialties",22,19.54,88.8182
"Dec-22","7A600","Aneurin Bevan Local Health Board (site unknown)","geriatric_medicine",0.16,0.16,104.8583
"Dec-22","7A600","Aneurin Bevan Local Health Board (site unknown)","medical_acute",21.84,14.45,66.163
"Aug-22","7A600","Aneurin Bevan Local Health Board (site unknown)","medical_acute",3,0,0
"Sep-22","7A600","Aneurin Bevan Local Health Board (site unknown)","medical_acute",5.49,1.16,21.1293
"Oct-22","7A600","Aneurin Bevan Local Health Board (site unknown)","medical_acute",18.87,16.03,84.9497
"Nov-22","7A600","Aneurin Bevan Local Health Board (site unknown)","medical_acute",22,19.54,88.8182
"Jan-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,26.479999,88.2667
"Feb-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,26.57,88.5667
"Mar-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,26.320001,87.7333
"Apr-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,25,83.3333
"May-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,26.740001,89.1333
"Jun-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,27.17,90.5667
"Jul-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,27.17,90.5667
"Aug-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,25.38,84.6
"Sep-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",33,26.59,80.5758
"Oct-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",40,34.99,87.475
"Nov-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",40,33.269999,83.175
"Dec-21","7A7BT","Breconshire War Memorial Hospital","all_specialties",44,34.859999,79.2273
"Jan-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",40,36.93,92.325
"Feb-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",40,37.430001,93.575
"Mar-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",40,34.669999,86.675
"Apr-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,26.9,89.6667
"May-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,27.68,92.2667
"Jun-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,27.03,90.1
"Jul-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,25.7,85.6667
"Aug-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,28.1,93.6667
"Sep-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",31,27.7,89.3548
"Oct-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",31,28.22,91.0323
"Nov-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",31,27.47,88.6129
"Dec-22","7A7BT","Breconshire War Memorial Hospital","all_specialties",31,28.2,90.9677
"Jan-23","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,29.66,98.8667
"Feb-23","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,27.46,91.5333
"Mar-23","7A7BT","Breconshire War Memorial Hospital","all_specialties",30,27.64,92.1333
"Jan-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",18,17.9,99.4444
"Feb-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",20,19.68,98.4
"Mar-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",18,17.190001,95.5
"Apr-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",16,15.57,97.3125
"May-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",19,18.190001,95.7368
"Jun-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",17,16.4,96.4706
"Jul-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",17,16.84,99.0588
"Aug-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",15,14.58,97.2
"Sep-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",16,15.53,97.0625
"Oct-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",17,16.059999,94.4706
"Nov-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",18,17.299999,96.1111
"Dec-21","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",16,15.61,97.5625
"Jan-22","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",18,17.9,99.4444
"Feb-22","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",19,18.43,97
"Mar-22","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",19,18.48,97.2632
"Apr-22","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",13,12.9,99.2308
"May-22","7A7BT","Breconshire War Memorial Hospital","geriatric_medicine",13,12.68,97.5385
