"nhs_region20_name","date","year","month","treatment","waits_over_18_weeks","waits_over_52_weeks"
"South East",2019-10-01,2019,"Oct","Oral Surgery",17318,34
"South East",2019-10-01,2019,"Oct","Other",45112,90
"South East",2019-10-01,2019,"Oct","Plastic Surgery",6284,112
"South East",2019-10-01,2019,"Oct","Rheumatology",4830,6
"South East",2019-10-01,2019,"Oct","Thoracic Medicine",3424,8
"South East",2019-10-01,2019,"Oct","Total",371050,1218
"South East",2019-10-01,2019,"Oct","Trauma & Orthopaedics",64184,86
"South East",2019-10-01,2019,"Oct","Urology",25498,268
"South West",2019-10-01,2019,"Oct","Cardiology",14624,238
"South West",2019-10-01,2019,"Oct","Cardiothoracic Surgery",1174,34
"South West",2019-10-01,2019,"Oct","Dermatology",11874,18
"South West",2019-10-01,2019,"Oct","Ear, Nose & Throat (ENT)",19978,124
"South West",2019-10-01,2019,"Oct","Gastroenterology",9980,62
"South West",2019-10-01,2019,"Oct","General Medicine",1008,0
"South West",2019-10-01,2019,"Oct","General Surgery",18058,260
"South West",2019-10-01,2019,"Oct","Geriatric Medicine",380,0
"South West",2019-10-01,2019,"Oct","Gynaecology",18846,98
"South West",2019-10-01,2019,"Oct","Neurology",6568,10
"South West",2019-10-01,2019,"Oct","Neurosurgery",2782,184
"South West",2019-10-01,2019,"Oct","Ophthalmology",34366,44
"South West",2019-10-01,2019,"Oct","Oral Surgery",17914,20
"South West",2019-10-01,2019,"Oct","Other",44482,684
"South West",2019-10-01,2019,"Oct","Plastic Surgery",3690,70
"South West",2019-10-01,2019,"Oct","Rheumatology",3772,8
"South West",2019-10-01,2019,"Oct","Thoracic Medicine",4026,14
"South West",2019-10-01,2019,"Oct","Total",283746,2606
"South West",2019-10-01,2019,"Oct","Trauma & Orthopaedics",54872,586
"South West",2019-10-01,2019,"Oct","Urology",15352,152
"East of England",2019-11-01,2019,"Nov","Cardiology",4443,19
"East of England",2019-11-01,2019,"Nov","Cardiothoracic Surgery",482,0
"East of England",2019-11-01,2019,"Nov","Dermatology",8995,15
"East of England",2019-11-01,2019,"Nov","Ear, Nose & Throat (ENT)",9238,22
"East of England",2019-11-01,2019,"Nov","Gastroenterology",4524,11
"East of England",2019-11-01,2019,"Nov","General Medicine",896,7
"East of England",2019-11-01,2019,"Nov","General Surgery",11377,37
"East of England",2019-11-01,2019,"Nov","Geriatric Medicine",155,0
"East of England",2019-11-01,2019,"Nov","Gynaecology",8183,10
"East of England",2019-11-01,2019,"Nov","Neurology",3354,2
"East of England",2019-11-01,2019,"Nov","Neurosurgery",220,0
"East of England",2019-11-01,2019,"Nov","Ophthalmology",13768,20
"East of England",2019-11-01,2019,"Nov","Oral Surgery",7619,55
"East of England",2019-11-01,2019,"Nov","Other",16610,24
"East of England",2019-11-01,2019,"Nov","Plastic Surgery",1954,0
"East of England",2019-11-01,2019,"Nov","Rheumatology",1840,0
"East of England",2019-11-01,2019,"Nov","Thoracic Medicine",2037,6
"East of England",2019-11-01,2019,"Nov","Total",129764,477
"East of England",2019-11-01,2019,"Nov","Trauma & Orthopaedics",24008,158
"East of England",2019-11-01,2019,"Nov","Urology",10061,91
"London",2019-11-01,2019,"Nov","Cardiology",8142,26
"London",2019-11-01,2019,"Nov","Cardiothoracic Surgery",364,0
"London",2019-11-01,2019,"Nov","Dermatology",7757,26
"London",2019-11-01,2019,"Nov","Ear, Nose & Throat (ENT)",17319,59
"London",2019-11-01,2019,"Nov","Gastroenterology",7576,39
"London",2019-11-01,2019,"Nov","General Medicine",746,2
"London",2019-11-01,2019,"Nov","General Surgery",18290,160
"London",2019-11-01,2019,"Nov","Geriatric Medicine",156,0
"London",2019-11-01,2019,"Nov","Gynaecology",14698,86
"London",2019-11-01,2019,"Nov","Neurology",6700,14
"London",2019-11-01,2019,"Nov","Neurosurgery",3151,11
"London",2019-11-01,2019,"Nov","Ophthalmology",14625,346
"London",2019-11-01,2019,"Nov","Oral Surgery",9323,31
"London",2019-11-01,2019,"Nov","Other",56089,506
"London",2019-11-01,2019,"Nov","Plastic Surgery",3200,15
"London",2019-11-01,2019,"Nov","Rheumatology",3634,6
"London",2019-11-01,2019,"Nov","Thoracic Medicine",3102,13
"London",2019-11-01,2019,"Nov","Total",209826,1716
"London",2019-11-01,2019,"Nov","Trauma & Orthopaedics",24908,355
"London",2019-11-01,2019,"Nov","Urology",10046,21
"Midlands",2019-11-01,2019,"Nov","Cardiology",8376,5
"Midlands",2019-11-01,2019,"Nov","Cardiothoracic Surgery",234,0
"Midlands",2019-11-01,2019,"Nov","Dermatology",10655,0
"Midlands",2019-11-01,2019,"Nov","Ear, Nose & Throat (ENT)",15227,6
"Midlands",2019-11-01,2019,"Nov","Gastroenterology",7472,5
"Midlands",2019-11-01,2019,"Nov","General Medicine",615,0
"Midlands",2019-11-01,2019,"Nov","General Surgery",17352,26
"Midlands",2019-11-01,2019,"Nov","Geriatric Medicine",280,1
"Midlands",2019-11-01,2019,"Nov","Gynaecology",10342,2
"Midlands",2019-11-01,2019,"Nov","Neurology",7341,1
"Midlands",2019-11-01,2019,"Nov","Neurosurgery",2459,3
"Midlands",2019-11-01,2019,"Nov","Ophthalmology",25092,4
"Midlands",2019-11-01,2019,"Nov","Oral Surgery",9602,0
"Midlands",2019-11-01,2019,"Nov","Other",32315,18
"Midlands",2019-11-01,2019,"Nov","Plastic Surgery",2192,0
"Midlands",2019-11-01,2019,"Nov","Rheumatology",3037,9
"Midlands",2019-11-01,2019,"Nov","Thoracic Medicine",4720,2
"Midlands",2019-11-01,2019,"Nov","Total",200680,419
"Midlands",2019-11-01,2019,"Nov","Trauma & Orthopaedics",29417,333
"Midlands",2019-11-01,2019,"Nov","Urology",13952,4
"North East and Yorkshire",2019-11-01,2019,"Nov","Cardiology",6448,11
"North East and Yorkshire",2019-11-01,2019,"Nov","Cardiothoracic Surgery",292,1
"North East and Yorkshire",2019-11-01,2019,"Nov","Dermatology",5232,3
"North East and Yorkshire",2019-11-01,2019,"Nov","Ear, Nose & Throat (ENT)",16151,31
"North East and Yorkshire",2019-11-01,2019,"Nov","Gastroenterology",4497,11
"North East and Yorkshire",2019-11-01,2019,"Nov","General Medicine",1077,2
"North East and Yorkshire",2019-11-01,2019,"Nov","General Surgery",13586,27
"North East and Yorkshire",2019-11-01,2019,"Nov","Geriatric Medicine",340,0
"North East and Yorkshire",2019-11-01,2019,"Nov","Gynaecology",8679,27
"North East and Yorkshire",2019-11-01,2019,"Nov","Neurology",4446,1
"North East and Yorkshire",2019-11-01,2019,"Nov","Neurosurgery",1062,7
"North East and Yorkshire",2019-11-01,2019,"Nov","Ophthalmology",21531,34
"North East and Yorkshire",2019-11-01,2019,"Nov","Oral Surgery",7429,27
"North East and Yorkshire",2019-11-01,2019,"Nov","Other",26216,58
"North East and Yorkshire",2019-11-01,2019,"Nov","Plastic Surgery",6219,24
"North East and Yorkshire",2019-11-01,2019,"Nov","Rheumatology",2751,1
"North East and Yorkshire",2019-11-01,2019,"Nov","Thoracic Medicine",2797,1
"North East and Yorkshire",2019-11-01,2019,"Nov","Total",168186,414
"North East and Yorkshire",2019-11-01,2019,"Nov","Trauma & Orthopaedics",29556,138
"North East and Yorkshire",2019-11-01,2019,"Nov","Urology",9877,10
"North West",2019-11-01,2019,"Nov","Cardiology",4896,1
"North West",2019-11-01,2019,"Nov","Cardiothoracic Surgery",847,0
"North West",2019-11-01,2019,"Nov","Dermatology",7483,1
"North West",2019-11-01,2019,"Nov","Ear, Nose & Throat (ENT)",11858,16
"North West",2019-11-01,2019,"Nov","Gastroenterology",6361,3
"North West",2019-11-01,2019,"Nov","General Medicine",2470,1
"North West",2019-11-01,2019,"Nov","General Surgery",16811,25
"North West",2019-11-01,2019,"Nov","Geriatric Medicine",219,1
"North West",2019-11-01,2019,"Nov","Gynaecology",11622,33
"North West",2019-11-01,2019,"Nov","Neurology",4690,1
"North West",2019-11-01,2019,"Nov","Neurosurgery",2733,3
"North West",2019-11-01,2019,"Nov","Ophthalmology",17755,11
"North West",2019-11-01,2019,"Nov","Oral Surgery",12391,32
"North West",2019-11-01,2019,"Nov","Other",28976,250
"North West",2019-11-01,2019,"Nov","Plastic Surgery",4665,18
"North West",2019-11-01,2019,"Nov","Rheumatology",2242,0
"North West",2019-11-01,2019,"Nov","Thoracic Medicine",2106,0
"North West",2019-11-01,2019,"Nov","Total",169922,420
"North West",2019-11-01,2019,"Nov","Trauma & Orthopaedics",22764,12
"North West",2019-11-01,2019,"Nov","Urology",9033,12
"South East",2019-11-01,2019,"Nov","Cardiology",10966,6
"South East",2019-11-01,2019,"Nov","Cardiothoracic Surgery",352,0
"South East",2019-11-01,2019,"Nov","Dermatology",12752,2
"South East",2019-11-01,2019,"Nov","Ear, Nose & Throat (ENT)",38936,90
"South East",2019-11-01,2019,"Nov","Gastroenterology",16476,44
"South East",2019-11-01,2019,"Nov","General Medicine",1124,0
"South East",2019-11-01,2019,"Nov","General Surgery",31614,210
"South East",2019-11-01,2019,"Nov","Geriatric Medicine",448,0
"South East",2019-11-01,2019,"Nov","Gynaecology",22836,18
"South East",2019-11-01,2019,"Nov","Neurology",11452,6
"South East",2019-11-01,2019,"Nov","Neurosurgery",2474,10
"South East",2019-11-01,2019,"Nov","Ophthalmology",55546,50
"South East",2019-11-01,2019,"Nov","Oral Surgery",16660,32
"South East",2019-11-01,2019,"Nov","Other",44696,68
"South East",2019-11-01,2019,"Nov","Plastic Surgery",6428,138
"South East",2019-11-01,2019,"Nov","Rheumatology",5514,4
"South East",2019-11-01,2019,"Nov","Thoracic Medicine",3354,2
"South East",2019-11-01,2019,"Nov","Total",369548,1108
"South East",2019-11-01,2019,"Nov","Trauma & Orthopaedics",63368,86
"South East",2019-11-01,2019,"Nov","Urology",24552,342
"South West",2019-11-01,2019,"Nov","Cardiology",15030,216
"South West",2019-11-01,2019,"Nov","Cardiothoracic Surgery",982,22
"South West",2019-11-01,2019,"Nov","Dermatology",12884,16
"South West",2019-11-01,2019,"Nov","Ear, Nose & Throat (ENT)",19760,94
"South West",2019-11-01,2019,"Nov","Gastroenterology",9432,30
"South West",2019-11-01,2019,"Nov","General Medicine",1192,4
"South West",2019-11-01,2019,"Nov","General Surgery",17688,296
"South West",2019-11-01,2019,"Nov","Geriatric Medicine",344,0
"South West",2019-11-01,2019,"Nov","Gynaecology",18286,84
"South West",2019-11-01,2019,"Nov","Neurology",6320,10
"South West",2019-11-01,2019,"Nov","Neurosurgery",2756,216
"South West",2019-11-01,2019,"Nov","Ophthalmology",34788,42
"South West",2019-11-01,2019,"Nov","Oral Surgery",18454,48
"South West",2019-11-01,2019,"Nov","Other",45514,656
"South West",2019-11-01,2019,"Nov","Plastic Surgery",3642,52
"South West",2019-11-01,2019,"Nov","Rheumatology",3680,4
"South West",2019-11-01,2019,"Nov","Thoracic Medicine",3964,16
"South West",2019-11-01,2019,"Nov","Total",285832,2472
"South West",2019-11-01,2019,"Nov","Trauma & Orthopaedics",55778,550
"South West",2019-11-01,2019,"Nov","Urology",15338,116
"East of England",2019-12-01,2019,"Dec","Cardiology",4115,16
"East of England",2019-12-01,2019,"Dec","Cardiothoracic Surgery",483,0
"East of England",2019-12-01,2019,"Dec","Dermatology",9419,3
"East of England",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",8919,35
"East of England",2019-12-01,2019,"Dec","Gastroenterology",4651,20
"East of England",2019-12-01,2019,"Dec","General Medicine",922,9
"East of England",2019-12-01,2019,"Dec","General Surgery",11721,60
"East of England",2019-12-01,2019,"Dec","Geriatric Medicine",144,0
"East of England",2019-12-01,2019,"Dec","Gynaecology",8501,30
"East of England",2019-12-01,2019,"Dec","Neurology",3444,5
"East of England",2019-12-01,2019,"Dec","Neurosurgery",220,0
"East of England",2019-12-01,2019,"Dec","Ophthalmology",13558,14
"East of England",2019-12-01,2019,"Dec","Oral Surgery",7404,67
"East of England",2019-12-01,2019,"Dec","Other",16698,43
"East of England",2019-12-01,2019,"Dec","Plastic Surgery",1894,1
"East of England",2019-12-01,2019,"Dec","Rheumatology",1890,0
"East of England",2019-12-01,2019,"Dec","Thoracic Medicine",2051,4
"East of England",2019-12-01,2019,"Dec","Total",130739,580
"East of England",2019-12-01,2019,"Dec","Trauma & Orthopaedics",24947,179
"East of England",2019-12-01,2019,"Dec","Urology",9758,94
"London",2019-12-01,2019,"Dec","Cardiology",8252,28
"London",2019-12-01,2019,"Dec","Cardiothoracic Surgery",376,3
"London",2019-12-01,2019,"Dec","Dermatology",7803,17
"London",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",17489,43
"London",2019-12-01,2019,"Dec","Gastroenterology",7664,46
"London",2019-12-01,2019,"Dec","General Medicine",646,3
"London",2019-12-01,2019,"Dec","General Surgery",18534,138
"London",2019-12-01,2019,"Dec","Geriatric Medicine",221,3
"London",2019-12-01,2019,"Dec","Gynaecology",14993,79
"London",2019-12-01,2019,"Dec","Neurology",6830,10
"London",2019-12-01,2019,"Dec","Neurosurgery",3115,12
"London",2019-12-01,2019,"Dec","Ophthalmology",14054,64
"London",2019-12-01,2019,"Dec","Oral Surgery",9309,37
"London",2019-12-01,2019,"Dec","Other",55468,384
"London",2019-12-01,2019,"Dec","Plastic Surgery",3160,14
"London",2019-12-01,2019,"Dec","Rheumatology",3538,6
"London",2019-12-01,2019,"Dec","Thoracic Medicine",2944,25
"London",2019-12-01,2019,"Dec","Total",209735,1293
"London",2019-12-01,2019,"Dec","Trauma & Orthopaedics",25162,347
"London",2019-12-01,2019,"Dec","Urology",10177,34
"Midlands",2019-12-01,2019,"Dec","Cardiology",8233,1
"Midlands",2019-12-01,2019,"Dec","Cardiothoracic Surgery",235,0
"Midlands",2019-12-01,2019,"Dec","Dermatology",10843,2
"Midlands",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",14585,2
"Midlands",2019-12-01,2019,"Dec","Gastroenterology",7629,4
"Midlands",2019-12-01,2019,"Dec","General Medicine",832,1
"Midlands",2019-12-01,2019,"Dec","General Surgery",17538,12
"Midlands",2019-12-01,2019,"Dec","Geriatric Medicine",282,0
"Midlands",2019-12-01,2019,"Dec","Gynaecology",10545,0
"Midlands",2019-12-01,2019,"Dec","Neurology",7168,2
"Midlands",2019-12-01,2019,"Dec","Neurosurgery",2427,1
"Midlands",2019-12-01,2019,"Dec","Ophthalmology",24399,2
"Midlands",2019-12-01,2019,"Dec","Oral Surgery",8748,0
"Midlands",2019-12-01,2019,"Dec","Other",31737,12
"Midlands",2019-12-01,2019,"Dec","Plastic Surgery",2302,1
"Midlands",2019-12-01,2019,"Dec","Rheumatology",2825,0
"Midlands",2019-12-01,2019,"Dec","Thoracic Medicine",4860,7
"Midlands",2019-12-01,2019,"Dec","Total",199141,337
"Midlands",2019-12-01,2019,"Dec","Trauma & Orthopaedics",29816,286
"Midlands",2019-12-01,2019,"Dec","Urology",14137,4
"North East and Yorkshire",2019-12-01,2019,"Dec","Cardiology",6309,6
"North East and Yorkshire",2019-12-01,2019,"Dec","Cardiothoracic Surgery",248,0
"North East and Yorkshire",2019-12-01,2019,"Dec","Dermatology",5334,1
"North East and Yorkshire",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",15490,19
"North East and Yorkshire",2019-12-01,2019,"Dec","Gastroenterology",4125,9
"North East and Yorkshire",2019-12-01,2019,"Dec","General Medicine",970,4
"North East and Yorkshire",2019-12-01,2019,"Dec","General Surgery",13694,21
"North East and Yorkshire",2019-12-01,2019,"Dec","Geriatric Medicine",312,0
"North East and Yorkshire",2019-12-01,2019,"Dec","Gynaecology",8697,21
"North East and Yorkshire",2019-12-01,2019,"Dec","Neurology",4449,4
"North East and Yorkshire",2019-12-01,2019,"Dec","Neurosurgery",947,5
"North East and Yorkshire",2019-12-01,2019,"Dec","Ophthalmology",20923,24
"North East and Yorkshire",2019-12-01,2019,"Dec","Oral Surgery",7478,7
"North East and Yorkshire",2019-12-01,2019,"Dec","Other",25622,50
"North East and Yorkshire",2019-12-01,2019,"Dec","Plastic Surgery",6466,18
"North East and Yorkshire",2019-12-01,2019,"Dec","Rheumatology",2554,0
"North East and Yorkshire",2019-12-01,2019,"Dec","Thoracic Medicine",2839,5
"North East and Yorkshire",2019-12-01,2019,"Dec","Total",166532,366
"North East and Yorkshire",2019-12-01,2019,"Dec","Trauma & Orthopaedics",30216,167
"North East and Yorkshire",2019-12-01,2019,"Dec","Urology",9859,5
"North West",2019-12-01,2019,"Dec","Cardiology",4772,3
"North West",2019-12-01,2019,"Dec","Cardiothoracic Surgery",853,0
"North West",2019-12-01,2019,"Dec","Dermatology",7572,0
"North West",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",11671,12
"North West",2019-12-01,2019,"Dec","Gastroenterology",6689,2
"North West",2019-12-01,2019,"Dec","General Medicine",2697,0
"North West",2019-12-01,2019,"Dec","General Surgery",17573,30
"North West",2019-12-01,2019,"Dec","Geriatric Medicine",183,0
"North West",2019-12-01,2019,"Dec","Gynaecology",11577,26
"North West",2019-12-01,2019,"Dec","Neurology",4501,0
"North West",2019-12-01,2019,"Dec","Neurosurgery",2683,1
"North West",2019-12-01,2019,"Dec","Ophthalmology",17369,9
"North West",2019-12-01,2019,"Dec","Oral Surgery",12126,31
"North West",2019-12-01,2019,"Dec","Other",27860,186
"North West",2019-12-01,2019,"Dec","Plastic Surgery",4724,36
"North West",2019-12-01,2019,"Dec","Rheumatology",1956,1
"North West",2019-12-01,2019,"Dec","Thoracic Medicine",2047,4
"North West",2019-12-01,2019,"Dec","Total",169272,361
"North West",2019-12-01,2019,"Dec","Trauma & Orthopaedics",22967,8
"North West",2019-12-01,2019,"Dec","Urology",9452,12
"South East",2019-12-01,2019,"Dec","Cardiology",10620,4
"South East",2019-12-01,2019,"Dec","Cardiothoracic Surgery",346,0
"South East",2019-12-01,2019,"Dec","Dermatology",13200,8
"South East",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",38590,104
"South East",2019-12-01,2019,"Dec","Gastroenterology",16242,24
"South East",2019-12-01,2019,"Dec","General Medicine",1082,0
"South East",2019-12-01,2019,"Dec","General Surgery",31412,148
"South East",2019-12-01,2019,"Dec","Geriatric Medicine",488,0
"South East",2019-12-01,2019,"Dec","Gynaecology",22624,46
"South East",2019-12-01,2019,"Dec","Neurology",11388,8
"South East",2019-12-01,2019,"Dec","Neurosurgery",2430,8
"South East",2019-12-01,2019,"Dec","Ophthalmology",54300,42
"South East",2019-12-01,2019,"Dec","Oral Surgery",16186,38
"South East",2019-12-01,2019,"Dec","Other",42902,68
"South East",2019-12-01,2019,"Dec","Plastic Surgery",6346,110
"South East",2019-12-01,2019,"Dec","Rheumatology",5114,0
"South East",2019-12-01,2019,"Dec","Thoracic Medicine",3516,2
"South East",2019-12-01,2019,"Dec","Total",366166,1056
"South East",2019-12-01,2019,"Dec","Trauma & Orthopaedics",65998,82
"South East",2019-12-01,2019,"Dec","Urology",23382,364
"South West",2019-12-01,2019,"Dec","Cardiology",14314,138
"South West",2019-12-01,2019,"Dec","Cardiothoracic Surgery",1030,22
"South West",2019-12-01,2019,"Dec","Dermatology",12780,6
"South West",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",18898,56
"South West",2019-12-01,2019,"Dec","Gastroenterology",8924,20
"South West",2019-12-01,2019,"Dec","General Medicine",1284,0
"South West",2019-12-01,2019,"Dec","General Surgery",17566,216
"South West",2019-12-01,2019,"Dec","Geriatric Medicine",368,0
"South West",2019-12-01,2019,"Dec","Gynaecology",17512,72
"South West",2019-12-01,2019,"Dec","Neurology",6136,14
"South West",2019-12-01,2019,"Dec","Neurosurgery",2864,218
"South West",2019-12-01,2019,"Dec","Ophthalmology",34084,30
"South West",2019-12-01,2019,"Dec","Oral Surgery",17774,42
"South West",2019-12-01,2019,"Dec","Other",44384,724
"South West",2019-12-01,2019,"Dec","Plastic Surgery",3752,48
"South West",2019-12-01,2019,"Dec","Rheumatology",3540,0
"South West",2019-12-01,2019,"Dec","Thoracic Medicine",3444,12
"South West",2019-12-01,2019,"Dec","Total",279734,2270
"South West",2019-12-01,2019,"Dec","Trauma & Orthopaedics",55656,520
"South West",2019-12-01,2019,"Dec","Urology",15424,132
"East of England",2020-01-01,2020,"Jan","Cardiology",4499,12
