"lhb22_code","lhb22_name","date","pathway_stage","waits_over_18_weeks","waits_over_53_weeks"
"W11000031","Swansea Bay University Health Board",2019-05-01,"Waiting for new OP appointment",4851,NA
"W11000023","Betsi Cadwaladr University LHB",2019-06-01,"Waiting for new OP appointment",13858,87
"W11000025","Hywel Dda LHB",2019-06-01,"Waiting for new OP appointment",8340,NA
"W11000024","Powys Teaching LHB",2019-06-01,"Waiting for new OP appointment",132,NA
"W11000028","Aneurin Bevan LHB",2019-06-01,"Waiting for new OP appointment",12907,NA
"W11000029","Cardiff and Vale University LHB",2019-06-01,"Waiting for new OP appointment",14339,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-06-01,"Waiting for new OP appointment",8347,NA
"W11000031","Swansea Bay University Health Board",2019-06-01,"Waiting for new OP appointment",5351,1
"W11000023","Betsi Cadwaladr University LHB",2019-07-01,"Waiting for new OP appointment",15105,86
"W11000030","Cwm Taf Morgannwg University Health Board",2019-07-01,"Waiting for new OP appointment",8854,48
"W11000024","Powys Teaching LHB",2019-07-01,"Waiting for new OP appointment",162,NA
"W11000025","Hywel Dda LHB",2019-07-01,"Waiting for new OP appointment",9181,NA
"W11000028","Aneurin Bevan LHB",2019-07-01,"Waiting for new OP appointment",13968,NA
"W11000031","Swansea Bay University Health Board",2019-07-01,"Waiting for new OP appointment",5569,1
"W11000029","Cardiff and Vale University LHB",2019-07-01,"Waiting for new OP appointment",14375,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-08-01,"Waiting for new OP appointment",10299,92
"W11000023","Betsi Cadwaladr University LHB",2019-08-01,"Waiting for new OP appointment",16753,135
"W11000025","Hywel Dda LHB",2019-08-01,"Waiting for new OP appointment",9894,NA
"W11000024","Powys Teaching LHB",2019-08-01,"Waiting for new OP appointment",165,NA
"W11000028","Aneurin Bevan LHB",2019-08-01,"Waiting for new OP appointment",15519,3
"W11000029","Cardiff and Vale University LHB",2019-08-01,"Waiting for new OP appointment",15116,NA
"W11000031","Swansea Bay University Health Board",2019-08-01,"Waiting for new OP appointment",6374,NA
"W11000023","Betsi Cadwaladr University LHB",2019-09-01,"Waiting for new OP appointment",17642,228
"W11000025","Hywel Dda LHB",2019-09-01,"Waiting for new OP appointment",9876,NA
"W11000024","Powys Teaching LHB",2019-09-01,"Waiting for new OP appointment",143,NA
"W11000028","Aneurin Bevan LHB",2019-09-01,"Waiting for new OP appointment",14983,NA
"W11000029","Cardiff and Vale University LHB",2019-09-01,"Waiting for new OP appointment",15337,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-09-01,"Waiting for new OP appointment",10444,21
"W11000031","Swansea Bay University Health Board",2019-09-01,"Waiting for new OP appointment",6357,NA
"W11000023","Betsi Cadwaladr University LHB",2019-10-01,"Waiting for new OP appointment",17998,366
"W11000028","Aneurin Bevan LHB",2019-10-01,"Waiting for new OP appointment",14729,4
"W11000025","Hywel Dda LHB",2019-10-01,"Waiting for new OP appointment",9714,NA
"W11000024","Powys Teaching LHB",2019-10-01,"Waiting for new OP appointment",132,NA
"W11000029","Cardiff and Vale University LHB",2019-10-01,"Waiting for new OP appointment",15523,2
"W11000030","Cwm Taf Morgannwg University Health Board",2019-10-01,"Waiting for new OP appointment",10897,104
"W11000031","Swansea Bay University Health Board",2019-10-01,"Waiting for new OP appointment",6296,NA
"W11000023","Betsi Cadwaladr University LHB",2019-11-01,"Waiting for new OP appointment",18485,529
"W11000029","Cardiff and Vale University LHB",2019-11-01,"Waiting for new OP appointment",15559,7
"W11000025","Hywel Dda LHB",2019-11-01,"Waiting for new OP appointment",9396,NA
"W11000024","Powys Teaching LHB",2019-11-01,"Waiting for new OP appointment",85,NA
"W11000028","Aneurin Bevan LHB",2019-11-01,"Waiting for new OP appointment",14768,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-11-01,"Waiting for new OP appointment",11197,214
"W11000031","Swansea Bay University Health Board",2019-11-01,"Waiting for new OP appointment",6627,1
"W11000023","Betsi Cadwaladr University LHB",2019-12-01,"Waiting for new OP appointment",18582,672
"W11000025","Hywel Dda LHB",2019-12-01,"Waiting for new OP appointment",9126,NA
"W11000031","Swansea Bay University Health Board",2019-12-01,"Waiting for new OP appointment",7332,NA
"W11000024","Powys Teaching LHB",2019-12-01,"Waiting for new OP appointment",139,NA
"W11000028","Aneurin Bevan LHB",2019-12-01,"Waiting for new OP appointment",13728,1
"W11000029","Cardiff and Vale University LHB",2019-12-01,"Waiting for new OP appointment",15803,20
"W11000030","Cwm Taf Morgannwg University Health Board",2019-12-01,"Waiting for new OP appointment",11714,393
"W11000023","Betsi Cadwaladr University LHB",2020-01-01,"Waiting for new OP appointment",18376,564
"W11000025","Hywel Dda LHB",2020-01-01,"Waiting for new OP appointment",9049,1
"W11000024","Powys Teaching LHB",2020-01-01,"Waiting for new OP appointment",122,NA
"W11000028","Aneurin Bevan LHB",2020-01-01,"Waiting for new OP appointment",12330,7
"W11000029","Cardiff and Vale University LHB",2020-01-01,"Waiting for new OP appointment",16084,40
"W11000030","Cwm Taf Morgannwg University Health Board",2020-01-01,"Waiting for new OP appointment",11503,500
"W11000031","Swansea Bay University Health Board",2020-01-01,"Waiting for new OP appointment",7048,3
"W11000023","Betsi Cadwaladr University LHB",2020-02-01,"Waiting for new OP appointment",17141,543
"W11000029","Cardiff and Vale University LHB",2020-02-01,"Waiting for new OP appointment",16395,77
"W11000025","Hywel Dda LHB",2020-02-01,"Waiting for new OP appointment",8376,NA
"W11000024","Powys Teaching LHB",2020-02-01,"Waiting for new OP appointment",158,NA
"W11000028","Aneurin Bevan LHB",2020-02-01,"Waiting for new OP appointment",12890,8
"W11000030","Cwm Taf Morgannwg University Health Board",2020-02-01,"Waiting for new OP appointment",10977,600
"W11000031","Swansea Bay University Health Board",2020-02-01,"Waiting for new OP appointment",7326,10
"W11000023","Betsi Cadwaladr University LHB",2020-03-01,"Waiting for new OP appointment",18151,572
"W11000029","Cardiff and Vale University LHB",2020-03-01,"Waiting for new OP appointment",18367,124
"W11000025","Hywel Dda LHB",2020-03-01,"Waiting for new OP appointment",9440,2
"W11000031","Swansea Bay University Health Board",2020-03-01,"Waiting for new OP appointment",9558,7
"W11000024","Powys Teaching LHB",2020-03-01,"Waiting for new OP appointment",305,NA
"W11000028","Aneurin Bevan LHB",2020-03-01,"Waiting for new OP appointment",14922,13
"W11000030","Cwm Taf Morgannwg University Health Board",2020-03-01,"Waiting for new OP appointment",12313,739
"W11000023","Betsi Cadwaladr University LHB",2020-04-01,"Waiting for new OP appointment",22326,1004
"W11000029","Cardiff and Vale University LHB",2020-04-01,"Waiting for new OP appointment",23289,181
"W11000031","Swansea Bay University Health Board",2020-04-01,"Waiting for new OP appointment",13435,22
"W11000025","Hywel Dda LHB",2020-04-01,"Waiting for new OP appointment",12608,3
"W11000024","Powys Teaching LHB",2020-04-01,"Waiting for new OP appointment",616,NA
"W11000028","Aneurin Bevan LHB",2020-04-01,"Waiting for new OP appointment",19810,20
"W11000030","Cwm Taf Morgannwg University Health Board",2020-04-01,"Waiting for new OP appointment",16422,941
"W11000023","Betsi Cadwaladr University LHB",2020-05-01,"Waiting for new OP appointment",26011,1613
"W11000029","Cardiff and Vale University LHB",2020-05-01,"Waiting for new OP appointment",27649,334
"W11000025","Hywel Dda LHB",2020-05-01,"Waiting for new OP appointment",16039,9
"W11000024","Powys Teaching LHB",2020-05-01,"Waiting for new OP appointment",937,NA
"W11000028","Aneurin Bevan LHB",2020-05-01,"Waiting for new OP appointment",23811,47
"W11000030","Cwm Taf Morgannwg University Health Board",2020-05-01,"Waiting for new OP appointment",20794,1153
"W11000031","Swansea Bay University Health Board",2020-05-01,"Waiting for new OP appointment",17201,42
"W11000023","Betsi Cadwaladr University LHB",2020-06-01,"Waiting for new OP appointment",30809,2252
"W11000029","Cardiff and Vale University LHB",2020-06-01,"Waiting for new OP appointment",33429,592
"W11000024","Powys Teaching LHB",2020-06-01,"Waiting for new OP appointment",1384,NA
"W11000025","Hywel Dda LHB",2020-06-01,"Waiting for new OP appointment",21803,35
"W11000028","Aneurin Bevan LHB",2020-06-01,"Waiting for new OP appointment",29168,92
"W11000030","Cwm Taf Morgannwg University Health Board",2020-06-01,"Waiting for new OP appointment",26782,1353
"W11000031","Swansea Bay University Health Board",2020-06-01,"Waiting for new OP appointment",21883,67
"W11000023","Betsi Cadwaladr University LHB",2020-07-01,"Waiting for new OP appointment",36606,3738
"W11000029","Cardiff and Vale University LHB",2020-07-01,"Waiting for new OP appointment",37927,1403
"W11000025","Hywel Dda LHB",2020-07-01,"Waiting for new OP appointment",27136,88
"W11000024","Powys Teaching LHB",2020-07-01,"Waiting for new OP appointment",1841,NA
"W11000028","Aneurin Bevan LHB",2020-07-01,"Waiting for new OP appointment",33795,186
"W11000030","Cwm Taf Morgannwg University Health Board",2020-07-01,"Waiting for new OP appointment",32558,1706
"W11000031","Swansea Bay University Health Board",2020-07-01,"Waiting for new OP appointment",25757,154
"W11000023","Betsi Cadwaladr University LHB",2020-08-01,"Waiting for new OP appointment",36641,5406
"W11000029","Cardiff and Vale University LHB",2020-08-01,"Waiting for new OP appointment",37063,3018
"W11000025","Hywel Dda LHB",2020-08-01,"Waiting for new OP appointment",26137,413
"W11000031","Swansea Bay University Health Board",2020-08-01,"Waiting for new OP appointment",25656,349
"W11000024","Powys Teaching LHB",2020-08-01,"Waiting for new OP appointment",1700,1
"W11000028","Aneurin Bevan LHB",2020-08-01,"Waiting for new OP appointment",33232,822
"W11000030","Cwm Taf Morgannwg University Health Board",2020-08-01,"Waiting for new OP appointment",32322,2624
"W11000023","Betsi Cadwaladr University LHB",2020-09-01,"Waiting for new OP appointment",35979,7255
"W11000030","Cwm Taf Morgannwg University Health Board",2020-09-01,"Waiting for new OP appointment",30758,3974
"W11000029","Cardiff and Vale University LHB",2020-09-01,"Waiting for new OP appointment",35295,4980
"W11000031","Swansea Bay University Health Board",2020-09-01,"Waiting for new OP appointment",24919,976
"W11000025","Hywel Dda LHB",2020-09-01,"Waiting for new OP appointment",24428,1775
"W11000024","Powys Teaching LHB",2020-09-01,"Waiting for new OP appointment",1524,9
"W11000028","Aneurin Bevan LHB",2020-09-01,"Waiting for new OP appointment",31865,2602
"W11000023","Betsi Cadwaladr University LHB",2020-10-01,"Waiting for new OP appointment",35981,9927
"W11000029","Cardiff and Vale University LHB",2020-10-01,"Waiting for new OP appointment",32408,6963
"W11000030","Cwm Taf Morgannwg University Health Board",2020-10-01,"Waiting for new OP appointment",30224,5920
"W11000031","Swansea Bay University Health Board",2020-10-01,"Waiting for new OP appointment",24696,2858
"W11000025","Hywel Dda LHB",2020-10-01,"Waiting for new OP appointment",23388,3483
"W11000024","Powys Teaching LHB",2020-10-01,"Waiting for new OP appointment",1367,45
"W11000028","Aneurin Bevan LHB",2020-10-01,"Waiting for new OP appointment",31694,5412
"W11000023","Betsi Cadwaladr University LHB",2020-11-01,"Waiting for new OP appointment",36114,12263
"W11000029","Cardiff and Vale University LHB",2020-11-01,"Waiting for new OP appointment",31022,8560
"W11000030","Cwm Taf Morgannwg University Health Board",2020-11-01,"Waiting for new OP appointment",30104,7778
"W11000025","Hywel Dda LHB",2020-11-01,"Waiting for new OP appointment",22289,4740
"W11000024","Powys Teaching LHB",2020-11-01,"Waiting for new OP appointment",1162,84
"W11000028","Aneurin Bevan LHB",2020-11-01,"Waiting for new OP appointment",31754,7572
"W11000031","Swansea Bay University Health Board",2020-11-01,"Waiting for new OP appointment",24868,5060
"W11000023","Betsi Cadwaladr University LHB",2020-12-01,"Waiting for new OP appointment",37218,15046
"W11000028","Aneurin Bevan LHB",2020-12-01,"Waiting for new OP appointment",33345,10255
"W11000030","Cwm Taf Morgannwg University Health Board",2020-12-01,"Waiting for new OP appointment",31893,10023
"W11000029","Cardiff and Vale University LHB",2020-12-01,"Waiting for new OP appointment",30990,10275
"W11000025","Hywel Dda LHB",2020-12-01,"Waiting for new OP appointment",22961,6247
"W11000024","Powys Teaching LHB",2020-12-01,"Waiting for new OP appointment",1145,173
"W11000031","Swansea Bay University Health Board",2020-12-01,"Waiting for new OP appointment",26172,7380
"W11000023","Betsi Cadwaladr University LHB",2021-01-01,"Waiting for new OP appointment",38304,17341
"W11000028","Aneurin Bevan LHB",2021-01-01,"Waiting for new OP appointment",35165,12748
"W11000030","Cwm Taf Morgannwg University Health Board",2021-01-01,"Waiting for new OP appointment",34147,12516
"W11000029","Cardiff and Vale University LHB",2021-01-01,"Waiting for new OP appointment",31156,11799
"W11000031","Swansea Bay University Health Board",2021-01-01,"Waiting for new OP appointment",26505,8741
"W11000024","Powys Teaching LHB",2021-01-01,"Waiting for new OP appointment",999,196
"W11000025","Hywel Dda LHB",2021-01-01,"Waiting for new OP appointment",24302,7817
"W11000023","Betsi Cadwaladr University LHB",2021-02-01,"Waiting for new OP appointment",38897,20447
"W11000028","Aneurin Bevan LHB",2021-02-01,"Waiting for new OP appointment",36200,15499
"W11000029","Cardiff and Vale University LHB",2021-02-01,"Waiting for new OP appointment",30727,13943
"W11000030","Cwm Taf Morgannwg University Health Board",2021-02-01,"Waiting for new OP appointment",35457,15659
"W11000025","Hywel Dda LHB",2021-02-01,"Waiting for new OP appointment",25466,9823
"W11000031","Swansea Bay University Health Board",2021-02-01,"Waiting for new OP appointment",26702,10490
"W11000024","Powys Teaching LHB",2021-02-01,"Waiting for new OP appointment",882,238
"W11000023","Betsi Cadwaladr University LHB",2021-03-01,"Waiting for new OP appointment",39725,23365
"W11000028","Aneurin Bevan LHB",2021-03-01,"Waiting for new OP appointment",36596,17878
"W11000030","Cwm Taf Morgannwg University Health Board",2021-03-01,"Waiting for new OP appointment",36259,18176
"W11000029","Cardiff and Vale University LHB",2021-03-01,"Waiting for new OP appointment",30650,15928
"W11000025","Hywel Dda LHB",2021-03-01,"Waiting for new OP appointment",25839,10955
"W11000031","Swansea Bay University Health Board",2021-03-01,"Waiting for new OP appointment",27289,12357
"W11000024","Powys Teaching LHB",2021-03-01,"Waiting for new OP appointment",862,313
"W11000023","Betsi Cadwaladr University LHB",2021-04-01,"Waiting for new OP appointment",41629,23567
"W11000025","Hywel Dda LHB",2021-04-01,"Waiting for new OP appointment",26416,10813
"W11000028","Aneurin Bevan LHB",2021-04-01,"Waiting for new OP appointment",37852,17590
"W11000029","Cardiff and Vale University LHB",2021-04-01,"Waiting for new OP appointment",31639,15731
"W11000030","Cwm Taf Morgannwg University Health Board",2021-04-01,"Waiting for new OP appointment",37434,18042
"W11000031","Swansea Bay University Health Board",2021-04-01,"Waiting for new OP appointment",27934,11838
"W11000024","Powys Teaching LHB",2021-04-01,"Waiting for new OP appointment",796,231
"W11000023","Betsi Cadwaladr University LHB",2021-05-01,"Waiting for new OP appointment",42164,23463
"W11000025","Hywel Dda LHB",2021-05-01,"Waiting for new OP appointment",25899,10681
"W11000029","Cardiff and Vale University LHB",2021-05-01,"Waiting for new OP appointment",31502,15335
"W11000028","Aneurin Bevan LHB",2021-05-01,"Waiting for new OP appointment",37539,17103
"W11000030","Cwm Taf Morgannwg University Health Board",2021-05-01,"Waiting for new OP appointment",36810,17443
"W11000031","Swansea Bay University Health Board",2021-05-01,"Waiting for new OP appointment",27980,11576
"W11000024","Powys Teaching LHB",2021-05-01,"Waiting for new OP appointment",762,191
"W11000023","Betsi Cadwaladr University LHB",2021-06-01,"Waiting for new OP appointment",43275,23449
"W11000029","Cardiff and Vale University LHB",2021-06-01,"Waiting for new OP appointment",32080,15146
"W11000025","Hywel Dda LHB",2021-06-01,"Waiting for new OP appointment",26087,10798
"W11000028","Aneurin Bevan LHB",2021-06-01,"Waiting for new OP appointment",38066,16624
"W11000030","Cwm Taf Morgannwg University Health Board",2021-06-01,"Waiting for new OP appointment",36823,17060
"W11000031","Swansea Bay University Health Board",2021-06-01,"Waiting for new OP appointment",28114,10921
"W11000024","Powys Teaching LHB",2021-06-01,"Waiting for new OP appointment",707,137
"W11000023","Betsi Cadwaladr University LHB",2021-07-01,"Waiting for new OP appointment",45217,23750
"W11000029","Cardiff and Vale University LHB",2021-07-01,"Waiting for new OP appointment",33941,15550
"W11000025","Hywel Dda LHB",2021-07-01,"Waiting for new OP appointment",27136,11141
"W11000030","Cwm Taf Morgannwg University Health Board",2021-07-01,"Waiting for new OP appointment",37914,17418
"W11000028","Aneurin Bevan LHB",2021-07-01,"Waiting for new OP appointment",39784,16970
"W11000031","Swansea Bay University Health Board",2021-07-01,"Waiting for new OP appointment",29149,11175
"W11000024","Powys Teaching LHB",2021-07-01,"Waiting for new OP appointment",736,91
"W11000023","Betsi Cadwaladr University LHB",2021-08-01,"Waiting for new OP appointment",46309,24032
"W11000025","Hywel Dda LHB",2021-08-01,"Waiting for new OP appointment",28020,11610
"W11000028","Aneurin Bevan LHB",2021-08-01,"Waiting for new OP appointment",41821,17628
"W11000029","Cardiff and Vale University LHB",2021-08-01,"Waiting for new OP appointment",35654,16119
"W11000030","Cwm Taf Morgannwg University Health Board",2021-08-01,"Waiting for new OP appointment",39243,18295
"W11000031","Swansea Bay University Health Board",2021-08-01,"Waiting for new OP appointment",29659,11126
"W11000024","Powys Teaching LHB",2021-08-01,"Waiting for new OP appointment",807,86
"W11000023","Betsi Cadwaladr University LHB",2021-09-01,"Waiting for new OP appointment",47925,24136
"W11000025","Hywel Dda LHB",2021-09-01,"Waiting for new OP appointment",29417,12066
"W11000028","Aneurin Bevan LHB",2021-09-01,"Waiting for new OP appointment",43019,17352
"W11000030","Cwm Taf Morgannwg University Health Board",2021-09-01,"Waiting for new OP appointment",41137,19314
"W11000031","Swansea Bay University Health Board",2021-09-01,"Waiting for new OP appointment",30412,11556
"W11000029","Cardiff and Vale University LHB",2021-09-01,"Waiting for new OP appointment",36314,15531
"W11000024","Powys Teaching LHB",2021-09-01,"Waiting for new OP appointment",803,49
"W11000023","Betsi Cadwaladr University LHB",2021-10-01,"Waiting for new OP appointment",49325,24464
"W11000025","Hywel Dda LHB",2021-10-01,"Waiting for new OP appointment",29884,12313
"W11000028","Aneurin Bevan LHB",2021-10-01,"Waiting for new OP appointment",42731,16118
"W11000029","Cardiff and Vale University LHB",2021-10-01,"Waiting for new OP appointment",37633,15984
"W11000030","Cwm Taf Morgannwg University Health Board",2021-10-01,"Waiting for new OP appointment",42140,19988
"W11000031","Swansea Bay University Health Board",2021-10-01,"Waiting for new OP appointment",31009,12270
"W11000024","Powys Teaching LHB",2021-10-01,"Waiting for new OP appointment",788,30
"W11000023","Betsi Cadwaladr University LHB",2021-11-01,"Waiting for new OP appointment",49948,24123
"W11000025","Hywel Dda LHB",2021-11-01,"Waiting for new OP appointment",28701,12191
"W11000030","Cwm Taf Morgannwg University Health Board",2021-11-01,"Waiting for new OP appointment",42406,20287
"W11000031","Swansea Bay University Health Board",2021-11-01,"Waiting for new OP appointment",31073,12372
"W11000028","Aneurin Bevan LHB",2021-11-01,"Waiting for new OP appointment",41427,14146
"W11000029","Cardiff and Vale University LHB",2021-11-01,"Waiting for new OP appointment",38534,16143
"W11000024","Powys Teaching LHB",2021-11-01,"Waiting for new OP appointment",538,7
"W11000023","Betsi Cadwaladr University LHB",2021-12-01,"Waiting for new OP appointment",51039,23756
"W11000025","Hywel Dda LHB",2021-12-01,"Waiting for new OP appointment",28521,12328
"W11000028","Aneurin Bevan LHB",2021-12-01,"Waiting for new OP appointment",40778,12604
"W11000029","Cardiff and Vale University LHB",2021-12-01,"Waiting for new OP appointment",38378,14861
"W11000030","Cwm Taf Morgannwg University Health Board",2021-12-01,"Waiting for new OP appointment",43214,20416
"W11000031","Swansea Bay University Health Board",2021-12-01,"Waiting for new OP appointment",31917,12326
"W11000024","Powys Teaching LHB",2021-12-01,"Waiting for new OP appointment",506,NA
"W11000023","Betsi Cadwaladr University LHB",2022-01-01,"Waiting for new OP appointment",51690,23076
"W11000025","Hywel Dda LHB",2022-01-01,"Waiting for new OP appointment",29129,12690
"W11000028","Aneurin Bevan LHB",2022-01-01,"Waiting for new OP appointment",40389,11713
"W11000029","Cardiff and Vale University LHB",2022-01-01,"Waiting for new OP appointment",38570,14256
"W11000030","Cwm Taf Morgannwg University Health Board",2022-01-01,"Waiting for new OP appointment",43396,20023
"W11000031","Swansea Bay University Health Board",2022-01-01,"Waiting for new OP appointment",31551,12124
"W11000024","Powys Teaching LHB",2022-01-01,"Waiting for new OP appointment",428,1
"W11000023","Betsi Cadwaladr University LHB",2022-02-01,"Waiting for new OP appointment",52766,23407
"W11000025","Hywel Dda LHB",2022-02-01,"Waiting for new OP appointment",29388,12738
"W11000031","Swansea Bay University Health Board",2022-02-01,"Waiting for new OP appointment",31149,12051
"W11000028","Aneurin Bevan LHB",2022-02-01,"Waiting for new OP appointment",39648,10348
"W11000029","Cardiff and Vale University LHB",2022-02-01,"Waiting for new OP appointment",39522,14809
"W11000030","Cwm Taf Morgannwg University Health Board",2022-02-01,"Waiting for new OP appointment",42019,18776
"W11000024","Powys Teaching LHB",2022-02-01,"Waiting for new OP appointment",329,1
"W11000023","Betsi Cadwaladr University LHB",2022-03-01,"Waiting for new OP appointment",53404,23809
"W11000025","Hywel Dda LHB",2022-03-01,"Waiting for new OP appointment",29447,12852
"W11000028","Aneurin Bevan LHB",2022-03-01,"Waiting for new OP appointment",37659,8071
"W11000029","Cardiff and Vale University LHB",2022-03-01,"Waiting for new OP appointment",40117,15215
"W11000030","Cwm Taf Morgannwg University Health Board",2022-03-01,"Waiting for new OP appointment",41971,18965
"W11000031","Swansea Bay University Health Board",2022-03-01,"Waiting for new OP appointment",30341,12223
"W11000024","Powys Teaching LHB",2022-03-01,"Waiting for new OP appointment",351,NA
"W11000023","Betsi Cadwaladr University LHB",2022-04-01,"Waiting for new OP appointment",54514,24223
"W11000025","Hywel Dda LHB",2022-04-01,"Waiting for new OP appointment",30208,13351
"W11000028","Aneurin Bevan LHB",2022-04-01,"Waiting for new OP appointment",38948,8435
"W11000029","Cardiff and Vale University LHB",2022-04-01,"Waiting for new OP appointment",40103,15221
"W11000031","Swansea Bay University Health Board",2022-04-01,"Waiting for new OP appointment",31113,12807
"W11000030","Cwm Taf Morgannwg University Health Board",2022-04-01,"Waiting for new OP appointment",42528,19040
"W11000024","Powys Teaching LHB",2022-04-01,"Waiting for new OP appointment",427,NA
"W11000023","Betsi Cadwaladr University LHB",2022-05-01,"Waiting for new OP appointment",52918,24405
"W11000025","Hywel Dda LHB",2022-05-01,"Waiting for new OP appointment",30614,13852
"W11000029","Cardiff and Vale University LHB",2022-05-01,"Waiting for new OP appointment",38985,15560
"W11000028","Aneurin Bevan LHB",2022-05-01,"Waiting for new OP appointment",37735,8736
"W11000030","Cwm Taf Morgannwg University Health Board",2022-05-01,"Waiting for new OP appointment",41606,19454
"W11000031","Swansea Bay University Health Board",2022-05-01,"Waiting for new OP appointment",31343,13713
"W11000024","Powys Teaching LHB",2022-05-01,"Waiting for new OP appointment",448,NA
"W11000023","Betsi Cadwaladr University LHB",2022-06-01,"Waiting for new OP appointment",53866,24641
"W11000025","Hywel Dda LHB",2022-06-01,"Waiting for new OP appointment",31768,14114
"W11000028","Aneurin Bevan LHB",2022-06-01,"Waiting for new OP appointment",38688,9000
"W11000029","Cardiff and Vale University LHB",2022-06-01,"Waiting for new OP appointment",40236,15940
"W11000030","Cwm Taf Morgannwg University Health Board",2022-06-01,"Waiting for new OP appointment",42005,19684
"W11000031","Swansea Bay University Health Board",2022-06-01,"Waiting for new OP appointment",32289,14503
"W11000024","Powys Teaching LHB",2022-06-01,"Waiting for new OP appointment",497,NA
"W11000023","Betsi Cadwaladr University LHB",2022-07-01,"Waiting for new OP appointment",55498,25379
"W11000025","Hywel Dda LHB",2022-07-01,"Waiting for new OP appointment",32642,14168
"W11000028","Aneurin Bevan LHB",2022-07-01,"Waiting for new OP appointment",40200,9783
"W11000029","Cardiff and Vale University LHB",2022-07-01,"Waiting for new OP appointment",41692,16235
"W11000030","Cwm Taf Morgannwg University Health Board",2022-07-01,"Waiting for new OP appointment",43506,20637
"W11000031","Swansea Bay University Health Board",2022-07-01,"Waiting for new OP appointment",33027,14904
"W11000024","Powys Teaching LHB",2022-07-01,"Waiting for new OP appointment",528,NA
"W11000023","Betsi Cadwaladr University LHB",2022-08-01,"Waiting for new OP appointment",56740,26515
"W11000025","Hywel Dda LHB",2022-08-01,"Waiting for new OP appointment",32703,13822
"W11000028","Aneurin Bevan LHB",2022-08-01,"Waiting for new OP appointment",40886,10242
"W11000029","Cardiff and Vale University LHB",2022-08-01,"Waiting for new OP appointment",40897,15962
