"nhs_region20_name","date","year","month","treatment","waits_over_18_weeks","waits_over_52_weeks"
"London",2019-12-01,2019,"Dec","Thoracic Medicine",2944,25
"London",2019-12-01,2019,"Dec","Total",209735,1293
"London",2019-12-01,2019,"Dec","Trauma & Orthopaedics",25162,347
"London",2019-12-01,2019,"Dec","Urology",10177,34
"Midlands",2019-12-01,2019,"Dec","Cardiology",8233,1
"Midlands",2019-12-01,2019,"Dec","Cardiothoracic Surgery",235,0
"Midlands",2019-12-01,2019,"Dec","Dermatology",10843,2
"Midlands",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",14585,2
"Midlands",2019-12-01,2019,"Dec","Gastroenterology",7629,4
"Midlands",2019-12-01,2019,"Dec","General Medicine",832,1
"Midlands",2019-12-01,2019,"Dec","General Surgery",17538,12
"Midlands",2019-12-01,2019,"Dec","Geriatric Medicine",282,0
"Midlands",2019-12-01,2019,"Dec","Gynaecology",10545,0
"Midlands",2019-12-01,2019,"Dec","Neurology",7168,2
"Midlands",2019-12-01,2019,"Dec","Neurosurgery",2427,1
"Midlands",2019-12-01,2019,"Dec","Ophthalmology",24399,2
"Midlands",2019-12-01,2019,"Dec","Oral Surgery",8748,0
"Midlands",2019-12-01,2019,"Dec","Other",31737,12
"Midlands",2019-12-01,2019,"Dec","Plastic Surgery",2302,1
"Midlands",2019-12-01,2019,"Dec","Rheumatology",2825,0
"Midlands",2019-12-01,2019,"Dec","Thoracic Medicine",4860,7
"Midlands",2019-12-01,2019,"Dec","Total",199141,337
"Midlands",2019-12-01,2019,"Dec","Trauma & Orthopaedics",29816,286
"Midlands",2019-12-01,2019,"Dec","Urology",14137,4
"North East and Yorkshire",2019-12-01,2019,"Dec","Cardiology",6309,6
"North East and Yorkshire",2019-12-01,2019,"Dec","Cardiothoracic Surgery",248,0
"North East and Yorkshire",2019-12-01,2019,"Dec","Dermatology",5334,1
"North East and Yorkshire",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",15490,19
"North East and Yorkshire",2019-12-01,2019,"Dec","Gastroenterology",4125,9
"North East and Yorkshire",2019-12-01,2019,"Dec","General Medicine",970,4
"North East and Yorkshire",2019-12-01,2019,"Dec","General Surgery",13694,21
"North East and Yorkshire",2019-12-01,2019,"Dec","Geriatric Medicine",312,0
"North East and Yorkshire",2019-12-01,2019,"Dec","Gynaecology",8697,21
"North East and Yorkshire",2019-12-01,2019,"Dec","Neurology",4449,4
"North East and Yorkshire",2019-12-01,2019,"Dec","Neurosurgery",947,5
"North East and Yorkshire",2019-12-01,2019,"Dec","Ophthalmology",20923,24
"North East and Yorkshire",2019-12-01,2019,"Dec","Oral Surgery",7478,7
"North East and Yorkshire",2019-12-01,2019,"Dec","Other",25622,50
"North East and Yorkshire",2019-12-01,2019,"Dec","Plastic Surgery",6466,18
"North East and Yorkshire",2019-12-01,2019,"Dec","Rheumatology",2554,0
"North East and Yorkshire",2019-12-01,2019,"Dec","Thoracic Medicine",2839,5
"North East and Yorkshire",2019-12-01,2019,"Dec","Total",166532,366
"North East and Yorkshire",2019-12-01,2019,"Dec","Trauma & Orthopaedics",30216,167
"North East and Yorkshire",2019-12-01,2019,"Dec","Urology",9859,5
"North West",2019-12-01,2019,"Dec","Cardiology",4794,3
"North West",2019-12-01,2019,"Dec","Cardiothoracic Surgery",853,0
"North West",2019-12-01,2019,"Dec","Dermatology",7625,0
"North West",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",11697,12
"North West",2019-12-01,2019,"Dec","Gastroenterology",6720,2
"North West",2019-12-01,2019,"Dec","General Medicine",2707,0
"North West",2019-12-01,2019,"Dec","General Surgery",17729,30
"North West",2019-12-01,2019,"Dec","Geriatric Medicine",183,0
"North West",2019-12-01,2019,"Dec","Gynaecology",11684,26
"North West",2019-12-01,2019,"Dec","Neurology",4501,0
"North West",2019-12-01,2019,"Dec","Neurosurgery",2683,1
"North West",2019-12-01,2019,"Dec","Ophthalmology",17525,9
"North West",2019-12-01,2019,"Dec","Oral Surgery",12303,31
"North West",2019-12-01,2019,"Dec","Other",27045,20
"North West",2019-12-01,2019,"Dec","Plastic Surgery",4817,36
"North West",2019-12-01,2019,"Dec","Rheumatology",1959,1
"North West",2019-12-01,2019,"Dec","Thoracic Medicine",2061,4
"North West",2019-12-01,2019,"Dec","Total",169442,195
"North West",2019-12-01,2019,"Dec","Trauma & Orthopaedics",23040,8
"North West",2019-12-01,2019,"Dec","Urology",9516,12
"South East",2019-12-01,2019,"Dec","Cardiology",10830,12
"South East",2019-12-01,2019,"Dec","Cardiothoracic Surgery",346,0
"South East",2019-12-01,2019,"Dec","Dermatology",13200,8
"South East",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",38822,108
"South East",2019-12-01,2019,"Dec","Gastroenterology",16332,24
"South East",2019-12-01,2019,"Dec","General Medicine",1082,0
"South East",2019-12-01,2019,"Dec","General Surgery",31520,148
"South East",2019-12-01,2019,"Dec","Geriatric Medicine",490,0
"South East",2019-12-01,2019,"Dec","Gynaecology",22734,46
"South East",2019-12-01,2019,"Dec","Neurology",11596,8
"South East",2019-12-01,2019,"Dec","Neurosurgery",2430,8
"South East",2019-12-01,2019,"Dec","Ophthalmology",54762,60
"South East",2019-12-01,2019,"Dec","Oral Surgery",16186,38
"South East",2019-12-01,2019,"Dec","Other",43212,78
"South East",2019-12-01,2019,"Dec","Plastic Surgery",6346,110
"South East",2019-12-01,2019,"Dec","Rheumatology",5240,0
"South East",2019-12-01,2019,"Dec","Thoracic Medicine",3422,2
"South East",2019-12-01,2019,"Dec","Total",368190,1096
"South East",2019-12-01,2019,"Dec","Trauma & Orthopaedics",66156,82
"South East",2019-12-01,2019,"Dec","Urology",23484,364
"South West",2019-12-01,2019,"Dec","Cardiology",14314,138
"South West",2019-12-01,2019,"Dec","Cardiothoracic Surgery",1030,22
"South West",2019-12-01,2019,"Dec","Dermatology",12780,6
"South West",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",18898,56
"South West",2019-12-01,2019,"Dec","Gastroenterology",8924,20
"South West",2019-12-01,2019,"Dec","General Medicine",1284,0
"South West",2019-12-01,2019,"Dec","General Surgery",17566,216
"South West",2019-12-01,2019,"Dec","Geriatric Medicine",368,0
"South West",2019-12-01,2019,"Dec","Gynaecology",17512,72
"South West",2019-12-01,2019,"Dec","Neurology",6136,14
"South West",2019-12-01,2019,"Dec","Neurosurgery",2864,218
"South West",2019-12-01,2019,"Dec","Ophthalmology",34084,30
"South West",2019-12-01,2019,"Dec","Oral Surgery",17774,42
"South West",2019-12-01,2019,"Dec","Other",44384,724
"South West",2019-12-01,2019,"Dec","Plastic Surgery",3752,48
"South West",2019-12-01,2019,"Dec","Rheumatology",3540,0
"South West",2019-12-01,2019,"Dec","Thoracic Medicine",3444,12
"South West",2019-12-01,2019,"Dec","Total",279734,2270
"South West",2019-12-01,2019,"Dec","Trauma & Orthopaedics",55656,520
"South West",2019-12-01,2019,"Dec","Urology",15424,132
"East of England",2020-02-01,2020,"Feb","Cardiology",4393,10
"East of England",2020-02-01,2020,"Feb","Cardiothoracic Surgery",434,0
"East of England",2020-02-01,2020,"Feb","Dermatology",8682,7
"East of England",2020-02-01,2020,"Feb","Ear, Nose & Throat (ENT)",9181,61
"East of England",2020-02-01,2020,"Feb","Gastroenterology",5209,16
"East of England",2020-02-01,2020,"Feb","General Medicine",982,6
"East of England",2020-02-01,2020,"Feb","General Surgery",12614,116
"East of England",2020-02-01,2020,"Feb","Geriatric Medicine",98,1
"East of England",2020-02-01,2020,"Feb","Gynaecology",9410,46
"East of England",2020-02-01,2020,"Feb","Neurology",3845,5
"East of England",2020-02-01,2020,"Feb","Neurosurgery",199,0
"East of England",2020-02-01,2020,"Feb","Ophthalmology",14951,65
"East of England",2020-02-01,2020,"Feb","Oral Surgery",7552,21
"East of England",2020-02-01,2020,"Feb","Other",17518,72
"East of England",2020-02-01,2020,"Feb","Plastic Surgery",1963,7
"East of England",2020-02-01,2020,"Feb","Rheumatology",2039,2
"East of England",2020-02-01,2020,"Feb","Thoracic Medicine",2373,8
"East of England",2020-02-01,2020,"Feb","Total",138793,894
"East of England",2020-02-01,2020,"Feb","Trauma & Orthopaedics",27696,254
"East of England",2020-02-01,2020,"Feb","Urology",9654,197
"London",2020-02-01,2020,"Feb","Cardiology",9429,24
"London",2020-02-01,2020,"Feb","Cardiothoracic Surgery",428,3
"London",2020-02-01,2020,"Feb","Dermatology",8936,17
"London",2020-02-01,2020,"Feb","Ear, Nose & Throat (ENT)",19805,55
"London",2020-02-01,2020,"Feb","Gastroenterology",7997,52
"London",2020-02-01,2020,"Feb","General Medicine",692,2
"London",2020-02-01,2020,"Feb","General Surgery",19889,184
"London",2020-02-01,2020,"Feb","Geriatric Medicine",267,3
"London",2020-02-01,2020,"Feb","Gynaecology",16026,62
"London",2020-02-01,2020,"Feb","Neurology",7475,20
"London",2020-02-01,2020,"Feb","Neurosurgery",3266,13
"London",2020-02-01,2020,"Feb","Ophthalmology",15570,71
"London",2020-02-01,2020,"Feb","Oral Surgery",9752,31
"London",2020-02-01,2020,"Feb","Other",58597,633
"London",2020-02-01,2020,"Feb","Plastic Surgery",3280,25
"London",2020-02-01,2020,"Feb","Rheumatology",3618,16
"London",2020-02-01,2020,"Feb","Thoracic Medicine",3114,15
"London",2020-02-01,2020,"Feb","Total",226496,1516
"London",2020-02-01,2020,"Feb","Trauma & Orthopaedics",27340,261
"London",2020-02-01,2020,"Feb","Urology",11015,29
"Midlands",2020-02-01,2020,"Feb","Cardiology",8341,4
"Midlands",2020-02-01,2020,"Feb","Cardiothoracic Surgery",239,0
"Midlands",2020-02-01,2020,"Feb","Dermatology",11137,0
"Midlands",2020-02-01,2020,"Feb","Ear, Nose & Throat (ENT)",16474,4
"Midlands",2020-02-01,2020,"Feb","Gastroenterology",8550,6
"Midlands",2020-02-01,2020,"Feb","General Medicine",1007,2
"Midlands",2020-02-01,2020,"Feb","General Surgery",19629,24
"Midlands",2020-02-01,2020,"Feb","Geriatric Medicine",343,0
"Midlands",2020-02-01,2020,"Feb","Gynaecology",12262,5
"Midlands",2020-02-01,2020,"Feb","Neurology",7249,2
"Midlands",2020-02-01,2020,"Feb","Neurosurgery",2607,1
"Midlands",2020-02-01,2020,"Feb","Ophthalmology",26605,5
"Midlands",2020-02-01,2020,"Feb","Oral Surgery",9112,1
"Midlands",2020-02-01,2020,"Feb","Other",34426,32
"Midlands",2020-02-01,2020,"Feb","Plastic Surgery",2568,0
"Midlands",2020-02-01,2020,"Feb","Rheumatology",3186,2
"Midlands",2020-02-01,2020,"Feb","Thoracic Medicine",5420,8
"Midlands",2020-02-01,2020,"Feb","Total",218821,354
"Midlands",2020-02-01,2020,"Feb","Trauma & Orthopaedics",34380,248
"Midlands",2020-02-01,2020,"Feb","Urology",15286,10
"North East and Yorkshire",2020-02-01,2020,"Feb","Cardiology",6876,7
"North East and Yorkshire",2020-02-01,2020,"Feb","Cardiothoracic Surgery",273,0
"North East and Yorkshire",2020-02-01,2020,"Feb","Dermatology",5213,4
"North East and Yorkshire",2020-02-01,2020,"Feb","Ear, Nose & Throat (ENT)",16632,60
"North East and Yorkshire",2020-02-01,2020,"Feb","Gastroenterology",4433,22
"North East and Yorkshire",2020-02-01,2020,"Feb","General Medicine",809,1
"North East and Yorkshire",2020-02-01,2020,"Feb","General Surgery",14931,41
"North East and Yorkshire",2020-02-01,2020,"Feb","Geriatric Medicine",338,0
"North East and Yorkshire",2020-02-01,2020,"Feb","Gynaecology",9192,26
"North East and Yorkshire",2020-02-01,2020,"Feb","Neurology",4808,2
"North East and Yorkshire",2020-02-01,2020,"Feb","Neurosurgery",1110,6
"North East and Yorkshire",2020-02-01,2020,"Feb","Ophthalmology",21633,59
"North East and Yorkshire",2020-02-01,2020,"Feb","Oral Surgery",8949,10
"North East and Yorkshire",2020-02-01,2020,"Feb","Other",26932,73
"North East and Yorkshire",2020-02-01,2020,"Feb","Plastic Surgery",6732,25
"North East and Yorkshire",2020-02-01,2020,"Feb","Rheumatology",2579,0
"North East and Yorkshire",2020-02-01,2020,"Feb","Thoracic Medicine",3060,2
"North East and Yorkshire",2020-02-01,2020,"Feb","Total",177632,610
"North East and Yorkshire",2020-02-01,2020,"Feb","Trauma & Orthopaedics",32919,263
"North East and Yorkshire",2020-02-01,2020,"Feb","Urology",10213,9
"North West",2020-02-01,2020,"Feb","Cardiology",4873,0
"North West",2020-02-01,2020,"Feb","Cardiothoracic Surgery",819,1
"North West",2020-02-01,2020,"Feb","Dermatology",7632,1
"North West",2020-02-01,2020,"Feb","Ear, Nose & Throat (ENT)",11897,24
"North West",2020-02-01,2020,"Feb","Gastroenterology",6566,2
"North West",2020-02-01,2020,"Feb","General Medicine",2748,2
"North West",2020-02-01,2020,"Feb","General Surgery",20004,50
"North West",2020-02-01,2020,"Feb","Geriatric Medicine",215,0
"North West",2020-02-01,2020,"Feb","Gynaecology",13003,33
"North West",2020-02-01,2020,"Feb","Neurology",5285,0
"North West",2020-02-01,2020,"Feb","Neurosurgery",2658,0
"North West",2020-02-01,2020,"Feb","Ophthalmology",17222,18
"North West",2020-02-01,2020,"Feb","Oral Surgery",12866,19
"North West",2020-02-01,2020,"Feb","Other",28645,18
"North West",2020-02-01,2020,"Feb","Plastic Surgery",5101,36
"North West",2020-02-01,2020,"Feb","Rheumatology",1957,0
"North West",2020-02-01,2020,"Feb","Thoracic Medicine",2165,1
"North West",2020-02-01,2020,"Feb","Total",179791,240
"North West",2020-02-01,2020,"Feb","Trauma & Orthopaedics",25079,23
"North West",2020-02-01,2020,"Feb","Urology",11056,12
"South East",2020-02-01,2020,"Feb","Cardiology",11640,14
"South East",2020-02-01,2020,"Feb","Cardiothoracic Surgery",406,0
"South East",2020-02-01,2020,"Feb","Dermatology",14526,2
"South East",2020-02-01,2020,"Feb","Ear, Nose & Throat (ENT)",41284,212
"South East",2020-02-01,2020,"Feb","Gastroenterology",18176,18
"South East",2020-02-01,2020,"Feb","General Medicine",1228,2
"South East",2020-02-01,2020,"Feb","General Surgery",33784,134
"South East",2020-02-01,2020,"Feb","Geriatric Medicine",430,0
"South East",2020-02-01,2020,"Feb","Gynaecology",24308,58
"South East",2020-02-01,2020,"Feb","Neurology",12344,10
"South East",2020-02-01,2020,"Feb","Neurosurgery",2594,32
"South East",2020-02-01,2020,"Feb","Ophthalmology",56510,48
"South East",2020-02-01,2020,"Feb","Oral Surgery",16616,50
"South East",2020-02-01,2020,"Feb","Other",45234,88
"South East",2020-02-01,2020,"Feb","Plastic Surgery",6882,152
"South East",2020-02-01,2020,"Feb","Rheumatology",5132,0
"South East",2020-02-01,2020,"Feb","Thoracic Medicine",3746,0
"South East",2020-02-01,2020,"Feb","Total",388804,1196
"South East",2020-02-01,2020,"Feb","Trauma & Orthopaedics",71034,62
"South East",2020-02-01,2020,"Feb","Urology",22930,314
"South West",2020-02-01,2020,"Feb","Cardiology",15304,84
"South West",2020-02-01,2020,"Feb","Cardiothoracic Surgery",1296,12
"South West",2020-02-01,2020,"Feb","Dermatology",12734,14
"South West",2020-02-01,2020,"Feb","Ear, Nose & Throat (ENT)",19614,96
"South West",2020-02-01,2020,"Feb","Gastroenterology",8930,42
"South West",2020-02-01,2020,"Feb","General Medicine",1734,6
"South West",2020-02-01,2020,"Feb","General Surgery",18932,274
"South West",2020-02-01,2020,"Feb","Geriatric Medicine",346,0
"South West",2020-02-01,2020,"Feb","Gynaecology",18042,88
"South West",2020-02-01,2020,"Feb","Neurology",6504,8
"South West",2020-02-01,2020,"Feb","Neurosurgery",3000,266
"South West",2020-02-01,2020,"Feb","Ophthalmology",35420,134
"South West",2020-02-01,2020,"Feb","Oral Surgery",18204,96
"South West",2020-02-01,2020,"Feb","Other",45760,760
"South West",2020-02-01,2020,"Feb","Plastic Surgery",3758,42
"South West",2020-02-01,2020,"Feb","Rheumatology",3798,2
"South West",2020-02-01,2020,"Feb","Thoracic Medicine",3716,14
"South West",2020-02-01,2020,"Feb","Total",293716,2746
"South West",2020-02-01,2020,"Feb","Trauma & Orthopaedics",60764,710
"South West",2020-02-01,2020,"Feb","Urology",15860,98
"East of England",2020-03-01,2020,"Mar","Cardiology",5500,15
"East of England",2020-03-01,2020,"Mar","Cardiothoracic Surgery",453,0
"East of England",2020-03-01,2020,"Mar","Dermatology",8467,5
"East of England",2020-03-01,2020,"Mar","Ear, Nose & Throat (ENT)",10258,95
"East of England",2020-03-01,2020,"Mar","Gastroenterology",5959,7
"East of England",2020-03-01,2020,"Mar","General Medicine",1011,4
"East of England",2020-03-01,2020,"Mar","General Surgery",13430,169
"East of England",2020-03-01,2020,"Mar","Geriatric Medicine",131,1
"East of England",2020-03-01,2020,"Mar","Gynaecology",10560,79
"East of England",2020-03-01,2020,"Mar","Neurology",3757,10
"East of England",2020-03-01,2020,"Mar","Neurosurgery",212,0
"East of England",2020-03-01,2020,"Mar","Ophthalmology",16218,34
"East of England",2020-03-01,2020,"Mar","Oral Surgery",7848,23
"East of England",2020-03-01,2020,"Mar","Other",19156,62
"East of England",2020-03-01,2020,"Mar","Plastic Surgery",2095,15
"East of England",2020-03-01,2020,"Mar","Rheumatology",2113,2
"East of England",2020-03-01,2020,"Mar","Thoracic Medicine",2670,2
"East of England",2020-03-01,2020,"Mar","Total",149183,1002
"East of England",2020-03-01,2020,"Mar","Trauma & Orthopaedics",29408,304
"East of England",2020-03-01,2020,"Mar","Urology",9937,175
"London",2020-03-01,2020,"Mar","Cardiology",10776,31
"London",2020-03-01,2020,"Mar","Cardiothoracic Surgery",539,3
"London",2020-03-01,2020,"Mar","Dermatology",10496,25
"London",2020-03-01,2020,"Mar","Ear, Nose & Throat (ENT)",22027,91
"London",2020-03-01,2020,"Mar","Gastroenterology",9179,43
"London",2020-03-01,2020,"Mar","General Medicine",833,6
"London",2020-03-01,2020,"Mar","General Surgery",21684,233
"London",2020-03-01,2020,"Mar","Geriatric Medicine",291,6
"London",2020-03-01,2020,"Mar","Gynaecology",17934,120
"London",2020-03-01,2020,"Mar","Neurology",8060,17
"London",2020-03-01,2020,"Mar","Neurosurgery",3647,34
"London",2020-03-01,2020,"Mar","Ophthalmology",18329,100
"London",2020-03-01,2020,"Mar","Oral Surgery",10364,35
"London",2020-03-01,2020,"Mar","Other",66397,730
"London",2020-03-01,2020,"Mar","Plastic Surgery",3722,55
"London",2020-03-01,2020,"Mar","Rheumatology",3645,5
"London",2020-03-01,2020,"Mar","Thoracic Medicine",3665,17
"London",2020-03-01,2020,"Mar","Total",253776,1880
"London",2020-03-01,2020,"Mar","Trauma & Orthopaedics",30054,287
"London",2020-03-01,2020,"Mar","Urology",12134,42
"Midlands",2020-03-01,2020,"Mar","Cardiology",9100,8
"Midlands",2020-03-01,2020,"Mar","Cardiothoracic Surgery",262,0
"Midlands",2020-03-01,2020,"Mar","Dermatology",10260,3
"Midlands",2020-03-01,2020,"Mar","Ear, Nose & Throat (ENT)",17457,32
"Midlands",2020-03-01,2020,"Mar","Gastroenterology",9327,7
"Midlands",2020-03-01,2020,"Mar","General Medicine",872,3
"Midlands",2020-03-01,2020,"Mar","General Surgery",20587,44
"Midlands",2020-03-01,2020,"Mar","Geriatric Medicine",375,1
"Midlands",2020-03-01,2020,"Mar","Gynaecology",13290,14
"Midlands",2020-03-01,2020,"Mar","Neurology",6811,5
"Midlands",2020-03-01,2020,"Mar","Neurosurgery",2653,2
"Midlands",2020-03-01,2020,"Mar","Ophthalmology",27716,22
"Midlands",2020-03-01,2020,"Mar","Oral Surgery",9259,4
"Midlands",2020-03-01,2020,"Mar","Other",35956,98
"Midlands",2020-03-01,2020,"Mar","Plastic Surgery",2654,0
"Midlands",2020-03-01,2020,"Mar","Rheumatology",3291,5
"Midlands",2020-03-01,2020,"Mar","Thoracic Medicine",5504,4
"Midlands",2020-03-01,2020,"Mar","Total",228049,623
"Midlands",2020-03-01,2020,"Mar","Trauma & Orthopaedics",36453,313
"Midlands",2020-03-01,2020,"Mar","Urology",16222,58
"North East and Yorkshire",2020-03-01,2020,"Mar","Cardiology",7403,20
"North East and Yorkshire",2020-03-01,2020,"Mar","Cardiothoracic Surgery",313,0
"North East and Yorkshire",2020-03-01,2020,"Mar","Dermatology",5169,6
"North East and Yorkshire",2020-03-01,2020,"Mar","Ear, Nose & Throat (ENT)",17236,110
"North East and Yorkshire",2020-03-01,2020,"Mar","Gastroenterology",4874,25
"North East and Yorkshire",2020-03-01,2020,"Mar","General Medicine",868,1
"North East and Yorkshire",2020-03-01,2020,"Mar","General Surgery",15473,40
"North East and Yorkshire",2020-03-01,2020,"Mar","Geriatric Medicine",370,0
"North East and Yorkshire",2020-03-01,2020,"Mar","Gynaecology",9895,41
"North East and Yorkshire",2020-03-01,2020,"Mar","Neurology",4570,2
"North East and Yorkshire",2020-03-01,2020,"Mar","Neurosurgery",1324,4
"North East and Yorkshire",2020-03-01,2020,"Mar","Ophthalmology",22446,21
"North East and Yorkshire",2020-03-01,2020,"Mar","Oral Surgery",9478,41
"North East and Yorkshire",2020-03-01,2020,"Mar","Other",28896,80
"North East and Yorkshire",2020-03-01,2020,"Mar","Plastic Surgery",7004,38
"North East and Yorkshire",2020-03-01,2020,"Mar","Rheumatology",2518,0
"North East and Yorkshire",2020-03-01,2020,"Mar","Thoracic Medicine",3349,1
"North East and Yorkshire",2020-03-01,2020,"Mar","Total",186509,764
"North East and Yorkshire",2020-03-01,2020,"Mar","Trauma & Orthopaedics",35000,310
"North East and Yorkshire",2020-03-01,2020,"Mar","Urology",10323,24
"North West",2020-03-01,2020,"Mar","Cardiology",5428,1
"North West",2020-03-01,2020,"Mar","Cardiothoracic Surgery",980,2
"North West",2020-03-01,2020,"Mar","Dermatology",7490,0
"North West",2020-03-01,2020,"Mar","Ear, Nose & Throat (ENT)",12937,46
"North West",2020-03-01,2020,"Mar","Gastroenterology",7210,1
"North West",2020-03-01,2020,"Mar","General Medicine",2707,3
"North West",2020-03-01,2020,"Mar","General Surgery",21448,112
"North West",2020-03-01,2020,"Mar","Geriatric Medicine",269,0
"North West",2020-03-01,2020,"Mar","Gynaecology",14114,82
"North West",2020-03-01,2020,"Mar","Neurology",5611,1
"North West",2020-03-01,2020,"Mar","Neurosurgery",3115,2
"North West",2020-03-01,2020,"Mar","Ophthalmology",18114,24
"North West",2020-03-01,2020,"Mar","Oral Surgery",14306,29
"North West",2020-03-01,2020,"Mar","Other",31582,29
"North West",2020-03-01,2020,"Mar","Plastic Surgery",5655,50
"North West",2020-03-01,2020,"Mar","Rheumatology",2088,2
"North West",2020-03-01,2020,"Mar","Thoracic Medicine",2456,1
"North West",2020-03-01,2020,"Mar","Total",194609,465
"North West",2020-03-01,2020,"Mar","Trauma & Orthopaedics",26846,52
"North West",2020-03-01,2020,"Mar","Urology",12253,28
"South East",2020-03-01,2020,"Mar","Cardiology",12678,30
"South East",2020-03-01,2020,"Mar","Cardiothoracic Surgery",510,0
"South East",2020-03-01,2020,"Mar","Dermatology",14488,2
"South East",2020-03-01,2020,"Mar","Ear, Nose & Throat (ENT)",42286,262
"South East",2020-03-01,2020,"Mar","Gastroenterology",19476,60
"South East",2020-03-01,2020,"Mar","General Medicine",1424,0
"South East",2020-03-01,2020,"Mar","General Surgery",36676,168
"South East",2020-03-01,2020,"Mar","Geriatric Medicine",400,0
"South East",2020-03-01,2020,"Mar","Gynaecology",26420,42
"South East",2020-03-01,2020,"Mar","Neurology",12942,2
"South East",2020-03-01,2020,"Mar","Neurosurgery",2778,62
"South East",2020-03-01,2020,"Mar","Ophthalmology",61880,140
"South East",2020-03-01,2020,"Mar","Oral Surgery",18318,52
"South East",2020-03-01,2020,"Mar","Other",48666,98
"South East",2020-03-01,2020,"Mar","Plastic Surgery",7254,176
"South East",2020-03-01,2020,"Mar","Rheumatology",5456,6
"South East",2020-03-01,2020,"Mar","Thoracic Medicine",3920,2
"South East",2020-03-01,2020,"Mar","Total",418290,1682
"South East",2020-03-01,2020,"Mar","Trauma & Orthopaedics",78132,186
"South East",2020-03-01,2020,"Mar","Urology",24586,394
"South West",2020-03-01,2020,"Mar","Cardiology",15942,88
"South West",2020-03-01,2020,"Mar","Cardiothoracic Surgery",1358,4
"South West",2020-03-01,2020,"Mar","Dermatology",12728,26
"South West",2020-03-01,2020,"Mar","Ear, Nose & Throat (ENT)",20906,124
"South West",2020-03-01,2020,"Mar","Gastroenterology",9670,70
"South West",2020-03-01,2020,"Mar","General Medicine",2028,14
"South West",2020-03-01,2020,"Mar","General Surgery",20738,416
"South West",2020-03-01,2020,"Mar","Geriatric Medicine",446,0
"South West",2020-03-01,2020,"Mar","Gynaecology",19056,88
"South West",2020-03-01,2020,"Mar","Neurology",6898,4
"South West",2020-03-01,2020,"Mar","Neurosurgery",3110,238
"South West",2020-03-01,2020,"Mar","Ophthalmology",36938,164
"South West",2020-03-01,2020,"Mar","Oral Surgery",19354,206
"South West",2020-03-01,2020,"Mar","Other",48370,934
"South West",2020-03-01,2020,"Mar","Plastic Surgery",3854,46
"South West",2020-03-01,2020,"Mar","Rheumatology",3618,6
"South West",2020-03-01,2020,"Mar","Thoracic Medicine",3664,4
"South West",2020-03-01,2020,"Mar","Total",309458,3466
"South West",2020-03-01,2020,"Mar","Trauma & Orthopaedics",63960,894
"South West",2020-03-01,2020,"Mar","Urology",16820,140
"East of England",2020-04-01,2020,"Apr","Cardiology",7582,54
