"Time Period","Financial Quarter","Location","Age Group","Measure","Value"
"Financial Year","2018/19","Argyll and Bute","65-74 years","Number of Hours",169060
"Financial Year","2018/19","Argyll and Bute","75-84 years","Rate per 1,000 People",90.2
"Financial Year","2018/19","Argyll and Bute","75-84 years","Number of People",645
"Financial Year","2018/19","Argyll and Bute","75-84 years","Number of Hours",220150
"Financial Year","2018/19","Argyll and Bute","85+ years","Rate per 1,000 People",309.3
"Financial Year","2018/19","Argyll and Bute","85+ years","Number of People",785
"Financial Year","2018/19","Argyll and Bute","85+ years","Number of Hours",289445
"Financial Year","2018/19","Argyll and Bute","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Argyll and Bute","Unknown","Number of People",0
"Financial Year","2018/19","Argyll and Bute","Unknown","Number of Hours",0
"Financial Year","2018/19","City of Edinburgh","All Ages","Rate per 1,000 People",13.6
"Financial Year","2018/19","City of Edinburgh","All Ages","Number of People",6885
"Financial Year","2018/19","City of Edinburgh","All Ages","Number of Hours",4033035
"Financial Year","2018/19","City of Edinburgh","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","City of Edinburgh","0-17 years","Number of People",0
"Financial Year","2018/19","City of Edinburgh","0-17 years","Number of Hours",0
"Financial Year","2018/19","City of Edinburgh","18-64 years","Rate per 1,000 People",5.3
"Financial Year","2018/19","City of Edinburgh","18-64 years","Number of People",1790
"Financial Year","2018/19","City of Edinburgh","18-64 years","Number of Hours",2115060
"Financial Year","2018/19","City of Edinburgh","65-74 years","Rate per 1,000 People",21.8
"Financial Year","2018/19","City of Edinburgh","65-74 years","Number of People",920
"Financial Year","2018/19","City of Edinburgh","65-74 years","Number of Hours",511030
"Financial Year","2018/19","City of Edinburgh","75-84 years","Rate per 1,000 People",71.7
"Financial Year","2018/19","City of Edinburgh","75-84 years","Number of People",1775
"Financial Year","2018/19","City of Edinburgh","75-84 years","Number of Hours",581510
"Financial Year","2018/19","City of Edinburgh","85+ years","Rate per 1,000 People",214.8
"Financial Year","2018/19","City of Edinburgh","85+ years","Number of People",2400
"Financial Year","2018/19","City of Edinburgh","85+ years","Number of Hours",825435
"Financial Year","2018/19","City of Edinburgh","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","City of Edinburgh","Unknown","Number of People",0
"Financial Year","2018/19","City of Edinburgh","Unknown","Number of Hours",0
"Financial Year","2018/19","Clackmannanshire","All Ages","Rate per 1,000 People",21.6
"Financial Year","2018/19","Clackmannanshire","All Ages","Number of People",1115
"Financial Year","2018/19","Clackmannanshire","All Ages","Number of Hours",536845
"Financial Year","2018/19","Clackmannanshire","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","Clackmannanshire","0-17 years","Number of People",0
"Financial Year","2018/19","Clackmannanshire","0-17 years","Number of Hours",1810
"Financial Year","2018/19","Clackmannanshire","18-64 years","Rate per 1,000 People",7.6
"Financial Year","2018/19","Clackmannanshire","18-64 years","Number of People",240
"Financial Year","2018/19","Clackmannanshire","18-64 years","Number of Hours",243335
"Financial Year","2018/19","Clackmannanshire","65-74 years","Rate per 1,000 People",31.1
"Financial Year","2018/19","Clackmannanshire","65-74 years","Number of People",190
"Financial Year","2018/19","Clackmannanshire","65-74 years","Number of Hours",77675
"Financial Year","2018/19","Clackmannanshire","75-84 years","Rate per 1,000 People",115.9
"Financial Year","2018/19","Clackmannanshire","75-84 years","Number of People",360
"Financial Year","2018/19","Clackmannanshire","75-84 years","Number of Hours",103865
"Financial Year","2018/19","Clackmannanshire","85+ years","Rate per 1,000 People",337.8
"Financial Year","2018/19","Clackmannanshire","85+ years","Number of People",325
"Financial Year","2018/19","Clackmannanshire","85+ years","Number of Hours",110160
"Financial Year","2018/19","Clackmannanshire","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Clackmannanshire","Unknown","Number of People",0
"Financial Year","2018/19","Clackmannanshire","Unknown","Number of Hours",0
"Financial Year","2018/19","Comhairle nan Eilean Siar","All Ages","Rate per 1,000 People",19.8
"Financial Year","2018/19","Comhairle nan Eilean Siar","All Ages","Number of People",525
"Financial Year","2018/19","Comhairle nan Eilean Siar","All Ages","Number of Hours",90175
"Financial Year","2018/19","Comhairle nan Eilean Siar","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","Comhairle nan Eilean Siar","0-17 years","Number of People",0
"Financial Year","2018/19","Comhairle nan Eilean Siar","0-17 years","Number of Hours",0
"Financial Year","2018/19","Comhairle nan Eilean Siar","18-64 years","Rate per 1,000 People",4
"Financial Year","2018/19","Comhairle nan Eilean Siar","18-64 years","Number of People",60
"Financial Year","2018/19","Comhairle nan Eilean Siar","18-64 years","Number of Hours",13010
"Financial Year","2018/19","Comhairle nan Eilean Siar","65-74 years","Rate per 1,000 People",23.4
"Financial Year","2018/19","Comhairle nan Eilean Siar","65-74 years","Number of People",85
"Financial Year","2018/19","Comhairle nan Eilean Siar","65-74 years","Number of Hours",16260
"Financial Year","2018/19","Comhairle nan Eilean Siar","75-84 years","Rate per 1,000 People",71.7
"Financial Year","2018/19","Comhairle nan Eilean Siar","75-84 years","Number of People",160
"Financial Year","2018/19","Comhairle nan Eilean Siar","75-84 years","Number of Hours",23595
"Financial Year","2018/19","Comhairle nan Eilean Siar","85+ years","Rate per 1,000 People",250.3
"Financial Year","2018/19","Comhairle nan Eilean Siar","85+ years","Number of People",220
"Financial Year","2018/19","Comhairle nan Eilean Siar","85+ years","Number of Hours",37310
"Financial Year","2018/19","Comhairle nan Eilean Siar","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Comhairle nan Eilean Siar","Unknown","Number of People",0
"Financial Year","2018/19","Comhairle nan Eilean Siar","Unknown","Number of Hours",0
"Financial Year","2018/19","Dumfries and Galloway","All Ages","Rate per 1,000 People",20.3
"Financial Year","2018/19","Dumfries and Galloway","All Ages","Number of People",2980
"Financial Year","2018/19","Dumfries and Galloway","All Ages","Number of Hours",1763260
"Financial Year","2018/19","Dumfries and Galloway","0-17 years","Rate per 1,000 People",0.4
"Financial Year","2018/19","Dumfries and Galloway","0-17 years","Number of People",10
"Financial Year","2018/19","Dumfries and Galloway","0-17 years","Number of Hours",3790
"Financial Year","2018/19","Dumfries and Galloway","18-64 years","Rate per 1,000 People",7.7
"Financial Year","2018/19","Dumfries and Galloway","18-64 years","Number of People",645
"Financial Year","2018/19","Dumfries and Galloway","18-64 years","Number of Hours",939275
"Financial Year","2018/19","Dumfries and Galloway","65-74 years","Rate per 1,000 People",20.4
"Financial Year","2018/19","Dumfries and Galloway","65-74 years","Number of People",425
"Financial Year","2018/19","Dumfries and Galloway","65-74 years","Number of Hours",223615
"Financial Year","2018/19","Dumfries and Galloway","75-84 years","Rate per 1,000 People",69.6
"Financial Year","2018/19","Dumfries and Galloway","75-84 years","Number of People",870
"Financial Year","2018/19","Dumfries and Galloway","75-84 years","Number of Hours",273120
"Financial Year","2018/19","Dumfries and Galloway","85+ years","Rate per 1,000 People",231
"Financial Year","2018/19","Dumfries and Galloway","85+ years","Number of People",1030
"Financial Year","2018/19","Dumfries and Galloway","85+ years","Number of Hours",323460
"Financial Year","2018/19","Dumfries and Galloway","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Dumfries and Galloway","Unknown","Number of People",0
"Financial Year","2018/19","Dumfries and Galloway","Unknown","Number of Hours",0
"Financial Year","2018/19","Dundee City","All Ages","Rate per 1,000 People",19.6
"Financial Year","2018/19","Dundee City","All Ages","Number of People",2900
"Financial Year","2018/19","Dundee City","All Ages","Number of Hours",954775
"Financial Year","2018/19","Dundee City","0-17 years","Rate per 1,000 People",0.2
"Financial Year","2018/19","Dundee City","0-17 years","Number of People",5
"Financial Year","2018/19","Dundee City","0-17 years","Number of Hours",385
"Financial Year","2018/19","Dundee City","18-64 years","Rate per 1,000 People",3.6
"Financial Year","2018/19","Dundee City","18-64 years","Number of People",335
"Financial Year","2018/19","Dundee City","18-64 years","Number of Hours",137490
"Financial Year","2018/19","Dundee City","65-74 years","Rate per 1,000 People",36.2
"Financial Year","2018/19","Dundee City","65-74 years","Number of People",505
"Financial Year","2018/19","Dundee City","65-74 years","Number of Hours",158475
"Financial Year","2018/19","Dundee City","75-84 years","Rate per 1,000 People",113.5
"Financial Year","2018/19","Dundee City","75-84 years","Number of People",985
"Financial Year","2018/19","Dundee City","75-84 years","Number of Hours",315495
"Financial Year","2018/19","Dundee City","85+ years","Rate per 1,000 People",299.9
"Financial Year","2018/19","Dundee City","85+ years","Number of People",1070
"Financial Year","2018/19","Dundee City","85+ years","Number of Hours",342930
"Financial Year","2018/19","Dundee City","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Dundee City","Unknown","Number of People",0
"Financial Year","2018/19","Dundee City","Unknown","Number of Hours",0
"Financial Year","2018/19","East Ayrshire","All Ages","Rate per 1,000 People",22.4
"Financial Year","2018/19","East Ayrshire","All Ages","Number of People",2710
"Financial Year","2018/19","East Ayrshire","All Ages","Number of Hours",808725
"Financial Year","2018/19","East Ayrshire","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","East Ayrshire","0-17 years","Number of People",0
"Financial Year","2018/19","East Ayrshire","0-17 years","Number of Hours",0
"Financial Year","2018/19","East Ayrshire","18-64 years","Rate per 1,000 People",4.8
"Financial Year","2018/19","East Ayrshire","18-64 years","Number of People",350
"Financial Year","2018/19","East Ayrshire","18-64 years","Number of Hours",314825
"Financial Year","2018/19","East Ayrshire","65-74 years","Rate per 1,000 People",32.3
"Financial Year","2018/19","East Ayrshire","65-74 years","Number of People",460
"Financial Year","2018/19","East Ayrshire","65-74 years","Number of Hours",109130
"Financial Year","2018/19","East Ayrshire","75-84 years","Rate per 1,000 People",131.4
"Financial Year","2018/19","East Ayrshire","75-84 years","Number of People",1020
"Financial Year","2018/19","East Ayrshire","75-84 years","Number of Hours",198920
"Financial Year","2018/19","East Ayrshire","85+ years","Rate per 1,000 People",345.8
"Financial Year","2018/19","East Ayrshire","85+ years","Number of People",880
"Financial Year","2018/19","East Ayrshire","85+ years","Number of Hours",185850
"Financial Year","2018/19","East Ayrshire","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","East Ayrshire","Unknown","Number of People",0
"Financial Year","2018/19","East Ayrshire","Unknown","Number of Hours",0
"Financial Year","2018/19","East Dunbartonshire","All Ages","Rate per 1,000 People",21
"Financial Year","2018/19","East Dunbartonshire","All Ages","Number of People",2280
"Financial Year","2018/19","East Dunbartonshire","All Ages","Number of Hours",692745
"Financial Year","2018/19","East Dunbartonshire","0-17 years","Rate per 1,000 People",1.7
"Financial Year","2018/19","East Dunbartonshire","0-17 years","Number of People",35
"Financial Year","2018/19","East Dunbartonshire","0-17 years","Number of Hours",23040
"Financial Year","2018/19","East Dunbartonshire","18-64 years","Rate per 1,000 People",2.4
"Financial Year","2018/19","East Dunbartonshire","18-64 years","Number of People",150
"Financial Year","2018/19","East Dunbartonshire","18-64 years","Number of Hours",85655
"Financial Year","2018/19","East Dunbartonshire","65-74 years","Rate per 1,000 People",21.3
"Financial Year","2018/19","East Dunbartonshire","65-74 years","Number of People",275
"Financial Year","2018/19","East Dunbartonshire","65-74 years","Number of Hours",76780
"Financial Year","2018/19","East Dunbartonshire","75-84 years","Rate per 1,000 People",103.5
"Financial Year","2018/19","East Dunbartonshire","75-84 years","Number of People",860
"Financial Year","2018/19","East Dunbartonshire","75-84 years","Number of Hours",218515
"Financial Year","2018/19","East Dunbartonshire","85+ years","Rate per 1,000 People",293.1
"Financial Year","2018/19","East Dunbartonshire","85+ years","Number of People",960
"Financial Year","2018/19","East Dunbartonshire","85+ years","Number of Hours",288755
"Financial Year","2018/19","East Dunbartonshire","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","East Dunbartonshire","Unknown","Number of People",0
"Financial Year","2018/19","East Dunbartonshire","Unknown","Number of Hours",0
"Financial Year","2018/19","East Lothian","All Ages","Rate per 1,000 People",17.1
"Financial Year","2018/19","East Lothian","All Ages","Number of People",1835
"Financial Year","2018/19","East Lothian","All Ages","Number of Hours",1046340
"Financial Year","2018/19","East Lothian","0-17 years","Rate per 1,000 People",0.5
"Financial Year","2018/19","East Lothian","0-17 years","Number of People",10
"Financial Year","2018/19","East Lothian","0-17 years","Number of Hours",6745
"Financial Year","2018/19","East Lothian","18-64 years","Rate per 1,000 People",6.7
"Financial Year","2018/19","East Lothian","18-64 years","Number of People",430
"Financial Year","2018/19","East Lothian","18-64 years","Number of Hours",559180
"Financial Year","2018/19","East Lothian","65-74 years","Rate per 1,000 People",19.4
"Financial Year","2018/19","East Lothian","65-74 years","Number of People",230
"Financial Year","2018/19","East Lothian","65-74 years","Number of Hours",140580
"Financial Year","2018/19","East Lothian","75-84 years","Rate per 1,000 People",78.2
"Financial Year","2018/19","East Lothian","75-84 years","Number of People",545
"Financial Year","2018/19","East Lothian","75-84 years","Number of Hours",153825
"Financial Year","2018/19","East Lothian","85+ years","Rate per 1,000 People",240.8
"Financial Year","2018/19","East Lothian","85+ years","Number of People",620
"Financial Year","2018/19","East Lothian","85+ years","Number of Hours",186010
"Financial Year","2018/19","East Lothian","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","East Lothian","Unknown","Number of People",0
"Financial Year","2018/19","East Lothian","Unknown","Number of Hours",0
"Financial Year","2018/19","East Renfrewshire","All Ages","Rate per 1,000 People",16.2
"Financial Year","2018/19","East Renfrewshire","All Ages","Number of People",1545
"Financial Year","2018/19","East Renfrewshire","All Ages","Number of Hours",437140
"Financial Year","2018/19","East Renfrewshire","0-17 years","Rate per 1,000 People",0.2
"Financial Year","2018/19","East Renfrewshire","0-17 years","Number of People",5
"Financial Year","2018/19","East Renfrewshire","0-17 years","Number of Hours",1230
"Financial Year","2018/19","East Renfrewshire","18-64 years","Rate per 1,000 People",2.8
"Financial Year","2018/19","East Renfrewshire","18-64 years","Number of People",155
"Financial Year","2018/19","East Renfrewshire","18-64 years","Number of Hours",93485
"Financial Year","2018/19","East Renfrewshire","65-74 years","Rate per 1,000 People",18.7
"Financial Year","2018/19","East Renfrewshire","65-74 years","Number of People",190
"Financial Year","2018/19","East Renfrewshire","65-74 years","Number of Hours",61860
"Financial Year","2018/19","East Renfrewshire","75-84 years","Rate per 1,000 People",77.9
"Financial Year","2018/19","East Renfrewshire","75-84 years","Number of People",500
"Financial Year","2018/19","East Renfrewshire","75-84 years","Number of Hours",116775
"Financial Year","2018/19","East Renfrewshire","85+ years","Rate per 1,000 People",252.9
"Financial Year","2018/19","East Renfrewshire","85+ years","Number of People",695
"Financial Year","2018/19","East Renfrewshire","85+ years","Number of Hours",163790
"Financial Year","2018/19","East Renfrewshire","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","East Renfrewshire","Unknown","Number of People",0
"Financial Year","2018/19","East Renfrewshire","Unknown","Number of Hours",0
"Financial Year","2018/19","Falkirk","All Ages","Rate per 1,000 People",17.9
"Financial Year","2018/19","Falkirk","All Ages","Number of People",2850
"Financial Year","2018/19","Falkirk","All Ages","Number of Hours",635895
"Financial Year","2018/19","Falkirk","0-17 years","Rate per 1,000 People",0.5
"Financial Year","2018/19","Falkirk","0-17 years","Number of People",15
"Financial Year","2018/19","Falkirk","0-17 years","Number of Hours",4450
"Financial Year","2018/19","Falkirk","18-64 years","Rate per 1,000 People",2.9
"Financial Year","2018/19","Falkirk","18-64 years","Number of People",290
"Financial Year","2018/19","Falkirk","18-64 years","Number of Hours",69055
"Financial Year","2018/19","Falkirk","65-74 years","Rate per 1,000 People",26
"Financial Year","2018/19","Falkirk","65-74 years","Number of People",440
"Financial Year","2018/19","Falkirk","65-74 years","Number of Hours",92370
"Financial Year","2018/19","Falkirk","75-84 years","Rate per 1,000 People",110.1
"Financial Year","2018/19","Falkirk","75-84 years","Number of People",1060
"Financial Year","2018/19","Falkirk","75-84 years","Number of Hours",223650
"Financial Year","2018/19","Falkirk","85+ years","Rate per 1,000 People",325.6
"Financial Year","2018/19","Falkirk","85+ years","Number of People",1045
"Financial Year","2018/19","Falkirk","85+ years","Number of Hours",246370
"Financial Year","2018/19","Falkirk","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Falkirk","Unknown","Number of People",0
"Financial Year","2018/19","Falkirk","Unknown","Number of Hours",0
"Financial Year","2018/19","Fife","All Ages","Rate per 1,000 People",15
"Financial Year","2018/19","Fife","All Ages","Number of People",5530
"Financial Year","2018/19","Fife","All Ages","Number of Hours",2962550
"Financial Year","2018/19","Fife","0-17 years","Rate per 1,000 People",0.3
"Financial Year","2018/19","Fife","0-17 years","Number of People",20
"Financial Year","2018/19","Fife","0-17 years","Number of Hours",9025
"Financial Year","2018/19","Fife","18-64 years","Rate per 1,000 People",5.8
"Financial Year","2018/19","Fife","18-64 years","Number of People",1285
"Financial Year","2018/19","Fife","18-64 years","Number of Hours",1519885
"Financial Year","2018/19","Fife","65-74 years","Rate per 1,000 People",18.9
"Financial Year","2018/19","Fife","65-74 years","Number of People",810
"Financial Year","2018/19","Fife","65-74 years","Number of Hours",371070
"Financial Year","2018/19","Fife","75-84 years","Rate per 1,000 People",65.3
"Financial Year","2018/19","Fife","75-84 years","Number of People",1570
"Financial Year","2018/19","Fife","75-84 years","Number of Hours",498485
"Financial Year","2018/19","Fife","85+ years","Rate per 1,000 People",212
"Financial Year","2018/19","Fife","85+ years","Number of People",1845
"Financial Year","2018/19","Fife","85+ years","Number of Hours",564085
"Financial Year","2018/19","Fife","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Fife","Unknown","Number of People",0
"Financial Year","2018/19","Fife","Unknown","Number of Hours",0
"Financial Year","2018/19","Glasgow City","All Ages","Rate per 1,000 People",15.3
"Financial Year","2018/19","Glasgow City","All Ages","Number of People",9315
"Financial Year","2018/19","Glasgow City","All Ages","Number of Hours",2425550
"Financial Year","2018/19","Glasgow City","0-17 years","Rate per 1,000 People",0.2
"Financial Year","2018/19","Glasgow City","0-17 years","Number of People",20
"Financial Year","2018/19","Glasgow City","0-17 years","Number of Hours",3665
"Financial Year","2018/19","Glasgow City","18-64 years","Rate per 1,000 People",1.5
"Financial Year","2018/19","Glasgow City","18-64 years","Number of People",630
"Financial Year","2018/19","Glasgow City","18-64 years","Number of Hours",118570
"Financial Year","2018/19","Glasgow City","65-74 years","Rate per 1,000 People",35.9
"Financial Year","2018/19","Glasgow City","65-74 years","Number of People",1650
"Financial Year","2018/19","Glasgow City","65-74 years","Number of Hours",383310
"Financial Year","2018/19","Glasgow City","75-84 years","Rate per 1,000 People",135
"Financial Year","2018/19","Glasgow City","75-84 years","Number of People",3660
"Financial Year","2018/19","Glasgow City","75-84 years","Number of Hours",929005
"Financial Year","2018/19","Glasgow City","85+ years","Rate per 1,000 People",317.3
"Financial Year","2018/19","Glasgow City","85+ years","Number of People",3355
"Financial Year","2018/19","Glasgow City","85+ years","Number of Hours",991000
"Financial Year","2018/19","Glasgow City","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Glasgow City","Unknown","Number of People",0
"Financial Year","2018/19","Glasgow City","Unknown","Number of Hours",0
"Financial Year","2018/19","Highland","All Ages","Rate per 1,000 People",12.2
"Financial Year","2018/19","Highland","All Ages","Number of People",2870
"Financial Year","2018/19","Highland","All Ages","Number of Hours",811730
"Financial Year","2018/19","Highland","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","Highland","0-17 years","Number of People",0
"Financial Year","2018/19","Highland","0-17 years","Number of Hours",0
"Financial Year","2018/19","Highland","18-64 years","Rate per 1,000 People",2
"Financial Year","2018/19","Highland","18-64 years","Number of People",285
"Financial Year","2018/19","Highland","18-64 years","Number of Hours",90875
"Financial Year","2018/19","Highland","65-74 years","Rate per 1,000 People",13.6
"Financial Year","2018/19","Highland","65-74 years","Number of People",400
"Financial Year","2018/19","Highland","65-74 years","Number of Hours",117450
"Financial Year","2018/19","Highland","75-84 years","Rate per 1,000 People",58.1
"Financial Year","2018/19","Highland","75-84 years","Number of People",950
"Financial Year","2018/19","Highland","75-84 years","Number of Hours",255780
"Financial Year","2018/19","Highland","85+ years","Rate per 1,000 People",204.6
"Financial Year","2018/19","Highland","85+ years","Number of People",1235
"Financial Year","2018/19","Highland","85+ years","Number of Hours",347625
"Financial Year","2018/19","Highland","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Highland","Unknown","Number of People",0
"Financial Year","2018/19","Highland","Unknown","Number of Hours",0
"Financial Year","2018/19","Inverclyde","All Ages","Rate per 1,000 People",25.4
"Financial Year","2018/19","Inverclyde","All Ages","Number of People",2015
"Financial Year","2018/19","Inverclyde","All Ages","Number of Hours",453735
"Financial Year","2018/19","Inverclyde","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","Inverclyde","0-17 years","Number of People",0
"Financial Year","2018/19","Inverclyde","0-17 years","Number of Hours",0
"Financial Year","2018/19","Inverclyde","18-64 years","Rate per 1,000 People",4.4
