"Date","Month","Year","Trust","Dept","Type","Under 4 Hours","Between 4 - 12 Hours","Over 12 Hours","Total","Percent Under 4 Hours"
"2024-09-01","Sep 2024","2024/25","Western","Altnagelvin Area","Type 1","1,532","2,295","1,182","5,009","30.6%"
"2024-09-01","Sep 2024","2024/25","Western","South West Acute","Type 1","1,482","1,291","487","3,260","45.5%"
"2024-09-01","Sep 2024","2024/25","Western","Altnagelvin Area MIU","Type 3","2,633","65","0","2,698","97.6%"
"2024-08-01","Aug 2024","2024/25","Belfast","Mater","Type 1","1,298","1,519","617","3,434","37.8%"
"2024-08-01","Aug 2024","2024/25","Belfast","RVH","Type 1","1,092","3,289","2,043","6,424","17.0%"
"2024-08-01","Aug 2024","2024/25","Belfast","RBHSC","Type 1","2,007","732","5","2,744","73.1%"
"2024-08-01","Aug 2024","2024/25","Northern","Antrim Area","Type 1","3,030","3,397","1,436","7,863","38.5%"
"2024-08-01","Aug 2024","2024/25","Northern","Causeway","Type 1","2,264","1,269","555","4,088","55.4%"
"2024-08-01","Aug 2024","2024/25","Northern","Mid-Ulster","Type 3","606","0","0","606","100.0%"
"2024-08-01","Aug 2024","2024/25","South Eastern","Downe","Type 2","1,437","43","0","1,480","97.1%"
"2024-08-01","Aug 2024","2024/25","South Eastern","Lagan Valley","Type 2","1,474","471","2","1,947","75.7%"
"2024-08-01","Aug 2024","2024/25","South Eastern","Ulster","Type 1","1,317","3,310","2,111","6,738","19.5%"
"2024-08-01","Aug 2024","2024/25","South Eastern","Ulster MIU","Type 3","2,762","515","46","3,323","83.1%"
"2024-08-01","Aug 2024","2024/25","Southern","Craigavon Area","Type 1","2,756","2,462","1,340","6,558","42.0%"
"2024-08-01","Aug 2024","2024/25","Southern","Daisy Hill","Type 1","2,326","1,788","567","4,681","49.7%"
"2024-08-01","Aug 2024","2024/25","Southern","South Tyrone","Type 3","1,710","0","1","1,711","99.9%"
"2024-08-01","Aug 2024","2024/25","Western","Altnagelvin Area","Type 1","1,689","2,422","1,105","5,216","32.4%"
"2024-08-01","Aug 2024","2024/25","Western","South West Acute","Type 1","1,499","1,377","507","3,383","44.3%"
"2024-08-01","Aug 2024","2024/25","Western","Altnagelvin Area MIU","Type 3","2,552","62","0","2,614","97.6%"
"2024-07-01","Jul 2024","2024/25","Belfast","Mater","Type 1","1,283","1,475","700","3,458","37.1%"
"2024-07-01","Jul 2024","2024/25","Belfast","RVH","Type 1","1,045","3,253","2,215","6,513","16.0%"
"2024-07-01","Jul 2024","2024/25","Belfast","RBHSC","Type 1","2,023","752","4","2,779","72.8%"
"2024-07-01","Jul 2024","2024/25","Northern","Antrim Area","Type 1","3,249","3,207","1,512","7,968","40.8%"
"2024-07-01","Jul 2024","2024/25","Northern","Causeway","Type 1","2,111","1,554","581","4,246","49.7%"
"2024-07-01","Jul 2024","2024/25","Northern","Mid-Ulster","Type 3","560","0","0","560","100.0%"
"2024-07-01","Jul 2024","2024/25","South Eastern","Downe","Type 2","1,436","50","0","1,486","96.6%"
"2024-07-01","Jul 2024","2024/25","South Eastern","Lagan Valley","Type 2","1,490","482","3","1,975","75.4%"
"2024-07-01","Jul 2024","2024/25","South Eastern","Ulster","Type 1","1,379","3,592","1,848","6,819","20.2%"
"2024-07-01","Jul 2024","2024/25","South Eastern","Ulster MIU","Type 3","2,734","404","48","3,186","85.8%"
"2024-07-01","Jul 2024","2024/25","Southern","Craigavon Area","Type 1","2,791","2,489","1,355","6,635","42.1%"
"2024-07-01","Jul 2024","2024/25","Southern","Daisy Hill","Type 1","2,351","1,682","569","4,602","51.1%"
"2024-07-01","Jul 2024","2024/25","Southern","South Tyrone","Type 3","1,647","2","0","1,649","99.9%"
"2024-07-01","Jul 2024","2024/25","Western","Altnagelvin Area","Type 1","1,733","2,212","1,066","5,011","34.6%"
"2024-07-01","Jul 2024","2024/25","Western","South West Acute","Type 1","1,636","1,280","535","3,451","47.4%"
"2024-07-01","Jul 2024","2024/25","Western","Altnagelvin Area MIU","Type 3","2,729","58","0","2,787","97.9%"
"2024-06-01","Jun 2024","2024/25","Belfast","Mater","Type 1","1,137","1,567","690","3,394","33.5%"
"2024-06-01","Jun 2024","2024/25","Belfast","RVH","Type 1","980","2,809","2,547","6,336","15.5%"
"2024-06-01","Jun 2024","2024/25","Belfast","RBHSC","Type 1","2,027","1,431","15","3,473","58.4%"
"2024-06-01","Jun 2024","2024/25","Northern","Antrim Area","Type 1","3,409","3,384","1,422","8,215","41.5%"
"2024-06-01","Jun 2024","2024/25","Northern","Causeway","Type 1","2,120","1,299","574","3,993","53.1%"
"2024-06-01","Jun 2024","2024/25","Northern","Mid-Ulster","Type 3","519","0","0","519","100.0%"
"2024-06-01","Jun 2024","2024/25","South Eastern","Downe","Type 2","1,398","28","0","1,426","98.0%"
"2024-06-01","Jun 2024","2024/25","South Eastern","Lagan Valley","Type 2","1,333","429","1","1,763","75.6%"
"2024-06-01","Jun 2024","2024/25","South Eastern","Ulster","Type 1","1,296","3,857","1,766","6,919","18.7%"
"2024-06-01","Jun 2024","2024/25","South Eastern","Ulster MIU","Type 3","2,794","509","22","3,325","84.0%"
"2024-06-01","Jun 2024","2024/25","Southern","Craigavon Area","Type 1","2,861","2,398","1,544","6,803","42.1%"
"2024-06-01","Jun 2024","2024/25","Southern","Daisy Hill","Type 1","2,323","1,782","609","4,714","49.3%"
"2024-06-01","Jun 2024","2024/25","Southern","South Tyrone","Type 3","1,828","1","0","1,829","99.9%"
"2024-06-01","Jun 2024","2024/25","Western","Altnagelvin Area","Type 1","1,598","2,292","1,092","4,982","32.1%"
"2024-06-01","Jun 2024","2024/25","Western","South West Acute","Type 1","1,592","1,367","510","3,469","45.9%"
"2024-06-01","Jun 2024","2024/25","Western","Altnagelvin Area MIU","Type 3","2,731","98","3","2,832","96.4%"
"2024-05-01","May 2024","2024/25","Belfast","Mater","Type 1","1,509","1,601","659","3,769","40.0%"
"2024-05-01","May 2024","2024/25","Belfast","RVH","Type 1","1,269","3,154","2,098","6,521","19.5%"
"2024-05-01","May 2024","2024/25","Belfast","RBHSC","Type 1","2,510","1,381","27","3,918","64.1%"
"2024-05-01","May 2024","2024/25","Northern","Antrim Area","Type 1","3,201","3,812","1,504","8,517","37.6%"
"2024-05-01","May 2024","2024/25","Northern","Causeway","Type 1","2,177","1,632","618","4,427","49.2%"
"2024-05-01","May 2024","2024/25","Northern","Mid-Ulster","Type 3","714","0","0","714","100.0%"
"2024-05-01","May 2024","2024/25","South Eastern","Downe","Type 2","1,574","50","0","1,624","96.9%"
"2024-05-01","May 2024","2024/25","South Eastern","Lagan Valley","Type 2","1,414","432","2","1,848","76.5%"
"2024-05-01","May 2024","2024/25","South Eastern","Ulster","Type 1","1,524","3,758","2,051","7,333","20.8%"
"2024-05-01","May 2024","2024/25","South Eastern","Ulster MIU","Type 3","3,064","458","48","3,570","85.8%"
"2024-05-01","May 2024","2024/25","Southern","Craigavon Area","Type 1","2,934","2,748","1,664","7,346","39.9%"
"2024-05-01","May 2024","2024/25","Southern","Daisy Hill","Type 1","2,514","1,912","590","5,016","50.1%"
"2024-05-01","May 2024","2024/25","Southern","South Tyrone","Type 3","2,048","0","0","2,048","100.0%"
"2024-05-01","May 2024","2024/25","Western","Altnagelvin Area","Type 1","1,664","2,512","1,178","5,354","31.1%"
"2024-05-01","May 2024","2024/25","Western","South West Acute","Type 1","1,710","1,391","470","3,571","47.9%"
"2024-05-01","May 2024","2024/25","Western","Altnagelvin Area MIU","Type 3","2,946","92","1","3,039","96.9%"
"2024-04-01","Apr 2024","2024/25","Belfast","Mater","Type 1","1,428","1,556","568","3,552","40.2%"
"2024-04-01","Apr 2024","2024/25","Belfast","RVH","Type 1","1,279","2,850","2,070","6,199","20.6%"
"2024-04-01","Apr 2024","2024/25","Belfast","RBHSC","Type 1","2,300","1,459","44","3,803","60.5%"
"2024-04-01","Apr 2024","2024/25","Northern","Antrim Area","Type 1","2,950","3,718","1,646","8,314","35.5%"
"2024-04-01","Apr 2024","2024/25","Northern","Causeway","Type 1","2,088","1,536","568","4,192","49.8%"
"2024-04-01","Apr 2024","2024/25","Northern","Mid-Ulster","Type 3","603","1","0","604","99.8%"
"2024-04-01","Apr 2024","2024/25","South Eastern","Downe","Type 2","1,488","59","0","1,547","96.2%"
"2024-04-01","Apr 2024","2024/25","South Eastern","Lagan Valley","Type 2","1,439","541","0","1,980","72.7%"
"2024-04-01","Apr 2024","2024/25","South Eastern","Ulster","Type 1","1,348","3,737","1,863","6,948","19.4%"
"2024-04-01","Apr 2024","2024/25","South Eastern","Ulster MIU","Type 3","2,764","457","60","3,281","84.2%"
"2024-04-01","Apr 2024","2024/25","Southern","Craigavon Area","Type 1","2,586","2,609","1,569","6,764","38.2%"
"2024-04-01","Apr 2024","2024/25","Southern","Daisy Hill","Type 1","2,348","1,866","570","4,784","49.1%"
"2024-04-01","Apr 2024","2024/25","Southern","South Tyrone","Type 3","1,812","0","0","1,812","100.0%"
"2024-04-01","Apr 2024","2024/25","Western","Altnagelvin Area","Type 1","1,227","2,374","1,295","4,896","25.1%"
"2024-04-01","Apr 2024","2024/25","Western","South West Acute","Type 1","1,531","1,273","543","3,347","45.7%"
"2024-04-01","Apr 2024","2024/25","Western","Altnagelvin Area MIU","Type 3","2,768","61","1","2,830","97.8%"
"2024-03-01","Mar 2024","2023/24","Belfast","Mater","Type 1","1,401","1,588","690","3,679","38.1%"
"2024-03-01","Mar 2024","2023/24","Belfast","RVH","Type 1","1,306","2,872","2,319","6,497","20.1%"
"2024-03-01","Mar 2024","2023/24","Belfast","RVH-RAES","Type 2","723","208","0","931","77.7%"
"2024-03-01","Mar 2024","2023/24","Belfast","RBHSC","Type 1","2,280","1,927","73","4,280","53.3%"
"2024-03-01","Mar 2024","2023/24","Northern","Antrim Area","Type 1","3,061","4,089","1,578","8,728","35.1%"
"2024-03-01","Mar 2024","2023/24","Northern","Causeway","Type 1","2,048","1,501","551","4,100","50.0%"
"2024-03-01","Mar 2024","2023/24","Northern","Mid-Ulster","Type 3","564","0","0","564","100.0%"
"2024-03-01","Mar 2024","2023/24","South Eastern","Lagan Valley","Type 2","1,348","557","2","1,907","70.7%"
"2024-03-01","Mar 2024","2023/24","South Eastern","Ulster","Type 1","1,316","3,768","2,261","7,345","17.9%"
"2024-03-01","Mar 2024","2023/24","South Eastern","Ulster MIU","Type 3","2,591","404","52","3,047","85.0%"
"2024-03-01","Mar 2024","2023/24","Southern","Craigavon Area","Type 1","2,515","2,524","1,771","6,810","36.9%"
"2024-03-01","Mar 2024","2023/24","Southern","Daisy Hill","Type 1","2,217","1,888","578","4,683","47.3%"
"2024-03-01","Mar 2024","2023/24","Southern","South Tyrone","Type 3","1,710","1","0","1,711","99.9%"
"2024-03-01","Mar 2024","2023/24","Western","Altnagelvin Area","Type 1","1,675","2,582","1,372","5,629","29.8%"
"2024-03-01","Mar 2024","2023/24","Western","South West Acute","Type 1","1,652","1,156","520","3,328","49.6%"
"2024-03-01","Mar 2024","2023/24","Western","Altnagelvin Area MIU","Type 3","2,009","50","0","2,059","97.6%"
"2024-02-01","Feb 2024","2023/24","Belfast","Mater","Type 1","1,301","1,555","702","3,558","36.6%"
"2024-02-01","Feb 2024","2023/24","Belfast","RVH","Type 1","1,229","2,643","2,008","5,880","20.9%"
"2024-02-01","Feb 2024","2023/24","Belfast","RVH-RAES","Type 2","687","195","0","882","77.9%"
"2024-02-01","Feb 2024","2023/24","Belfast","RBHSC","Type 1","1,925","1,672","93","3,690","52.2%"
"2024-02-01","Feb 2024","2023/24","Northern","Antrim Area","Type 1","2,721","3,876","1,396","7,993","34.0%"
"2024-02-01","Feb 2024","2023/24","Northern","Causeway","Type 1","1,841","1,601","537","3,979","46.3%"
"2024-02-01","Feb 2024","2023/24","Northern","Mid-Ulster","Type 3","501","2","0","503","99.6%"
"2024-02-01","Feb 2024","2023/24","South Eastern","Lagan Valley","Type 2","1,381","540","4","1,925","71.7%"
"2024-02-01","Feb 2024","2023/24","South Eastern","Ulster","Type 1","1,158","3,455","2,339","6,952","16.7%"
"2024-02-01","Feb 2024","2023/24","South Eastern","Ulster MIU","Type 3","2,344","342","52","2,738","85.6%"
"2024-02-01","Feb 2024","2023/24","Southern","Craigavon Area","Type 1","2,495","2,470","1,469","6,434","38.8%"
"2024-02-01","Feb 2024","2023/24","Southern","Daisy Hill","Type 1","1,976","1,600","591","4,167","47.4%"
"2024-02-01","Feb 2024","2023/24","Southern","South Tyrone","Type 3","1,504","0","0","1,504","100.0%"
"2024-02-01","Feb 2024","2023/24","Western","Altnagelvin Area","Type 1","1,474","2,349","1,256","5,079","29.0%"
"2024-02-01","Feb 2024","2023/24","Western","South West Acute","Type 1","1,323","1,224","526","3,073","43.1%"
"2024-02-01","Feb 2024","2023/24","Western","Altnagelvin Area MIU","Type 3","1,637","26","0","1,663","98.4%"
"2024-01-01","Jan 2024","2023/24","Belfast","Mater","Type 1","1,357","1,548","749","3,654","37.1%"
"2024-01-01","Jan 2024","2023/24","Belfast","RVH","Type 1","1,165","2,626","2,164","5,955","19.6%"
"2024-01-01","Jan 2024","2023/24","Belfast","RVH-RAES","Type 2","665","226","0","891","74.6%"
"2024-01-01","Jan 2024","2023/24","Belfast","RBHSC","Type 1","2,079","1,640","56","3,775","55.1%"
"2024-01-01","Jan 2024","2023/24","Northern","Antrim Area","Type 1","3,016","3,694","1,543","8,253","36.5%"
"2024-01-01","Jan 2024","2023/24","Northern","Causeway","Type 1","1,802","1,426","646","3,874","46.5%"
"2024-01-01","Jan 2024","2023/24","Northern","Mid-Ulster","Type 3","444","0","0","444","100.0%"
"2024-01-01","Jan 2024","2023/24","South Eastern","Lagan Valley","Type 2","1,396","560","2","1,958","71.3%"
"2024-01-01","Jan 2024","2023/24","South Eastern","Ulster","Type 1","1,489","3,688","2,037","7,214","20.6%"
"2024-01-01","Jan 2024","2023/24","South Eastern","Ulster MIU","Type 3","2,337","228","47","2,612","89.5%"
"2024-01-01","Jan 2024","2023/24","Southern","Craigavon Area","Type 1","2,501","2,308","1,736","6,545","38.2%"
"2024-01-01","Jan 2024","2023/24","Southern","Daisy Hill","Type 1","1,894","1,753","715","4,362","43.4%"
"2024-01-01","Jan 2024","2023/24","Southern","South Tyrone","Type 3","1,350","2","0","1,352","99.9%"
"2024-01-01","Jan 2024","2023/24","Western","Altnagelvin Area","Type 1","1,361","2,525","1,376","5,262","25.9%"
"2024-01-01","Jan 2024","2023/24","Western","South West Acute","Type 1","1,325","1,302","558","3,185","41.6%"
"2024-01-01","Jan 2024","2023/24","Western","Altnagelvin Area MIU","Type 3","1,529","20","0","1,549","98.7%"
"2023-12-01","Dec 2023","2023/24","Belfast","Mater","Type 1","1,436","1,435","557","3,428","41.9%"
"2023-12-01","Dec 2023","2023/24","Belfast","RVH","Type 1","1,219","2,739","1,841","5,799","21.0%"
"2023-12-01","Dec 2023","2023/24","Belfast","RVH-RAES","Type 2","564","153","0","717","78.7%"
"2023-12-01","Dec 2023","2023/24","Belfast","RBHSC","Type 1","2,125","1,512","43","3,680","57.7%"
"2023-12-01","Dec 2023","2023/24","Northern","Antrim Area","Type 1","2,723","3,546","1,464","7,733","35.2%"
"2023-12-01","Dec 2023","2023/24","Northern","Causeway","Type 1","1,781","1,448","558","3,787","47.0%"
"2023-12-01","Dec 2023","2023/24","Northern","Mid-Ulster","Type 3","391","0","0","391","100.0%"
"2023-12-01","Dec 2023","2023/24","South Eastern","Lagan Valley","Type 2","1,176","407","3","1,586","74.1%"
"2023-12-01","Dec 2023","2023/24","South Eastern","Ulster","Type 1","1,338","3,754","2,011","7,103","18.8%"
"2023-12-01","Dec 2023","2023/24","South Eastern","Ulster MIU","Type 3","2,231","245","61","2,537","87.9%"
"2023-12-01","Dec 2023","2023/24","Southern","Craigavon Area","Type 1","2,410","2,572","1,570","6,552","36.8%"
"2023-12-01","Dec 2023","2023/24","Southern","Daisy Hill","Type 1","1,875","1,828","672","4,375","42.9%"
"2023-12-01","Dec 2023","2023/24","Southern","South Tyrone","Type 3","1,300","2","0","1,302","99.8%"
"2023-12-01","Dec 2023","2023/24","Western","Altnagelvin Area","Type 1","1,385","2,607","1,274","5,266","26.3%"
"2023-12-01","Dec 2023","2023/24","Western","South West Acute","Type 1","1,417","1,247","543","3,207","44.2%"
"2023-12-01","Dec 2023","2023/24","Western","Altnagelvin Area MIU","Type 3","1,384","28","0","1,412","98.0%"
"2023-11-01","Nov 2023","2023/24","Belfast","Mater","Type 1","1,560","1,364","582","3,506","44.5%"
"2023-11-01","Nov 2023","2023/24","Belfast","RVH","Type 1","1,536","2,686","2,022","6,244","24.6%"
"2023-11-01","Nov 2023","2023/24","Belfast","RVH-RAES","Type 2","606","152","0","758","79.9%"
"2023-11-01","Nov 2023","2023/24","Belfast","RBHSC","Type 1","2,217","1,952","81","4,250","52.2%"
"2023-11-01","Nov 2023","2023/24","Northern","Antrim Area","Type 1","2,836","3,890","1,442","8,168","34.7%"
"2023-11-01","Nov 2023","2023/24","Northern","Causeway","Type 1","1,811","1,502","580","3,893","46.5%"
"2023-11-01","Nov 2023","2023/24","Northern","Mid-Ulster","Type 3","486","0","0","486","100.0%"
"2023-11-01","Nov 2023","2023/24","South Eastern","Lagan Valley","Type 2","1,186","493","5","1,684","70.4%"
"2023-11-01","Nov 2023","2023/24","South Eastern","Ulster","Type 1","1,530","3,547","2,017","7,094","21.6%"
"2023-11-01","Nov 2023","2023/24","South Eastern","Ulster MIU","Type 3","2,454","222","47","2,723","90.1%"
"2023-11-01","Nov 2023","2023/24","Southern","Craigavon Area","Type 1","2,778","2,498","1,478","6,754","41.1%"
"2023-11-01","Nov 2023","2023/24","Southern","Daisy Hill","Type 1","2,082","1,842","454","4,378","47.6%"
"2023-11-01","Nov 2023","2023/24","Southern","South Tyrone","Type 3","1,406","0","0","1,406","100.0%"
"2023-11-01","Nov 2023","2023/24","Western","Altnagelvin Area","Type 1","1,635","2,656","1,185","5,476","29.9%"
"2023-11-01","Nov 2023","2023/24","Western","South West Acute","Type 1","1,501","1,222","443","3,166","47.4%"
"2023-11-01","Nov 2023","2023/24","Western","Altnagelvin Area MIU","Type 3","1,481","13","0","1,494","99.1%"
"2023-10-01","Oct 2023","2023/24","Belfast","Mater","Type 1","1,681","1,469","538","3,688","45.6%"
"2023-10-01","Oct 2023","2023/24","Belfast","RVH","Type 1","1,710","2,876","1,874","6,460","26.5%"
"2023-10-01","Oct 2023","2023/24","Belfast","RVH-RAES","Type 2","637","145","0","782","81.5%"
"2023-10-01","Oct 2023","2023/24","Belfast","RBHSC","Type 1","2,593","1,691","45","4,329","59.9%"
"2023-10-01","Oct 2023","2023/24","Northern","Antrim Area","Type 1","3,302","3,924","1,628","8,854","37.3%"
"2023-10-01","Oct 2023","2023/24","Northern","Causeway","Type 1","1,997","1,592","579","4,168","47.9%"
"2023-10-01","Oct 2023","2023/24","Northern","Mid-Ulster","Type 3","527","0","0","527","100.0%"
"2023-10-01","Oct 2023","2023/24","South Eastern","Lagan Valley","Type 2","1,565","454","0","2,019","77.5%"
"2023-10-01","Oct 2023","2023/24","South Eastern","Ulster","Type 1","1,902","4,059","1,886","7,847","24.2%"
"2023-10-01","Oct 2023","2023/24","South Eastern","Ulster MIU","Type 3","2,737","104","7","2,848","96.1%"
"2023-10-01","Oct 2023","2023/24","Southern","Craigavon Area","Type 1","2,595","2,565","1,636","6,796","38.2%"
"2023-10-01","Oct 2023","2023/24","Southern","Daisy Hill","Type 1","2,149","1,715","654","4,518","47.6%"
"2023-10-01","Oct 2023","2023/24","Southern","South Tyrone","Type 3","1,780","1","0","1,781","99.9%"
"2023-10-01","Oct 2023","2023/24","Western","Altnagelvin Area","Type 1","1,774","2,803","1,126","5,703","31.1%"
"2023-10-01","Oct 2023","2023/24","Western","South West Acute","Type 1","1,840","1,155","376","3,371","54.6%"
"2023-10-01","Oct 2023","2023/24","Western","Altnagelvin Area MIU","Type 3","1,696","34","0","1,730","98.0%"
"2023-09-01","Sep 2023","2023/24","Belfast","Mater","Type 1","1,806","1,461","434","3,701","48.8%"
"2023-09-01","Sep 2023","2023/24","Belfast","RVH","Type 1","1,593","2,868","2,067","6,528","24.4%"
"2023-09-01","Sep 2023","2023/24","Belfast","RVH-RAES","Type 2","619","112","0","731","84.7%"
"2023-09-01","Sep 2023","2023/24","Belfast","RBHSC","Type 1","2,583","994","11","3,588","72.0%"
"2023-09-01","Sep 2023","2023/24","Northern","Antrim Area","Type 1","3,593","3,489","1,245","8,327","43.1%"
"2023-09-01","Sep 2023","2023/24","Northern","Causeway","Type 1","2,208","1,423","488","4,119","53.6%"
"2023-09-01","Sep 2023","2023/24","Northern","Mid-Ulster","Type 3","503","0","0","503","100.0%"
"2023-09-01","Sep 2023","2023/24","South Eastern","Ards MIU","Type 3","34","0","0","34","100.0%"
